CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	345	net.sf.jsqlparser.schema.DatabaseTest			false
false	false	false	false	354	net.sf.jsqlparser.schema.TableTest			false
false	false	false	false	379	net.sf.jsqlparser.schema.SequenceTest			false
false	false	false	false	213	net.sf.jsqlparser.schema.ServerTest			false
false	false	false	false	279	net.sf.jsqlparser.schema.ColumnTest			false
false	false	false	false	54	net.sf.jsqlparser.schema.Column			false
false	false	false	false	510	net.sf.jsqlparser.schema.Synonym			false
false	false	false	false	211	net.sf.jsqlparser.schema.MultiPartName			false
false	false	false	false	212	net.sf.jsqlparser.schema.Server	realsubject	Proxy	false
false	false	false	false	376	net.sf.jsqlparser.schema.Sequence			false
false	false	false	false	210	net.sf.jsqlparser.schema.Database	proxy	Proxy	false
false	false	false	false	55	net.sf.jsqlparser.schema.Table			false
false	false	false	false	346	net.sf.jsqlparser.expression.FunctionWithBooleanParameterTest			false
false	false	false	false	283	net.sf.jsqlparser.expression.LongValueTest			false
false	false	false	false	545	net.sf.jsqlparser.expression.CastExpressionTest			false
false	false	false	false	214	net.sf.jsqlparser.expression.SignedExpressionTest			false
false	false	false	false	548	net.sf.jsqlparser.expression.OracleNamedFunctionParameterTest			false
false	false	false	false	278	net.sf.jsqlparser.expression.StringValueTest			false
false	false	false	false	318	net.sf.jsqlparser.expression.TimestampValueTest			false
false	false	false	false	310	net.sf.jsqlparser.expression.ExpressionPrecedenceTest			false
false	false	false	false	539	net.sf.jsqlparser.expression.JsonFunctionTest			false
false	false	false	false	253	net.sf.jsqlparser.expression.ExpressionVisitorAdapterTest			false
false	false	false	false	282	net.sf.jsqlparser.expression.NotExpression			false
false	false	false	false	191	net.sf.jsqlparser.expression.IntervalExpression			false
false	false	false	false	275	net.sf.jsqlparser.expression.DateTimeLiteralExpression			false
false	false	false	false	394	net.sf.jsqlparser.expression.VariableAssignment			false
false	false	false	false	14	net.sf.jsqlparser.expression.NullValue			false
false	false	false	false	16	net.sf.jsqlparser.expression.StringValue			false
false	false	false	false	7	net.sf.jsqlparser.expression.DoubleValue			false
false	false	false	false	19	net.sf.jsqlparser.expression.WhenClause			false
false	false	false	false	554	net.sf.jsqlparser.expression.ConnectByRootOperator			false
false	false	false	false	323	net.sf.jsqlparser.expression.OrderByClause			false
false	false	false	false	232	net.sf.jsqlparser.expression.JsonExpression			false
false	false	false	false	319	net.sf.jsqlparser.expression.ValueListExpression			false
false	false	false	false	200	net.sf.jsqlparser.expression.JdbcNamedParameter			false
false	false	false	false	403	net.sf.jsqlparser.expression.XMLSerializeExpr			false
false	false	false	false	13	net.sf.jsqlparser.expression.LongValue			false
false	false	false	false	261	net.sf.jsqlparser.expression.OracleHint			false
false	false	false	false	10	net.sf.jsqlparser.expression.Function			false
false	false	false	false	242	net.sf.jsqlparser.expression.NumericBind			false
false	false	false	false	252	net.sf.jsqlparser.expression.RowConstructor			false
false	false	false	false	538	net.sf.jsqlparser.expression.JsonKeyValuePair			false
false	false	false	false	370	net.sf.jsqlparser.expression.SQLServerHints			false
false	false	false	false	348	net.sf.jsqlparser.expression.CollateExpression			false
false	false	false	false	347	net.sf.jsqlparser.expression.NextValExpression			false
false	false	false	false	246	net.sf.jsqlparser.expression.KeepExpression			false
false	false	false	false	201	net.sf.jsqlparser.expression.OracleHierarchicalExpression			false
false	false	false	false	206	net.sf.jsqlparser.expression.Alias			false
false	false	false	false	289	net.sf.jsqlparser.expression.MySQLIndexHint			false
false	false	false	false	18	net.sf.jsqlparser.expression.TimestampValue			false
false	false	false	false	5	net.sf.jsqlparser.expression.CaseExpression			false
false	false	false	false	536	net.sf.jsqlparser.expression.JsonFunctionExpression			false
false	false	false	false	532	net.sf.jsqlparser.expression.JsonAggregateFunction			false
false	false	false	false	9	net.sf.jsqlparser.expression.ExpressionVisitor			false
false	false	false	false	220	net.sf.jsqlparser.expression.ExpressionVisitorAdapter			false
false	false	false	false	515	net.sf.jsqlparser.expression.ArrayConstructor			false
false	false	false	false	518	net.sf.jsqlparser.expression.RowGetExpression			false
false	false	false	false	217	net.sf.jsqlparser.expression.WindowRange			false
false	false	false	false	168	net.sf.jsqlparser.expression.AnalyticExpression			false
false	false	false	false	215	net.sf.jsqlparser.expression.WindowElement			false
false	false	false	false	6	net.sf.jsqlparser.expression.DateValue			false
false	false	false	false	8	net.sf.jsqlparser.expression.Expression			false
false	false	false	false	15	net.sf.jsqlparser.expression.Parenthesis			false
false	false	false	false	3	net.sf.jsqlparser.expression.AnyComparisonExpression			false
false	false	false	false	367	net.sf.jsqlparser.expression.ArrayExpression			false
false	false	false	false	547	net.sf.jsqlparser.expression.OracleNamedFunctionParameter			false
false	false	false	false	256	net.sf.jsqlparser.expression.HexValue			false
false	false	false	false	241	net.sf.jsqlparser.expression.UserVariable			false
false	false	false	false	516	net.sf.jsqlparser.expression.TimezoneExpression			false
false	false	false	false	17	net.sf.jsqlparser.expression.TimeValue			false
false	false	false	false	216	net.sf.jsqlparser.expression.WindowOffset			false
false	false	false	false	247	net.sf.jsqlparser.expression.MySQLGroupConcat			false
false	false	false	false	12	net.sf.jsqlparser.expression.JdbcParameter			false
false	false	false	false	324	net.sf.jsqlparser.expression.PartitionByClause			false
false	false	false	false	535	net.sf.jsqlparser.expression.JsonFunction			false
false	false	false	false	531	net.sf.jsqlparser.expression.FilterOverImpl			false
false	false	false	false	179	net.sf.jsqlparser.expression.ExtractExpression			false
false	false	false	false	166	net.sf.jsqlparser.expression.CastExpression			false
false	false	false	false	273	net.sf.jsqlparser.expression.TimeKeyExpression			false
false	false	false	false	11	net.sf.jsqlparser.expression.SignedExpression			false
false	false	false	false	4	net.sf.jsqlparser.expression.BinaryExpression	abstractClass	Template Method	false
false	false	false	false	315	net.sf.jsqlparser.expression.mysql.MySqlSqlCalcFoundRowsTest			false
false	false	false	false	546	net.sf.jsqlparser.expression.operators.relational.FullTextSearchExpressionTest			false
false	false	false	false	325	net.sf.jsqlparser.expression.operators.relational.LikeExpressionTest			false
false	false	false	false	41	net.sf.jsqlparser.expression.operators.relational.Matches			false
false	false	false	false	203	net.sf.jsqlparser.expression.operators.relational.RegExpMatchOperator			false
false	false	false	false	233	net.sf.jsqlparser.expression.operators.relational.RegExpMySQLOperator			false
false	false	false	false	198	net.sf.jsqlparser.expression.operators.relational.OldOracleJoinBinaryExpression			false
false	false	false	false	36	net.sf.jsqlparser.expression.operators.relational.InExpression			false
false	false	false	false	37	net.sf.jsqlparser.expression.operators.relational.IsNullExpression			false
false	false	false	false	271	net.sf.jsqlparser.expression.operators.relational.ComparisonOperator			false
false	false	false	false	40	net.sf.jsqlparser.expression.operators.relational.LikeExpression			false
false	false	false	false	43	net.sf.jsqlparser.expression.operators.relational.MinorThanEquals			false
false	false	false	false	32	net.sf.jsqlparser.expression.operators.relational.ExistsExpression			false
false	false	false	false	221	net.sf.jsqlparser.expression.operators.relational.ItemsListVisitorAdapter			false
false	false	false	false	358	net.sf.jsqlparser.expression.operators.relational.SimilarToExpression			false
false	false	false	false	281	net.sf.jsqlparser.expression.operators.relational.JsonOperator			false
false	false	false	false	31	net.sf.jsqlparser.expression.operators.relational.EqualsTo			false
false	false	false	false	39	net.sf.jsqlparser.expression.operators.relational.ItemsListVisitor			false
false	false	false	false	199	net.sf.jsqlparser.expression.operators.relational.SupportsOldOracleJoinSyntax			false
false	false	false	false	42	net.sf.jsqlparser.expression.operators.relational.MinorThan			false
false	false	false	false	34	net.sf.jsqlparser.expression.operators.relational.GreaterThan			false
false	false	false	false	184	net.sf.jsqlparser.expression.operators.relational.MultiExpressionList			false
false	false	false	false	44	net.sf.jsqlparser.expression.operators.relational.NotEqualsTo			false
false	false	false	false	362	net.sf.jsqlparser.expression.operators.relational.FullTextSearch			false
false	false	false	false	38	net.sf.jsqlparser.expression.operators.relational.ItemsList			false
false	false	false	false	333	net.sf.jsqlparser.expression.operators.relational.NamedExpressionList			false
false	false	false	false	361	net.sf.jsqlparser.expression.operators.relational.IsBooleanExpression			false
false	false	false	false	33	net.sf.jsqlparser.expression.operators.relational.ExpressionList			false
false	false	false	false	30	net.sf.jsqlparser.expression.operators.relational.Between			false
false	false	false	false	35	net.sf.jsqlparser.expression.operators.relational.GreaterThanEquals			false
false	false	false	false	397	net.sf.jsqlparser.expression.operators.arithmetic.ArithmethicTests			false
false	false	false	false	167	net.sf.jsqlparser.expression.operators.arithmetic.Modulo			false
false	false	false	false	22	net.sf.jsqlparser.expression.operators.arithmetic.BitwiseOr			false
false	false	false	false	27	net.sf.jsqlparser.expression.operators.arithmetic.Subtraction			false
false	false	false	false	25	net.sf.jsqlparser.expression.operators.arithmetic.Division			false
false	false	false	false	26	net.sf.jsqlparser.expression.operators.arithmetic.Multiplication			false
false	false	false	false	360	net.sf.jsqlparser.expression.operators.arithmetic.IntegerDivision			false
false	false	false	false	23	net.sf.jsqlparser.expression.operators.arithmetic.BitwiseXor			false
false	false	false	false	24	net.sf.jsqlparser.expression.operators.arithmetic.Concat			false
false	false	false	false	20	net.sf.jsqlparser.expression.operators.arithmetic.Addition			false
false	false	false	false	311	net.sf.jsqlparser.expression.operators.arithmetic.BitwiseLeftShift			false
false	false	false	false	312	net.sf.jsqlparser.expression.operators.arithmetic.BitwiseRightShift			false
false	false	false	false	21	net.sf.jsqlparser.expression.operators.arithmetic.BitwiseAnd			false
false	false	false	false	296	net.sf.jsqlparser.util.deparser.ExecuteDeParserTest			false
false	false	false	false	300	net.sf.jsqlparser.util.deparser.ExpressionDeParserTest			false
false	false	false	false	299	net.sf.jsqlparser.util.deparser.StatementDeParserTest			false
false	false	false	false	262	net.sf.jsqlparser.util.deparser.CreateViewDeParserTest			false
false	false	false	false	304	net.sf.jsqlparser.util.deparser.UpsertDeParser			false
false	false	false	false	307	net.sf.jsqlparser.util.deparser.UseStatementDeParser			false
false	false	false	false	392	net.sf.jsqlparser.util.deparser.ShowTablesStatementDeparser			false
false	false	false	false	96	net.sf.jsqlparser.util.deparser.StatementDeParser			false
false	false	false	false	265	net.sf.jsqlparser.util.deparser.OrderByDeParser			false
false	false	false	false	374	net.sf.jsqlparser.util.deparser.GrantDeParser			false
false	false	false	false	264	net.sf.jsqlparser.util.deparser.LimitDeparser			false
false	false	false	false	244	net.sf.jsqlparser.util.deparser.SetStatementDeParser			false
false	false	false	false	521	net.sf.jsqlparser.util.deparser.AlterSessionDeParser			false
false	false	true	false	512	net.sf.jsqlparser.util.deparser.CreateSynonymDeparser			false
false	false	false	false	365	net.sf.jsqlparser.util.deparser.DeclareStatementDeParser			false
false	false	false	false	97	net.sf.jsqlparser.util.deparser.UpdateDeParser			false
false	false	false	false	236	net.sf.jsqlparser.util.deparser.ExecuteDeParser			false
false	false	false	false	90	net.sf.jsqlparser.util.deparser.CreateTableDeParser			false
false	false	true	false	378	net.sf.jsqlparser.util.deparser.CreateSequenceDeParser			false
false	false	true	false	188	net.sf.jsqlparser.util.deparser.CreateIndexDeParser			false
false	false	false	false	95	net.sf.jsqlparser.util.deparser.SelectDeParser			false
false	false	false	false	263	net.sf.jsqlparser.util.deparser.DropDeParser			false
false	false	false	false	525	net.sf.jsqlparser.util.deparser.ResetStatementDeParser			false
false	false	false	false	384	net.sf.jsqlparser.util.deparser.AbstractDeParser			false
false	false	false	false	337	net.sf.jsqlparser.util.deparser.ShowStatementDeParser			false
false	false	false	false	182	net.sf.jsqlparser.util.deparser.CreateViewDeParser			false
false	false	false	false	93	net.sf.jsqlparser.util.deparser.InsertDeParser			false
false	false	false	false	91	net.sf.jsqlparser.util.deparser.DeleteDeParser			false
false	false	false	false	240	net.sf.jsqlparser.util.deparser.AlterDeParser			false
false	false	false	false	385	net.sf.jsqlparser.util.deparser.AlterSequenceDeParser			false
false	false	false	false	269	net.sf.jsqlparser.util.deparser.AlterViewDeParser			false
false	false	false	false	94	net.sf.jsqlparser.util.deparser.ReplaceDeParser			false
false	false	false	true	92	net.sf.jsqlparser.util.deparser.ExpressionDeParser			true
false	false	false	false	356	net.sf.jsqlparser.util.deparser.ShowColumnsStatementDeParser			false
false	false	false	false	351	net.sf.jsqlparser.util.deparser.GroupByDeParser			false
false	false	false	false	329	net.sf.jsqlparser.util.deparser.ValuesStatementDeParser			false
false	false	false	false	176	net.sf.jsqlparser.util.AddAliasesVisitorTest			false
false	false	false	false	208	net.sf.jsqlparser.util.SelectUtilsTest			false
false	false	false	true	109	net.sf.jsqlparser.util.TablesNamesFinderTest			false
false	false	false	false	401	net.sf.jsqlparser.util.RandomUtils			false
false	false	false	false	178	net.sf.jsqlparser.util.ConnectExpressionsVisitorTest			false
false	false	false	false	402	net.sf.jsqlparser.util.ReflectionTestUtils			false
false	false	false	false	207	net.sf.jsqlparser.util.SelectUtils			false
false	true	false	true	108	net.sf.jsqlparser.util.TablesNamesFinder			false
false	false	false	false	175	net.sf.jsqlparser.util.AddAliasesVisitor			false
false	false	false	false	177	net.sf.jsqlparser.util.ConnectExpressionsVisitor	abstractClass	Template Method	false
false	false	false	false	295	net.sf.jsqlparser.util.cnfexpression.CNFTest			false
false	false	false	false	292	net.sf.jsqlparser.util.cnfexpression.MultiAndExpression			false
false	false	false	false	293	net.sf.jsqlparser.util.cnfexpression.MultiOrExpression			false
