COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	6	52	149	450	910.2778898318904	236	0	4	150	12	14	com.lmax.disruptor.translator.OneToOneTranslatorThroughputTest	3	2	0	15	7	5			19	0
0	1	18	40	94	181.73179129080015	245	1	0	28	5	0	com.lmax.disruptor.immutable.SimpleEvent	0	0	0	0	4	3			3	1
0	3	41	77	216	413.8964373916807	247	-1	8	75	11	13	com.lmax.disruptor.immutable.SimplePerformanceTest	0	0	0	5	3	5			18	-1
1	1	10	29	50	113.44866715741624	244	0	0	20	3	1	com.lmax.disruptor.immutable.EventHolderHandler	0	0	0	1	1	2			3	0
-1	0	3	9	10	20.723265836946414	242	0	0	6	1	0	com.lmax.disruptor.immutable.EventAccessor	0	0	0	0	0	1			1	0
0	1	32	62	162	315.4309727844078	240	-1	4	59	10	11	com.lmax.disruptor.immutable.CustomPerformanceTest	0	0	0	4	1	4			15	-1
0	2	9	19	36	68.08685983066609	243	0	0	18	2	0	com.lmax.disruptor.immutable.EventHolder	0	0	0	1	2	1			1	0
1	1	6	21	33	73.42665879079608	246	0	0	14	2	1	com.lmax.disruptor.immutable.SimpleEventHandler	0	0	0	1	1	1			2	0
-1	2	4	16	22	49.45667925373306	239	-1	0	7	0	0	com.lmax.disruptor.immutable.Constants	0	0	0	0	2	0			0	-1
0	3	53	88	315	506.2263922166557	241	1	3	99	10	8	com.lmax.disruptor.immutable.CustomRingBuffer	0	0	0	5	3	6			14	1
0	1	24	77	180	399.8576775185462	228	0	4	56	9	11	com.lmax.disruptor.AbstractPerfTestDisruptor	0	0	18	0	1	4			15	0
0	1	24	77	180	399.8576775185462	229	0	4	59	9	11	com.lmax.disruptor.AbstractPerfTestQueue	0	0	6	0	1	4			15	0
0	6	165	184	852	1241.555920936594	213	8	0	299	47	81	com.lmax.disruptor.SequencerTest	0	0	0	15	6	21			102	8
1	1	19	39	86	173.71954455388678	28	0	0	58	2	6	com.lmax.disruptor.IgnoreExceptionHandlerTest	0	0	0	9	1	2			8	0
0	3	764	424	4236	3540.9828756498296	30	-1	0	1413	154	342	com.lmax.disruptor.RingBufferTest	0	0	0	21	3	74			416	-1
-1	0	18	23	76	99.60686682658562	164	-1	6	52	8	12	com.lmax.disruptor.PhasedBackoffWaitStrategyTest	0	0	0	3	0	4			16	0
0	3	49	88	295	500.45383135790416	217	1	0	100	5	7	com.lmax.disruptor.ShutdownOnFatalExceptionTest	0	0	0	7	3	3			10	1
1	1	26	50	130	243.37672252277912	281	0	0	54	3	9	com.lmax.disruptor.LiteTimeoutBlockingWaitStrategyTest	0	0	0	8	1	1			10	0
0	3	74	72	407	432.6345493518668	134	-1	0	145	8	15	com.lmax.disruptor.AggregateEventHandlerTest	0	0	0	5	5	4			19	0
0	1	71	93	414	560.4055355657542	258	-1	1	126	9	35	com.lmax.disruptor.EventPollerTest	0	0	0	9	1	3			38	-1
-1	0	5	13	19	38.277706729163725	168	0	0	29	2	1	com.lmax.disruptor.SleepingWaitStrategyTest	0	0	0	2	0	1			2	0
1	3	74	54	381	320.91116625684185	215	2	0	118	14	38	com.lmax.disruptor.RingBufferWithMocksTest	0	0	0	7	3	5			43	2
-1	0	5	13	19	38.277706729163725	170	0	0	30	2	1	com.lmax.disruptor.YieldingWaitStrategyTest	0	0	0	2	0	1			2	0
0	3	169	181	1047	1258.6168421675673	32	-1	0	294	24	65	com.lmax.disruptor.SequenceBarrierTest	0	0	0	13	5	10			75	2
-1	0	79	62	387	369.4223309678465	125	-1	36	147	12	37	com.lmax.disruptor.SequenceGroupTest	0	0	0	4	0	9			46	0
1	1	35	62	204	329.7234396183414	57	0	0	81	2	14	com.lmax.disruptor.SequenceReportingCallbackTest	0	0	0	5	2	1			15	0
0	2	24	48	130	233.64165362186793	116	0	1	66	5	14	com.lmax.disruptor.EventPublisherTest	0	0	0	5	2	3			17	0
1	1	11	33	58	133.99461934803182	169	0	0	40	2	5	com.lmax.disruptor.WaitStrategyTestUtil	0	0	0	5	1	1			6	0
1	1	26	50	130	243.37672252277912	206	0	0	54	3	9	com.lmax.disruptor.TimeoutBlockingWaitStrategyTest	0	0	0	8	1	1			10	0
0	8	84	79	480	487.729102208253	25	-1	3	167	13	46	com.lmax.disruptor.BatchEventProcessorTest	0	0	0	14	8	6			52	1
-1	0	5	13	19	38.277706729163725	165	0	0	30	2	1	com.lmax.disruptor.BusySpinWaitStrategyTest	0	0	0	2	0	1			2	0
0	1	104	168	738	1109.4625625328795	214	0	3	186	10	16	com.lmax.disruptor.DisruptorStressTest	0	0	0	12	1	3			19	0
-1	0	12	24	53	95.28700592525092	162	0	0	40	2	4	com.lmax.disruptor.FixedSequenceGroupTest	0	0	0	3	0	1			5	0
0	4	26	47	135	230.5479145866062	167	0	0	57	6	6	com.lmax.disruptor.SequenceUpdater	0	0	0	2	4	3			9	0
-1	0	17	27	72	115.46998521343349	166	0	15	53	11	0	com.lmax.disruptor.DummySequenceBarrier	0	0	0	0	0	6			6	0
-1	0	34	50	174	257.9527649607264	218	-1	1	77	4	15	com.lmax.disruptor.WorkerPoolTest	0	0	0	7	0	2			17	0
1	1	14	26	57	105.11933296369831	193	0	0	41	3	4	com.lmax.disruptor.MultiProducerSequencerTest	0	0	0	3	1	1			5	0
0	5	30	56	173	288.58432929187563	91	0	0	77	3	6	com.lmax.disruptor.LifecycleAwareTest	0	0	0	6	6	1			7	0
