COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	119	191	939	1307.3597565287782	107	0	1	176	11	34	com.netflix.hystrix.dashboard.stream.ProxyStreamServlet	0	0	0	20	2	2			36	0
0	2	84	139	640	898.1440765131667	106	0	3	127	14	24	com.netflix.hystrix.dashboard.stream.MockStreamServlet	0	0	0	12	2	3			27	0
0	2	73	156	463	957.4854204374525	86	0	2	131	13	6	com.netflix.hystrix.examples.demo.GetUserAccountCommand	0	0	0	3	2	4			10	0
1	2	11	23	36	82.42093558449052	88	0	0	35	1	1	com.netflix.hystrix.examples.demo.Order	0	0	0	1	2	1			2	0
0	1	89	143	678	932.2380621754766	87	-1	36	162	24	53	com.netflix.hystrix.examples.demo.HystrixCommandDemo	0	0	0	13	1	9			62	-1
0	5	117	312	988	2151.453001697335	83	0	0	237	8	23	com.netflix.hystrix.examples.demo.CreditCardCommand	0	0	0	5	6	3			26	0
1	1	28	78	180	405.0506343694364	84	0	0	63	6	3	com.netflix.hystrix.examples.demo.GetOrderCommand	0	0	0	2	1	2			5	0
0	3	37	51	159	258.5141143132318	90	0	9	63	13	0	com.netflix.hystrix.examples.demo.UserAccount	0	0	0	0	6	7			7	0
1	1	28	79	181	410.68126547000026	85	0	0	63	8	3	com.netflix.hystrix.examples.demo.GetPaymentInformationCommand	0	0	0	2	1	2			5	0
0	3	24	34	94	154.47202259718014	89	0	0	47	8	0	com.netflix.hystrix.examples.demo.PaymentInformation	0	0	0	0	4	4			4	0
0	2	70	117	384	696.225178652764	82	0	12	110	21	0	com.netflix.hystrix.examples.demo.CreditCardAuthorizationResult	0	0	0	0	5	9			9	0
1	1	53	82	336	477.0031151169827	74	-1	0	95	5	2	com.netflix.hystrix.examples.basic.CommandUsingRequestCache	0	0	0	5	1	3			5	-1
1	1	33	77	194	405.6250782478763	72	0	0	66	7	1	com.netflix.hystrix.examples.basic.CommandThatFailsFast	0	0	0	5	1	2			3	0
1	1	13	47	64	195.46750491790456	76	0	0	47	3	5	com.netflix.hystrix.examples.basic.CommandUsingSemaphoreIsolation	0	0	0	4	1	2			7	0
0	1	68	136	530	853.1112728902788	68	0	4	134	7	2	com.netflix.hystrix.examples.basic.CommandCollapserGetValueForKey	0	0	0	14	1	4			6	0
1	1	52	85	376	504.01507718814105	71	0	0	135	3	1	com.netflix.hystrix.examples.basic.CommandHelloWorld	0	0	0	8	1	2			3	0
0	1	32	70	186	365.8022671599241	70	0	1	74	5	1	com.netflix.hystrix.examples.basic.CommandHelloFailure	0	0	0	5	1	3			4	0
0	1	36	90	212	482.0927647204811	73	0	1	76	9	3	com.netflix.hystrix.examples.basic.CommandThatFailsSilently	0	0	0	8	1	3			6	0
0	1	46	110	324	635.8817867371562	77	-1	1	109	6	4	com.netflix.hystrix.examples.basic.CommandWithFallbackViaNetwork	0	0	0	10	1	3			7	-1
-1	1	59	107	387	637.5514421541867	75	-1	0	118	0	0	com.netflix.hystrix.examples.basic.CommandUsingRequestCacheInvalidation	0	0	0	8	1	0			0	-1
0	2	51	119	332	690.8110613010621	78	-1	1	102	7	1	com.netflix.hystrix.examples.basic.CommandWithStubbedFallback	0	0	0	5	2	3			4	-1
0	2	69	78	388	464.9584164906153	69	0	0	146	9	9	com.netflix.hystrix.examples.basic.CommandFacadeWithPrimarySecondary	0	0	0	12	2	4			13	0
-1	0	62	73	212	391.0307980510569	283	-1	28	154	16	12	com.netflix.hystrix.perf.RollingNumberPerfTest	0	0	0	15	0	8			20	0
-1	0	47	53	266	295.92530436543007	284	-1	28	120	16	8	com.netflix.hystrix.perf.RollingMaxPerfTest	0	0	0	15	0	8			16	0
-1	0	96	86	570	545.7247270312592	277	-1	45	212	29	24	com.netflix.hystrix.perf.CommandExecutionPerfTest	0	0	0	24	0	10			34	0
-1	0	38	55	254	304.5533846860195	279	-1	15	117	12	18	com.netflix.hystrix.perf.MultiThreadedMetricsTest	0	0	0	17	0	6			24	0
-1	0	48	64	313	367.7570041945698	282	-1	28	157	16	12	com.netflix.hystrix.perf.RollingPercentilePerfTest	0	0	0	15	0	8			20	0
-1	0	932	668	5849	5794.249358275941	130	-1	351	1371	71	268	com.netflix.hystrix.HystrixCollapserTest	0	0	0	26	0	27			295	-1
-1	0	13	29	68	122.3657234501071	137	0	0	213	2	1	com.netflix.hystrix.HystrixTest	0	0	0	2	0	1			2	0
0	6	166	215	901	1462.7536303857926	261	-1	0	244	60	53	com.netflix.hystrix.TestableExecutionHook	9	20	0	7	17	29			82	8
0	1	73	80	410	481.2925727758683	272	0	0	107	1	0	com.netflix.hystrix.InspectableBuilder	0	0	0	0	3	1			1	0
-1	0	76	109	444	664.4448773051125	131	-1	6	135	13	24	com.netflix.hystrix.HystrixCommandMetricsTest	0	0	0	4	0	4			28	0
-1	0	63	66	363	389.0305870614801	135	-1	1	101	4	27	com.netflix.hystrix.HystrixRequestCacheTest	0	0	0	9	0	2			29	0
-1	0	26	109	193	573.6332305906325	232	-1	3	83	6	11	com.netflix.hystrix.HystrixThreadPoolMetricsTest	0	0	0	4	0	3			14	0
0	1	16	30	68	126.58523115528321	274	0	4	40	7	0	com.netflix.hystrix.TestHystrixObservableCommand	0	0	0	0	1	4			4	0
-1	0	144	167	1169	1179.6719615658353	216	-1	15	243	13	21	com.netflix.hystrix.HystrixObservableCollapserTest	0	0	0	18	0	6			27	-1
-1	0	44	86	358	505.72583683046025	217	0	0	79	6	14	com.netflix.hystrix.HystrixCommandTimeoutConcurrencyTesting	0	0	0	2	0	1			15	0
0	1	173	177	1053	1231.8135366477136	132	-1	559	353	77	168	com.netflix.hystrix.HystrixCommandPropertiesTest	0	0	0	7	1	39			207	-1
0	1	144	98	904	667.0692773184333	136	-1	0	205	9	42	com.netflix.hystrix.HystrixRequestLogTest	0	0	0	3	1	6			48	1
-1	0	85	100	531	627.4762021241938	138	-1	21	170	15	52	com.netflix.hystrix.HystrixThreadPoolTest	0	0	0	17	0	7			59	0
-1	0	1088	443	8391	4002.467336968441	271	-1	8256	1520	267	804	com.netflix.hystrix.CommonHystrixCommandTests	0	0	0	22	0	129			933	-1
-1	0	4915	2000	31448	20712.181334203393	134	-1	36856	6863	521	2497	com.netflix.hystrix.HystrixObservableCommandTest	0	0	0	54	0	272			2769	-1
-1	2	38	59	260	328.0802162299161	270	-1	0	76	0	0	com.netflix.hystrix.AbstractTestHystrixCommand	0	0	0	1	4	0			0	-1
0	2	402	311	2598	2445.2366283386996	129	-1	0	614	40	139	com.netflix.hystrix.HystrixCircuitBreakerTest	0	0	0	11	4	14			153	-1
-1	0	3893	1790	23586	18022.451384423348	133	-1	8128	5142	372	1408	com.netflix.hystrix.HystrixCommandTest	0	0	0	42	0	128			1536	-1
0	1	20	34	87	151.84087603425584	273	0	4	49	8	0	com.netflix.hystrix.TestHystrixCommand	0	0	0	1	1	5			5	0
-1	0	22	140	402	839.5032924066629	226	0	1	94	10	0	com.netflix.hystrix.HystrixObservable	0	0	0	5	0	2			2	0
-1	0	23	36	88	161.18412532121545	150	0	210	64	21	0	com.netflix.hystrix.HystrixInvokableInfo	0	0	0	1	0	21			21	0
-1	0	28	188	431	1140.4283209395046	15	0	3	93	16	0	com.netflix.hystrix.HystrixExecutable	0	0	0	6	0	3			3	0
-1	0	5	15	16	41.58883083359672	225	-1	0	23	0	0	com.netflix.hystrix.HystrixInvokable	0	0	0	0	0	0			0	-1
0	5	178	218	832	1465.7954720990235	20	-1	103	268	46	28	com.netflix.hystrix.HystrixThreadPoolMetrics	23	0	0	9	5	23			51	2
-1	0	36	105	266	586.2671124220784	7	0	0	71	2	0	com.netflix.hystrix.HystrixCollapserKey	0	0	0	1	0	1	state	State	1	0
0	5	160	349	985	2405.531932769059	17	-1	26	267	29	26	com.netflix.hystrix.HystrixRequestLog	0	0	0	15	5	9			35	0
0	4	241	300	1513	2196.554914136507	8	0	114	357	34	16	com.netflix.hystrix.HystrixCollapserProperties	0	0	1	6	18	17			33	0
0	7	294	741	2956	5921.769881012457	6	-1	269	597	79	81	com.netflix.hystrix.HystrixCollapser	0	0	0	23	7	26	abstractClass	Template Method	107	-1
0	24	1298	1377	8961	12531.57729617957	128	-1	1396	2282	185	174	com.netflix.hystrix.AbstractCommand	0	0	0	43	28	61	abstraction	Bridge	235	-1
-1	0	136	228	981	1570.594520780903	5	0	3	237	7	0	com.netflix.hystrix.HystrixCircuitBreaker	0	0	0	4	0	3	implementor	Bridge	3	0
-1	0	39	111	293	630.4991596008945	19	0	0	77	3	0	com.netflix.hystrix.HystrixThreadPoolKey	0	0	0	1	0	1	state	State	1	0
-1	0	104	404	1150	2847.1969574283476	149	0	36	236	23	3	com.netflix.hystrix.HystrixObservableCommand	0	0	0	5	0	9	abstractClass	Template Method	12	0
0	1	40	68	209	363.27872913360716	280	0	9	51	10	6	com.netflix.hystrix.HystrixCounters	0	0	0	1	1	6			12	0
-1	0	137	314	1105	2200.386592780882	18	0	21	242	9	0	com.netflix.hystrix.HystrixThreadPool	0	0	0	11	0	7	implementor	Bridge	7	0
-1	0	206	535	2308	4143.113095780975	9	-1	105	413	46	36	com.netflix.hystrix.HystrixCommand	0	0	0	10	0	15			51	-1
0	7	271	658	2661	5189.28888430332	215	-1	303	536	76	98	com.netflix.hystrix.HystrixObservableCollapser	0	0	0	25	7	27	abstractClass	Template Method	125	-1
0	2	85	174	512	1085.4684847568744	111	-1	22	144	20	19	com.netflix.hystrix.Hystrix	0	0	0	8	2	9			28	-1
0	5	170	280	1406	2029.581140263771	16	1	0	270	26	12	com.netflix.hystrix.HystrixRequestCache	0	0	0	8	5	10	receiver	Command	22	1
0	5	95	175	517	1093.4075030389752	262	-1	51	164	28	21	com.netflix.hystrix.HystrixCollapserMetrics	14	0	0	9	6	14			35	1
0	10	518	648	3490	5286.161745847314	13	0	430	756	73	32	com.netflix.hystrix.HystrixCommandProperties	0	0	1	10	48	33	receiver	Command	65	0
1	1	25	63	141	311.77187309382464	267	0	0	55	7	2	com.netflix.hystrix.HystrixMetrics	0	0	3	2	1	3			5	0
0	2	181	274	1226	1948.554319919947	21	0	66	296	25	13	com.netflix.hystrix.HystrixThreadPoolProperties	0	0	1	9	12	13			26	0
0	11	341	517	2156	3968.4971348589347	12	-1	240	497	85	69	com.netflix.hystrix.HystrixCommandMetrics	37	0	0	14	12	37	receiver	Command	106	-1
-1	0	39	122	312	700.6463889127568	10	0	0	77	2	0	com.netflix.hystrix.HystrixCommandGroupKey	0	0	0	1	0	1			1	0
-1	0	39	108	283	609.7082649454696	11	0	0	76	2	0	com.netflix.hystrix.HystrixCommandKey	0	0	0	1	0	1	implementor	Bridge	1	0
-1	1	31	72	167	368.4955544940064	222	-1	0	63	0	0	com.netflix.hystrix.HystrixCommandMetricsSamples	0	0	0	1	1	0			0	-1
-1	0	108	60	585	382.2967108339114	139	-1	36	182	24	67	com.netflix.hystrix.collapser.CollapsedRequestObservableFunctionTest	0	0	0	7	0	9			76	0
1	1	9	33	40	121.73302198575989	118	0	0	35	2	1	com.netflix.hystrix.collapser.RealCollapserTimer	0	0	0	3	1	1	adapter	(Object)Adapter	2	0
-1	0	6	19	20	56.918913197525825	116	0	0	28	1	0	com.netflix.hystrix.collapser.CollapserTimer	0	0	0	2	0	1	state	State	1	0
0	10	176	317	1141	2231.5723309062782	121	-1	18	292	29	23	com.netflix.hystrix.collapser.RequestCollapserFactory	0	0	0	13	10	12	context	State	35	-1
-1	0	12	38	63	157.43911960287824	117	0	6	42	4	0	com.netflix.hystrix.collapser.HystrixCollapserBridge	0	0	0	4	0	4	state	State	4	0
0	3	185	262	1348	1888.0708503657302	115	1	0	260	41	43	com.netflix.hystrix.collapser.CollapsedRequestObservableFunction	0	0	0	6	3	8			51	1
0	8	106	234	767	1554.3419115199379	120	1	0	180	14	17	com.netflix.hystrix.collapser.RequestCollapser	0	0	0	12	8	4	context	State	21	1
0	7	152	279	1806	2092.184655779564	119	2	0	236	25	39	com.netflix.hystrix.collapser.RequestBatch	0	0	0	13	7	6	context	State	45	2
-1	0	73	127	438	772.4418016178087	141	-1	36	147	18	37	com.netflix.hystrix.strategy.concurrency.HystrixConcurrencyStrategyTest	0	0	0	16	0	9			46	0
-1	0	36	45	266	251.25733389517646	268	-1	1	69	5	13	com.netflix.hystrix.strategy.concurrency.HystrixContextSchedulerTest	0	0	0	7	0	2			15	0
-1	0	16	88	155	443.82141028889373	35	0	1	48	5	0	com.netflix.hystrix.strategy.concurrency.HystrixRequestVariableLifecycle	0	0	0	0	0	2			2	0
0	3	54	167	524	1045.669111281614	34	0	0	113	5	5	com.netflix.hystrix.strategy.concurrency.HystrixRequestVariableHolder	0	0	0	3	3	2			7	0
0	0	12	31	44	117.3098786514661	28	0	1	34	3	0	com.netflix.hystrix.strategy.concurrency.HystrixConcurrencyStrategyDefault	2	0	0	0	1	2	singleton	Singleton	2	0
0	2	26	58	133	283.6402494368617	29	1	0	58	5	7	com.netflix.hystrix.strategy.concurrency.HystrixContextCallable	0	0	0	2	2	3			10	1
0	3	39	77	239	421.68769349872633	122	-1	2	75	10	10	com.netflix.hystrix.strategy.concurrency.HystrixContexSchedulerAction	0	0	0	4	3	4			14	-1
0	2	49	231	587	1472.6307333802904	31	2	0	145	17	7	com.netflix.hystrix.strategy.concurrency.HystrixRequestContext	0	0	0	5	2	6			13	2
0	3	127	190	890	1290.3320779179753	123	1	0	214	9	3	com.netflix.hystrix.strategy.concurrency.HystrixContextScheduler	0	0	0	8	3	6			9	1
-1	0	11	76	117	361.9252190446295	32	0	0	41	3	0	com.netflix.hystrix.strategy.concurrency.HystrixRequestVariable	0	0	0	1	0	1			1	0
0	2	36	66	200	349.6889461921704	30	1	0	67	10	9	com.netflix.hystrix.strategy.concurrency.HystrixContextRunnable	0	0	0	2	2	4			13	1
0	1	94	328	1009	2268.682526675984	33	-1	21	218	20	11	com.netflix.hystrix.strategy.concurrency.HystrixRequestVariableDefault	0	0	0	3	1	7			18	-1
0	1	63	319	798	2131.592642586489	27	-1	19	160	20	11	com.netflix.hystrix.strategy.concurrency.HystrixConcurrencyStrategy	0	0	1	13	1	7			18	-1
0	1	87	131	564	829.8921069462458	142	-1	4	157	7	20	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherFactoryTest	0	0	0	16	2	4			24	-1
-1	0	10	45	56	181.14082608308172	42	0	1	42	2	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherCommandDefault	0	0	0	5	0	2			2	0
-1	0	10	41	50	160.39294322255398	264	0	1	40	2	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherCollapserDefault	0	0	0	3	0	2			2	0
-1	0	6	86	110	404.24131145814783	263	0	0	36	1	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherCollapser	0	0	0	1	0	1			1	0
-1	0	6	86	110	404.24131145814783	41	0	0	36	1	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherCommand	0	0	0	1	0	1			1	0
0	0	12	37	50	144.7448512008414	43	0	1	36	3	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherDefault	2	0	0	0	1	2	singleton	Singleton	2	0
-1	0	10	41	50	160.39294322255398	46	0	1	40	2	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherThreadPoolDefault	0	0	0	3	0	2			2	0
-1	0	37	152	475	936.8238502132655	40	0	3	115	9	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisher	0	0	4	15	0	3			3	0
-1	0	6	86	110	404.24131145814783	45	0	0	36	1	0	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherThreadPool	0	0	0	1	0	1			1	0
0	3	101	162	652	1049.7672190321177	44	-1	10	190	23	25	com.netflix.hystrix.strategy.metrics.HystrixMetricsPublisherFactory	0	0	0	16	4	8	singleton	Singleton	33	-1
-1	0	43	32	183	166.70355689092548	144	-1	21	91	7	27	com.netflix.hystrix.strategy.properties.HystrixPropertyTest	0	0	0	3	0	7			34	0
-1	0	125	130	608	833.3227346556017	143	-1	28	228	14	40	com.netflix.hystrix.strategy.properties.HystrixPropertiesChainedArchaiusPropertyTest	0	0	0	11	0	8			48	0
