CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	107	com.netflix.hystrix.dashboard.stream.ProxyStreamServlet			false
false	false	false	false	106	com.netflix.hystrix.dashboard.stream.MockStreamServlet			false
false	false	false	false	444	com.netflix.hystrix.dashboard.stream.UrlUtils			false
false	false	false	false	443	com.netflix.hystrix.dashboard.stream.EurekaInfoServlet			false
false	false	false	false	445	com.netflix.hystrix.dashboard.stream.UrlUtilsTest			false
false	false	false	false	428	com.netflix.hystrix.serial.SerialHystrixRequestEventsTest			false
false	false	false	false	468	com.netflix.hystrix.serial.SerialHystrixMetric			false
false	false	false	false	455	com.netflix.hystrix.serial.SerialHystrixConfiguration			false
false	false	false	false	467	com.netflix.hystrix.serial.SerialHystrixDashboardData			false
false	false	false	false	454	com.netflix.hystrix.serial.SerialHystrixRequestEvents			false
false	false	false	false	469	com.netflix.hystrix.serial.SerialHystrixUtilization			false
false	false	false	false	86	com.netflix.hystrix.examples.demo.GetUserAccountCommand			false
false	false	false	false	88	com.netflix.hystrix.examples.demo.Order			false
false	false	false	false	87	com.netflix.hystrix.examples.demo.HystrixCommandDemo			false
false	false	false	false	83	com.netflix.hystrix.examples.demo.CreditCardCommand			false
false	false	false	false	84	com.netflix.hystrix.examples.demo.GetOrderCommand			false
false	false	false	false	90	com.netflix.hystrix.examples.demo.UserAccount			false
false	false	false	false	85	com.netflix.hystrix.examples.demo.GetPaymentInformationCommand			false
false	false	false	false	463	com.netflix.hystrix.examples.demo.HystrixCommandAsyncDemo			false
false	false	false	false	89	com.netflix.hystrix.examples.demo.PaymentInformation			false
false	false	false	false	82	com.netflix.hystrix.examples.demo.CreditCardAuthorizationResult			false
false	false	false	false	74	com.netflix.hystrix.examples.basic.CommandUsingRequestCache			false
false	false	false	false	72	com.netflix.hystrix.examples.basic.CommandThatFailsFast			false
false	false	false	false	299	com.netflix.hystrix.examples.basic.ObservableCommandNumbersToWords			false
false	false	false	false	76	com.netflix.hystrix.examples.basic.CommandUsingSemaphoreIsolation			false
false	false	false	false	68	com.netflix.hystrix.examples.basic.CommandCollapserGetValueForKey			false
false	false	false	false	71	com.netflix.hystrix.examples.basic.CommandHelloWorld			false
false	false	false	false	298	com.netflix.hystrix.examples.basic.ObservableCollapserGetWordForNumber			false
false	false	false	false	70	com.netflix.hystrix.examples.basic.CommandHelloFailure			false
false	false	false	false	73	com.netflix.hystrix.examples.basic.CommandThatFailsSilently			false
false	false	false	false	77	com.netflix.hystrix.examples.basic.CommandWithFallbackViaNetwork			false
false	false	false	false	75	com.netflix.hystrix.examples.basic.CommandUsingRequestCacheInvalidation			false
false	false	false	false	78	com.netflix.hystrix.examples.basic.CommandWithStubbedFallback			false
false	false	false	false	69	com.netflix.hystrix.examples.basic.CommandFacadeWithPrimarySecondary			false
false	false	false	false	283	com.netflix.hystrix.perf.RollingNumberPerfTest			false
false	false	false	false	284	com.netflix.hystrix.perf.RollingMaxPerfTest			false
false	false	false	false	297	com.netflix.hystrix.perf.ObservableCollapserPerfTest			false
false	false	false	false	406	com.netflix.hystrix.perf.CommandExecutionPerfTest			false
false	false	false	false	279	com.netflix.hystrix.perf.CommandExecutionAndConcurrentMetricsReadPerfTest			false
false	false	false	false	347	com.netflix.hystrix.perf.CommandConstructionPerfTest			false
false	false	false	false	296	com.netflix.hystrix.perf.CollapserPerfTest			false
false	false	false	false	282	com.netflix.hystrix.perf.RollingPercentilePerfTest			false
false	false	false	true	130	com.netflix.hystrix.HystrixCollapserTest			true
false	false	false	false	137	com.netflix.hystrix.HystrixTest			false
false	false	false	false	261	com.netflix.hystrix.TestableExecutionHook			false
false	false	false	false	272	com.netflix.hystrix.InspectableBuilder			false
false	false	false	false	131	com.netflix.hystrix.HystrixCommandMetricsTest			false
false	false	false	false	135	com.netflix.hystrix.HystrixRequestCacheTest			false
false	false	false	false	294	com.netflix.hystrix.HystrixSubclassCommandTest			false
false	false	false	false	232	com.netflix.hystrix.HystrixThreadPoolMetricsTest			false
false	false	false	false	274	com.netflix.hystrix.TestHystrixObservableCommand			false
false	false	false	true	216	com.netflix.hystrix.HystrixObservableCollapserTest			true
false	false	false	false	499	com.netflix.hystrix.NotWrappedByHystrixTestException			false
false	false	false	false	217	com.netflix.hystrix.HystrixCommandTimeoutConcurrencyTesting			false
false	false	false	false	132	com.netflix.hystrix.HystrixCommandPropertiesTest			false
false	false	false	false	136	com.netflix.hystrix.HystrixRequestLogTest			false
false	false	false	false	138	com.netflix.hystrix.HystrixThreadPoolTest			false
false	false	false	true	271	com.netflix.hystrix.CommonHystrixCommandTests			false
false	false	false	false	323	com.netflix.hystrix.HystrixCommandTestWithCustomConcurrencyStrategy			false
false	true	false	true	134	com.netflix.hystrix.HystrixObservableCommandTest			true
false	false	false	false	270	com.netflix.hystrix.AbstractTestHystrixCommand			false
false	false	false	false	129	com.netflix.hystrix.HystrixCircuitBreakerTest			false
false	true	false	true	133	com.netflix.hystrix.HystrixCommandTest			true
false	false	false	false	273	com.netflix.hystrix.TestHystrixCommand			false
false	false	false	false	500	com.netflix.hystrix.NotWrappedByHystrixTestRuntimeException			false
false	false	false	false	493	com.netflix.hystrix.HystrixThreadPoolPropertiesTest			false
false	false	false	false	226	com.netflix.hystrix.HystrixObservable			false
false	false	false	false	150	com.netflix.hystrix.HystrixInvokableInfo			false
false	false	false	false	15	com.netflix.hystrix.HystrixExecutable			false
