COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	119	191	939	1307.3597565287782	107	0	1	176	11	34	com.netflix.hystrix.dashboard.stream.ProxyStreamServlet	0	0	0	20	2	2			36	0
0	2	84	139	640	898.1440765131667	106	0	3	127	14	24	com.netflix.hystrix.dashboard.stream.MockStreamServlet	0	0	0	12	2	3			27	0
0	2	73	156	463	957.4854204374525	86	0	2	131	13	6	com.netflix.hystrix.examples.demo.GetUserAccountCommand	0	0	0	3	2	4			10	0
1	2	11	23	36	82.42093558449052	88	0	0	35	1	1	com.netflix.hystrix.examples.demo.Order	0	0	0	1	2	1			2	0
0	1	89	143	678	932.2380621754766	87	-1	36	162	24	53	com.netflix.hystrix.examples.demo.HystrixCommandDemo	0	0	0	13	1	9			62	-1
0	5	117	312	988	2151.453001697335	83	0	0	237	8	23	com.netflix.hystrix.examples.demo.CreditCardCommand	0	0	0	5	6	3			26	0
1	1	28	78	180	405.0506343694364	84	0	0	63	6	3	com.netflix.hystrix.examples.demo.GetOrderCommand	0	0	0	2	1	2			5	0
0	3	37	51	159	258.5141143132318	90	0	9	63	13	0	com.netflix.hystrix.examples.demo.UserAccount	0	0	0	0	6	7			7	0
1	1	28	79	181	410.68126547000026	85	0	0	63	8	3	com.netflix.hystrix.examples.demo.GetPaymentInformationCommand	0	0	0	2	1	2			5	0
0	3	24	34	94	154.47202259718014	89	0	0	47	8	0	com.netflix.hystrix.examples.demo.PaymentInformation	0	0	0	0	4	4			4	0
0	2	70	117	384	696.225178652764	82	0	12	110	21	0	com.netflix.hystrix.examples.demo.CreditCardAuthorizationResult	0	0	0	0	5	9			9	0
1	1	53	82	336	477.0031151169827	74	-1	0	95	5	2	com.netflix.hystrix.examples.basic.CommandUsingRequestCache	0	0	0	5	1	3			5	-1
1	1	33	77	194	405.6250782478763	72	0	0	66	7	1	com.netflix.hystrix.examples.basic.CommandThatFailsFast	0	0	0	5	1	2			3	0
0	2	47	76	238	415.8925711990321	299	0	0	96	5	6	com.netflix.hystrix.examples.basic.ObservableCommandNumbersToWords	0	0	0	8	2	3			9	0
1	1	13	47	64	195.46750491790456	76	0	0	47	3	5	com.netflix.hystrix.examples.basic.CommandUsingSemaphoreIsolation	0	0	0	4	1	2			7	0
0	1	68	136	530	853.1112728902788	68	0	4	134	7	2	com.netflix.hystrix.examples.basic.CommandCollapserGetValueForKey	0	0	0	14	1	4			6	0
1	1	52	85	376	504.01507718814105	71	0	0	135	3	1	com.netflix.hystrix.examples.basic.CommandHelloWorld	0	0	0	8	1	2			3	0
0	2	137	203	1021	1406.493177087427	298	0	58	283	22	12	com.netflix.hystrix.examples.basic.ObservableCollapserGetWordForNumber	0	0	0	27	2	12			24	0
0	1	32	70	186	365.8022671599241	70	0	1	74	5	1	com.netflix.hystrix.examples.basic.CommandHelloFailure	0	0	0	5	1	3			4	0
0	1	36	90	212	482.0927647204811	73	0	1	76	9	3	com.netflix.hystrix.examples.basic.CommandThatFailsSilently	0	0	0	8	1	3			6	0
0	1	46	110	324	635.8817867371562	77	-1	1	109	6	4	com.netflix.hystrix.examples.basic.CommandWithFallbackViaNetwork	0	0	0	10	1	3			7	-1
-1	1	59	107	387	637.5514421541867	75	-1	0	118	0	0	com.netflix.hystrix.examples.basic.CommandUsingRequestCacheInvalidation	0	0	0	8	1	0			0	-1
0	2	51	119	332	690.8110613010621	78	-1	1	102	7	1	com.netflix.hystrix.examples.basic.CommandWithStubbedFallback	0	0	0	5	2	3			4	-1
0	2	69	78	388	464.9584164906153	69	0	0	146	9	9	com.netflix.hystrix.examples.basic.CommandFacadeWithPrimarySecondary	0	0	0	12	2	4			13	0
-1	0	62	73	212	391.0307980510569	283	-1	28	166	16	12	com.netflix.hystrix.perf.RollingNumberPerfTest	0	0	0	14	0	8			20	0
-1	0	47	53	266	295.92530436543007	284	-1	28	132	16	8	com.netflix.hystrix.perf.RollingMaxPerfTest	0	0	0	14	0	8			16	0
-1	0	124	162	1007	1120.186404620407	297	0	0	231	2	3	com.netflix.hystrix.perf.ObservableCollapserPerfTest	0	0	0	37	0	1			4	0
0	3	162	155	519	969.0451018907127	406	-1	66	303	33	34	com.netflix.hystrix.perf.CommandExecutionPerfTest	0	0	0	28	4	12			46	0
-1	0	38	60	263	334.3292419306659	279	-1	15	152	12	27	com.netflix.hystrix.perf.CommandExecutionAndConcurrentMetricsReadPerfTest	0	0	0	18	0	6			33	0
0	1	11	26	54	103.71358521067114	347	-1	1	42	6	0	com.netflix.hystrix.perf.CommandConstructionPerfTest	0	0	0	7	1	2			2	-1
-1	0	81	121	600	774.0284882811537	296	0	0	164	2	3	com.netflix.hystrix.perf.CollapserPerfTest	0	0	0	26	0	1			4	0
-1	0	48	64	313	367.7570041945698	282	-1	28	168	16	12	com.netflix.hystrix.perf.RollingPercentilePerfTest	0	0	0	15	0	8			20	0
-1	0	901	668	5729	5780.401911304931	130	-1	351	1381	71	294	com.netflix.hystrix.HystrixCollapserTest	0	0	0	28	0	27			321	-1
-1	0	292	200	2290	1547.261419309657	137	-1	465	509	65	240	com.netflix.hystrix.HystrixTest	0	0	0	12	0	31			271	-1
0	6	167	216	909	1471.4665403423355	261	-1	0	245	60	54	com.netflix.hystrix.TestableExecutionHook	9	20	0	7	17	29			83	8
0	1	75	83	428	502.9072252332891	272	0	0	109	1	0	com.netflix.hystrix.InspectableBuilder	0	0	0	0	3	1			1	0
-1	0	149	147	957	1008.9790985435843	131	-1	6	215	10	24	com.netflix.hystrix.HystrixCommandMetricsTest	0	0	0	5	0	4			28	0
-1	0	77	77	439	468.5064548067882	135	-1	6	124	8	35	com.netflix.hystrix.HystrixRequestCacheTest	0	0	0	9	0	4			39	0
0	2	116	124	602	793.6319232182938	294	-1	19	172	8	53	com.netflix.hystrix.HystrixSubclassCommandTest	0	0	0	7	2	7			60	0
0	2	28	51	140	252.0237635530745	232	-1	3	75	6	14	com.netflix.hystrix.HystrixThreadPoolMetricsTest	0	0	0	5	2	3			17	0
0	1	19	33	86	146.99346077636574	274	-1	8	44	9	2	com.netflix.hystrix.TestHystrixObservableCommand	0	0	0	0	1	5			7	0
0	3	670	443	4476	3724.072885758295	216	-1	464	963	55	188	com.netflix.hystrix.HystrixObservableCollapserTest	0	0	0	33	9	32			220	-1
1	1	61	113	543	711.5733531525347	217	0	0	113	6	19	com.netflix.hystrix.HystrixCommandTimeoutConcurrencyTesting	0	0	0	5	1	1			20	0
0	1	173	177	1053	1231.8135366477136	132	-1	559	353	77	168	com.netflix.hystrix.HystrixCommandPropertiesTest	0	0	0	7	1	39			207	-1
0	1	211	152	1417	1102.9571804329835	136	-1	0	279	14	57	com.netflix.hystrix.HystrixRequestLogTest	0	0	0	6	1	8			65	-1
-1	0	85	100	531	627.4762021241938	138	-1	21	170	15	52	com.netflix.hystrix.HystrixThreadPoolTest	0	0	0	17	0	7			59	0
-1	0	1134	492	8769	4466.857202459443	271	-1	8646	1578	275	824	com.netflix.hystrix.CommonHystrixCommandTests	0	0	0	24	0	132			956	-1
-1	0	183	143	1136	1006.0434096971969	323	-1	55	328	14	76	com.netflix.hystrix.HystrixCommandTestWithCustomConcurrencyStrategy	0	0	0	12	0	11			87	-1
0	1	3980	1884	27412	19252.098911697565	134	-1	37401	5601	517	2175	com.netflix.hystrix.HystrixObservableCommandTest	0	0	0	42	1	274			2449	-1
-1	2	38	57	252	315.1774579881511	270	-1	0	75	0	0	com.netflix.hystrix.AbstractTestHystrixCommand	0	0	0	1	4	0			0	-1
0	1	527	454	3617	3719.803705306252	129	-1	103	766	42	103	com.netflix.hystrix.HystrixCircuitBreakerTest	0	0	0	14	3	15			118	-1
0	1	3161	1688	20771	16780.936448784472	133	-1	8128	4132	366	1256	com.netflix.hystrix.HystrixCommandTest	0	0	0	38	1	128			1384	-1
0	1	23	37	102	171.12399409151803	273	0	9	53	10	1	com.netflix.hystrix.TestHystrixCommand	0	0	0	1	1	6			7	0
-1	0	22	140	402	839.5032924066629	226	0	1	94	10	0	com.netflix.hystrix.HystrixObservable	0	0	0	5	0	2			2	0
-1	0	29	45	85	199.91930654206425	150	0	351	75	27	0	com.netflix.hystrix.HystrixInvokableInfo	0	0	0	1	0	27			27	0
-1	0	28	188	431	1140.4283209395046	15	0	3	93	16	0	com.netflix.hystrix.HystrixExecutable	0	0	0	6	0	3			3	0
-1	0	5	15	16	41.58883083359672	225	-1	0	23	0	0	com.netflix.hystrix.HystrixInvokable	0	0	0	0	0	0			0	-1
0	14	246	291	1285	2083.1275732228323	20	-1	298	354	68	40	com.netflix.hystrix.HystrixThreadPoolMetrics	28	4	0	15	14	32			72	-1
-1	0	36	105	266	586.2671124220784	7	0	0	71	2	0	com.netflix.hystrix.HystrixCollapserKey	0	0	0	1	0	1	state	State	1	0
0	5	161	350	991	2414.550087015496	17	-1	26	267	29	29	com.netflix.hystrix.HystrixRequestLog	0	0	0	16	5	9			38	-1
0	4	247	318	1565	2339.0938707458126	8	-1	131	372	39	23	com.netflix.hystrix.HystrixCollapserProperties	0	0	1	7	18	18			41	-1
0	7	304	769	3039	6166.829236753014	6	-1	269	611	78	83	com.netflix.hystrix.HystrixCollapser	0	0	0	23	7	26	abstractClass	Template Method	109	-1
0	24	1259	1278	9757	11739.37604602796	128	-1	1972	2215	237	206	com.netflix.hystrix.AbstractCommand	0	0	0	39	27	77	abstraction	Bridge	283	-1
-1	0	137	228	993	1573.3665914022995	5	0	3	239	7	0	com.netflix.hystrix.HystrixCircuitBreaker	0	0	0	4	0	3	implementor	Bridge	3	0
0	1	40	92	211	492.37094827979814	348	0	8	72	9	8	com.netflix.hystrix.HystrixTimerThreadPoolProperties	0	0	1	3	1	5			13	0
-1	0	40	112	301	639.196349651874	19	0	0	78	3	0	com.netflix.hystrix.HystrixThreadPoolKey	0	0	0	1	0	1	state	State	1	0
-1	0	104	404	1150	2847.1969574283476	149	0	36	236	23	3	com.netflix.hystrix.HystrixObservableCommand	0	0	1	5	0	9	abstractClass	Template Method	12	0
0	1	40	68	209	363.27872913360716	280	0	9	66	10	6	com.netflix.hystrix.HystrixCounters	0	0	0	1	1	6			12	0
-1	0	140	338	1174	2389.0421361311583	18	0	21	250	9	0	com.netflix.hystrix.HystrixThreadPool	0	0	0	12	0	7	implementor	Bridge	7	0
-1	0	206	534	2304	4134.442679649628	9	-1	105	412	46	32	com.netflix.hystrix.HystrixCommand	0	0	0	10	0	15			47	-1
0	7	311	701	3170	5651.1022936768	215	-1	352	578	91	121	com.netflix.hystrix.HystrixObservableCollapser	0	0	0	28	7	29	abstractClass	Template Method	150	-1
0	2	144	225	891	1528.277496180932	111	-1	23	208	22	21	com.netflix.hystrix.Hystrix	0	0	0	8	2	10			31	-1
0	5	178	290	1495	2119.865630889188	16	1	0	276	28	12	com.netflix.hystrix.HystrixRequestCache	0	0	0	8	5	10	receiver	Command	22	1
0	10	125	211	700	1382.2779506941583	262	-1	156	208	41	23	com.netflix.hystrix.HystrixCollapserMetrics	16	4	0	13	10	20			43	-1
0	10	524	661	3538	5401.240454189742	13	-1	463	767	78	41	com.netflix.hystrix.HystrixCommandProperties	0	0	1	11	48	34	receiver	Command	75	-1
0	8	269	389	804	2602.254115710618	390	-1	0	369	64	15	com.netflix.hystrix.ExecutionResult	0	0	0	3	13	27	singleton	Singleton	42	-1
1	1	25	63	141	311.77187309382464	267	0	0	55	7	2	com.netflix.hystrix.HystrixMetrics	0	0	3	2	1	3			5	0
0	2	187	305	1305	2188.057287525822	21	-1	79	312	30	20	com.netflix.hystrix.HystrixThreadPoolProperties	0	0	1	10	12	14			34	-1
0	16	297	470	1164	3318.02028529695	12	-1	242	449	73	46	com.netflix.hystrix.HystrixCommandMetrics	24	4	0	19	16	28	receiver	Command	74	-1
-1	0	40	123	320	709.5034824826339	10	0	0	78	2	0	com.netflix.hystrix.HystrixCommandGroupKey	0	0	0	1	0	1			1	0
-1	0	40	109	291	618.3922361216927	11	0	0	77	2	0	com.netflix.hystrix.HystrixCommandKey	0	0	0	1	0	1	implementor	Bridge	1	0
-1	1	31	72	167	368.4955544940064	222	-1	0	63	0	0	com.netflix.hystrix.HystrixCommandMetricsSamples	0	0	0	1	1	0			0	-1
0	5	216	108	1086	754.9477020533391	360	-1	0	345	36	151	com.netflix.hystrix.metric.HystrixThreadEventStreamTest	0	0	0	11	5	21			172	5
0	1	163	192	671	1249.683674298563	381	-1	1	255	8	7	com.netflix.hystrix.metric.CommandStreamTest	0	0	11	16	1	2			9	-1
0	3	49	68	276	382.18725886876615	352	-1	15	103	11	35	com.netflix.hystrix.metric.HystrixCommandCompletionStreamTest	0	0	0	11	3	7			42	0
0	3	34	65	170	333.826898408267	366	-1	41	66	14	2	com.netflix.hystrix.metric.HystrixCommandEvent	0	0	2	3	4	10			12	-1
0	4	45	88	262	490.0143163309765	393	1	3	80	11	8	com.netflix.hystrix.metric.HystrixCollapserEventStream	0	0	0	7	4	6	context	State	14	1
0	2	25	47	100	216.4429987414403	423	0	2	55	7	4	com.netflix.hystrix.metric.HystrixRequestEventsStream	0	0	0	5	3	5	singleton	Singleton	9	0
0	4	45	88	263	490.3495548316433	350	1	3	82	11	8	com.netflix.hystrix.metric.HystrixCommandCompletionStream	0	0	0	7	4	6	context	State	14	1
-1	0	6	28	34	98.73809468925252	376	0	0	27	1	0	com.netflix.hystrix.metric.HystrixEventStream	0	0	0	1	0	1			1	0
0	3	28	73	158	369.5694374109686	392	1	0	62	11	1	com.netflix.hystrix.metric.HystrixCollapserEvent	0	0	0	2	3	6	context	State	7	1
1	1	131	161	1007	1113.2716737276885	422	1	0	197	8	12	com.netflix.hystrix.metric.HystrixRequestEvents	0	0	0	9	1	3			15	1
-1	0	5	17	18	49.136319884234794	394	-1	0	23	0	0	com.netflix.hystrix.metric.HystrixEvent	0	0	0	0	0	0			0	-1
0	9	84	251	618	1613.0486028218802	357	-1	44	164	17	31	com.netflix.hystrix.metric.HystrixThreadEventStream	0	0	0	11	9	12			43	-1
0	4	45	88	263	490.3495548316433	404	1	3	82	11	8	com.netflix.hystrix.metric.HystrixThreadPoolStartStream	0	0	0	7	4	6	context	State	14	1
0	4	45	88	263	490.3495548316433	361	1	3	82	11	8	com.netflix.hystrix.metric.HystrixThreadPoolCompletionStream	0	0	0	7	4	6	context	State	14	1
0	3	70	117	388	697.437624735923	365	3	0	119	27	18	com.netflix.hystrix.metric.HystrixCommandCompletion	8	5	0	7	3	13	concreteCommand	Command	31	3
0	4	45	88	263	490.3495548316433	403	1	3	81	11	8	com.netflix.hystrix.metric.HystrixCommandStartStream	0	0	0	7	4	6	context	State	14	1
0	2	148	186	471	1144.8036054870538	407	0	0	157	15	5	com.netflix.hystrix.metric.CachedValuesHistogram	0	0	0	1	28	7			12	0
0	2	30	53	132	258.78850189707765	380	0	17	66	13	1	com.netflix.hystrix.metric.HystrixCommandExecutionStarted	2	5	0	3	2	7			8	0
0	2	364	205	1866	1543.9682381884943	383	-1	6	518	38	213	com.netflix.hystrix.metric.consumer.CumulativeThreadPoolEventCounterStreamTest	20	0	0	19	2	20			233	4
0	4	227	213	1455	1551.2281312559915	405	-1	42	366	32	141	com.netflix.hystrix.metric.consumer.RollingCommandMaxConcurrencyStreamTest	17	0	0	19	4	17			158	2
0	2	127	113	695	739.4620385488215	396	-1	33	189	23	90	com.netflix.hystrix.metric.consumer.CumulativeCollapserEventCounterStreamTest	11	0	0	13	2	11			101	1
0	2	363	206	1864	1551.2788790205805	389	-1	6	518	38	213	com.netflix.hystrix.metric.consumer.RollingThreadPoolEventCounterStreamTest	20	0	0	19	2	20			233	4
0	2	152	83	849	559.7569124638419	402	-1	77	222	18	74	com.netflix.hystrix.metric.consumer.RollingCollapserBatchSizeDistributionStreamTest	14	0	0	12	2	14			88	0
0	3	390	221	2647	1741.7412666921894	387	-1	688	545	71	298	com.netflix.hystrix.metric.consumer.RollingCommandLatencyDistributionStreamTest	40	0	0	18	3	40			338	1
0	3	299	272	2037	2072.431489213691	388	-1	35	464	37	173	com.netflix.hystrix.metric.consumer.RollingThreadPoolMaxConcurrencyStreamTest	19	0	0	20	3	19			192	3
