COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	119	190	935	1299.7038405648507	107	0	1	176	11	34	com.netflix.hystrix.dashboard.stream.ProxyStreamServlet	0	0	0	20	2	2			36	0
0	2	84	139	640	898.1440765131667	106	0	3	127	14	24	com.netflix.hystrix.dashboard.stream.MockStreamServlet	0	0	0	12	2	3			27	0
-1	0	19	54	113	255.2789422104664	444	0	0	47	5	5	com.netflix.hystrix.dashboard.stream.UrlUtils	0	0	0	3	0	1			6	0
0	1	19	78	140	385.4481089635257	443	-1	0	53	4	9	com.netflix.hystrix.dashboard.stream.EurekaInfoServlet	0	0	0	6	1	1			10	-1
-1	0	12	21	35	74.66230929127768	445	-1	1	38	2	2	com.netflix.hystrix.dashboard.stream.UrlUtilsTest	0	0	0	1	0	2			4	0
0	4	306	228	1758	1703.6005138398878	428	-1	0	456	45	68	com.netflix.hystrix.serial.SerialHystrixRequestEventsTest	0	0	0	16	5	22			90	9
0	4	19	52	118	248.07560047221457	468	0	0	49	3	6	com.netflix.hystrix.serial.SerialHystrixMetric	0	0	4	9	4	1			7	0
0	1	161	198	996	1366.9419570017503	455	-1	21	278	22	92	com.netflix.hystrix.serial.SerialHystrixConfiguration	7	0	0	21	1	7			99	0
0	1	338	258	1854	1941.4759925004564	467	-1	496	454	84	144	com.netflix.hystrix.serial.SerialHystrixDashboardData	32	0	0	20	1	32			176	-1
-1	0	77	93	519	581.4270611344276	454	-1	6	114	17	34	com.netflix.hystrix.serial.SerialHystrixRequestEvents	4	0	0	9	0	4			38	0
0	1	93	128	619	822.7974749036283	469	-1	15	152	20	46	com.netflix.hystrix.serial.SerialHystrixUtilization	6	0	0	18	1	6			52	0
0	2	73	156	463	957.4854204374525	86	0	2	131	13	6	com.netflix.hystrix.examples.demo.GetUserAccountCommand	0	0	0	3	2	4			10	0
1	2	11	23	36	82.42093558449052	88	0	0	35	1	1	com.netflix.hystrix.examples.demo.Order	0	0	0	1	2	1			2	0
0	1	89	143	678	932.2380621754766	87	-1	36	162	24	53	com.netflix.hystrix.examples.demo.HystrixCommandDemo	0	0	0	13	1	9			62	-1
0	5	117	312	988	2151.453001697335	83	0	0	237	8	23	com.netflix.hystrix.examples.demo.CreditCardCommand	0	0	0	5	6	3			26	0
1	1	28	78	180	405.0506343694364	84	0	0	63	6	3	com.netflix.hystrix.examples.demo.GetOrderCommand	0	0	0	2	1	2			5	0
0	3	37	51	159	258.5141143132318	90	0	9	63	13	0	com.netflix.hystrix.examples.demo.UserAccount	0	0	0	0	6	7			7	0
1	1	28	79	181	410.68126547000026	85	0	0	63	8	3	com.netflix.hystrix.examples.demo.GetPaymentInformationCommand	0	0	0	2	1	2			5	0
0	1	146	198	1204	1404.4941159220157	463	-1	66	235	36	63	com.netflix.hystrix.examples.demo.HystrixCommandAsyncDemo	0	0	0	20	1	12			75	-1
0	3	24	34	94	154.47202259718014	89	0	0	47	8	0	com.netflix.hystrix.examples.demo.PaymentInformation	0	0	0	0	4	4			4	0
0	2	70	117	384	696.225178652764	82	0	12	110	21	0	com.netflix.hystrix.examples.demo.CreditCardAuthorizationResult	0	0	0	0	5	9			9	0
1	1	53	82	336	477.0031151169827	74	-1	0	95	5	2	com.netflix.hystrix.examples.basic.CommandUsingRequestCache	0	0	0	5	1	3			5	-1
1	1	33	77	194	405.6250782478763	72	0	0	66	7	1	com.netflix.hystrix.examples.basic.CommandThatFailsFast	0	0	0	5	1	2			3	0
0	2	47	76	238	415.8925711990321	299	0	0	96	5	6	com.netflix.hystrix.examples.basic.ObservableCommandNumbersToWords	0	0	0	8	2	3			9	0
1	1	13	47	64	195.46750491790456	76	0	0	47	3	5	com.netflix.hystrix.examples.basic.CommandUsingSemaphoreIsolation	0	0	0	4	1	2			7	0
0	1	68	136	530	853.1112728902788	68	0	4	134	7	2	com.netflix.hystrix.examples.basic.CommandCollapserGetValueForKey	0	0	0	14	1	4			6	0
1	1	52	85	376	504.01507718814105	71	0	0	135	3	1	com.netflix.hystrix.examples.basic.CommandHelloWorld	0	0	0	8	1	2			3	0
0	2	160	214	1192	1515.8449993918132	298	0	58	318	22	12	com.netflix.hystrix.examples.basic.ObservableCollapserGetWordForNumber	0	0	0	27	2	12			24	0
0	1	32	70	186	365.8022671599241	70	0	1	74	5	1	com.netflix.hystrix.examples.basic.CommandHelloFailure	0	0	0	5	1	3			4	0
0	1	36	90	212	482.0927647204811	73	0	1	76	9	3	com.netflix.hystrix.examples.basic.CommandThatFailsSilently	0	0	0	8	1	3			6	0
0	1	46	110	324	635.8817867371562	77	-1	1	109	6	4	com.netflix.hystrix.examples.basic.CommandWithFallbackViaNetwork	0	0	0	10	1	3			7	-1
-1	1	59	107	387	637.5514421541867	75	-1	0	118	0	0	com.netflix.hystrix.examples.basic.CommandUsingRequestCacheInvalidation	0	0	0	8	1	0			0	-1
0	2	51	119	332	690.8110613010621	78	-1	1	102	7	1	com.netflix.hystrix.examples.basic.CommandWithStubbedFallback	0	0	0	5	2	3			4	-1
0	2	69	78	388	464.9584164906153	69	0	0	146	9	9	com.netflix.hystrix.examples.basic.CommandFacadeWithPrimarySecondary	0	0	0	12	2	4			13	0
-1	0	62	73	212	391.0307980510569	283	-1	28	166	16	12	com.netflix.hystrix.perf.RollingNumberPerfTest	0	0	0	14	0	8			20	0
-1	0	47	53	266	295.92530436543007	284	-1	28	132	16	8	com.netflix.hystrix.perf.RollingMaxPerfTest	0	0	0	14	0	8			16	0
-1	0	124	162	1007	1120.186404620407	297	0	0	231	2	3	com.netflix.hystrix.perf.ObservableCollapserPerfTest	0	0	0	37	0	1			4	0
0	3	162	155	519	969.0451018907127	406	-1	66	303	33	34	com.netflix.hystrix.perf.CommandExecutionPerfTest	0	0	0	28	4	12			46	0
-1	0	38	60	263	334.3292419306659	279	-1	15	152	12	27	com.netflix.hystrix.perf.CommandExecutionAndConcurrentMetricsReadPerfTest	0	0	0	18	0	6			33	0
0	1	11	26	54	103.71358521067114	347	-1	1	42	6	0	com.netflix.hystrix.perf.CommandConstructionPerfTest	0	0	0	7	1	2			2	-1
-1	0	81	121	600	774.0284882811537	296	0	0	164	2	3	com.netflix.hystrix.perf.CollapserPerfTest	0	0	0	26	0	1			4	0
-1	0	48	64	313	367.7570041945698	282	-1	28	168	16	12	com.netflix.hystrix.perf.RollingPercentilePerfTest	0	0	0	15	0	8			20	0
0	1	1586	885	10876	8225.46771809084	130	-1	5151	2287	166	690	com.netflix.hystrix.HystrixCollapserTest	0	0	0	43	1	102			792	-1
