CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	204	com.netflix.discovery.DiscoveryClientHealthTest			false
false	false	false	false	162	com.netflix.discovery.DiscoveryClientRegistryTest			false
true	false	false	false	197	com.netflix.discovery.AbstractDiscoveryClientTester			false
true	false	false	false	194	com.netflix.discovery.DiscoveryStatusCheckerTest			false
false	false	false	false	201	com.netflix.discovery.TimedSupervisorTaskTest			false
false	false	false	false	195	com.netflix.discovery.EurekaLifecycleTest			false
false	false	false	false	175	com.netflix.discovery.DiscoveryClientDisableRegistryTest			false
true	false	false	false	172	com.netflix.discovery.BackUpRegistryTest			false
false	false	false	false	173	com.netflix.discovery.MockBackupRegistry			false
false	false	false	false	167	com.netflix.discovery.InstanceRegionCheckerTest			false
false	false	false	false	196	com.netflix.discovery.MockRemoteEurekaServer			false
false	false	false	false	78	com.netflix.discovery.BackupRegistry			false
false	true	false	true	80	com.netflix.discovery.DiscoveryClient	context	State	true
false	false	false	false	81	com.netflix.discovery.DiscoveryManager	singleton	Singleton	false
false	false	false	false	79	com.netflix.discovery.DefaultEurekaClientConfig			false
false	false	false	false	171	com.netflix.discovery.PropertyBasedAzToRegionMapper	context	State	false
false	false	false	false	186	com.netflix.discovery.StatusChangeEvent			false
false	false	false	false	169	com.netflix.discovery.AzToRegionMapper	state	State	false
false	false	false	false	82	com.netflix.discovery.EurekaClientConfig	state	State	false
false	false	false	false	161	com.netflix.discovery.InstanceRegionChecker	context	State	false
false	false	false	false	168	com.netflix.discovery.AbstractAzToRegionMapper	abstractClass	Template Method	false
false	false	false	false	192	com.netflix.discovery.EurekaUpStatusResolver			false
false	false	false	false	200	com.netflix.discovery.TimedSupervisorTask			false
false	false	false	false	193	com.netflix.discovery.InternalEurekaStatusModule			false
false	false	false	false	170	com.netflix.discovery.DNSBasedAzToRegionMapper			false
false	false	false	false	207	com.netflix.discovery.EurekaIdentityHeaderFilter	context	State	false
false	false	false	false	211	com.netflix.discovery.NotImplementedRegistryImpl			false
false	false	false	false	216	com.netflix.discovery.shared.ApplicationsTest			false
false	false	false	false	93	com.netflix.discovery.shared.EurekaJerseyClient			false
false	false	false	false	92	com.netflix.discovery.shared.Applications			false
false	false	false	false	94	com.netflix.discovery.shared.LookupService			false
false	false	false	false	95	com.netflix.discovery.shared.Pair	adaptee	(Object)Adapter	false
false	false	false	false	91	com.netflix.discovery.shared.Application			false
false	false	false	false	217	com.netflix.appinfo.AmazonInfoTest			false
false	false	false	false	179	com.netflix.appinfo.InstanceInfoTest			false
false	false	false	false	203	com.netflix.appinfo.HealthCheckHandler			false
false	false	false	false	71	com.netflix.appinfo.EurekaInstanceConfig	state	State	false
false	false	false	false	68	com.netflix.appinfo.ApplicationInfoManager	context	State	false
false	false	false	false	69	com.netflix.appinfo.CloudInstanceConfig			false
false	false	false	false	202	com.netflix.appinfo.HealthCheckCallbackToHandlerBridge	context	State	false
false	false	false	false	75	com.netflix.appinfo.LeaseInfo			false
false	false	false	false	77	com.netflix.appinfo.PropertiesInstanceConfig			false
false	false	false	false	66	com.netflix.appinfo.AbstractInstanceConfig	adapter	(Object)Adapter	false
false	false	false	false	73	com.netflix.appinfo.HealthCheckResource			false
false	false	false	false	76	com.netflix.appinfo.MyDataCenterInstanceConfig			false
false	false	false	false	72	com.netflix.appinfo.HealthCheckCallback	state	State	false
false	false	false	false	180	com.netflix.appinfo.UniqueIdentifier			false
false	false	false	false	205	com.netflix.appinfo.AbstractEurekaIdentity	state	State	false
false	false	false	false	67	com.netflix.appinfo.AmazonInfo			false
false	false	false	false	70	com.netflix.appinfo.DataCenterInfo			false
false	false	false	false	206	com.netflix.appinfo.EurekaClientIdentity			false
false	false	false	false	74	com.netflix.appinfo.InstanceInfo			false
false	false	false	false	190	com.netflix.discovery.providers.DefaultEurekaClientConfigProvider			false
false	false	false	false	89	com.netflix.discovery.provider.ISerializer			false
false	false	false	false	88	com.netflix.discovery.provider.DiscoveryJerseyProvider			false
false	false	false	false	87	com.netflix.discovery.converters.XmlXStream	singleton	Singleton	false
false	false	false	false	85	com.netflix.discovery.converters.EntityBodyConverter			false
false	false	false	false	84	com.netflix.discovery.converters.Converters			false
false	false	false	false	86	com.netflix.discovery.converters.JsonXStream	singleton	Singleton	false
false	false	false	false	187	com.netflix.appinfo.providers.CloudInstanceConfigProvider			false
false	false	false	false	188	com.netflix.appinfo.providers.EurekaConfigBasedInstanceInfoProvider	context	State	false
false	false	false	false	189	com.netflix.appinfo.providers.MyDataCenterInstanceConfigProvider			false
false	false	false	false	121	com.netflix.eureka.SampleEurekaClient			false
false	false	false	false	122	com.netflix.eureka.SampleEurekaService			false
false	false	false	false	199	com.netflix.eureka.AbstractTester			false
false	false	false	false	164	com.netflix.eureka.InstanceRegistryTest			false
false	false	false	false	214	com.netflix.eureka.RateLimitingFilterTest			false
false	false	false	false	165	com.netflix.eureka.DefaultEurekaServerConfigTest			false
false	false	false	false	210	com.netflix.eureka.RemoteRegionSoftDependencyTest			false
false	false	false	false	127	com.netflix.eureka.EurekaServerConfigurationManager	singleton	Singleton	false
false	false	false	true	129	com.netflix.eureka.PeerAwareInstanceRegistry	context	State	false
false	false	false	false	123	com.netflix.eureka.CurrentRequestVersion			false
false	false	false	false	157	com.netflix.eureka.RemoteRegionRegistry	context	State	false
false	false	false	false	208	com.netflix.eureka.EurekaServerIdentity			false
false	false	false	true	128	com.netflix.eureka.InstanceRegistry	abstraction	Bridge	true
false	false	false	false	126	com.netflix.eureka.EurekaServerConfig	implementor	Bridge	false
false	false	false	false	209	com.netflix.eureka.ServerRequestAuthFilter			false
false	false	false	false	125	com.netflix.eureka.EurekaBootStrap			false
false	false	false	false	131	com.netflix.eureka.V1AwareInstanceInfoConverter			false
false	false	false	false	130	com.netflix.eureka.StatusFilter			false
false	false	false	false	124	com.netflix.eureka.DefaultEurekaServerConfig			false
false	false	false	false	212	com.netflix.eureka.RateLimitingFilter			false
false	false	false	false	215	com.netflix.eureka.util.RateLimiterTest			false
false	false	false	false	213	com.netflix.eureka.util.RateLimiter			false
false	false	false	false	147	com.netflix.eureka.util.StatusInfo			false
false	false	false	false	146	com.netflix.eureka.util.MeasuredRate	adaptee	(Object)Adapter	false
false	false	false	false	143	com.netflix.eureka.util.AwsAsgUtil	context	State	false
false	false	false	false	144	com.netflix.eureka.util.EIPManager	context	State	false
false	false	false	false	166	com.netflix.eureka.mock.MockRemoteEurekaServer			false
false	false	false	false	218	com.netflix.eureka.resources.InstanceResourceTest			false
false	false	false	false	198	com.netflix.eureka.resources.ResponseCacheTest			false
false	false	false	false	160	com.netflix.eureka.resources.VIPResource			false
false	false	false	false	140	com.netflix.eureka.resources.InstancesResource			false
false	false	false	false	137	com.netflix.eureka.resources.ApplicationResource			false
false	false	false	false	136	com.netflix.eureka.resources.ASGResource			false
false	false	false	false	138	com.netflix.eureka.resources.ApplicationsResource	context	State	false
false	false	false	false	158	com.netflix.eureka.resources.AbstractVIPResource			false
false	false	false	false	159	com.netflix.eureka.resources.SecureVIPResource			false
false	false	false	false	139	com.netflix.eureka.resources.InstanceResource			false
false	false	false	false	141	com.netflix.eureka.resources.ResponseCache	singleton	Singleton	false
false	false	false	false	174	com.netflix.eureka.resources.PeerReplicationResource			false
false	false	false	false	142	com.netflix.eureka.resources.StatusResource			false
false	false	false	true	133	com.netflix.eureka.cluster.PeerEurekaNode	context	State	true
false	false	false	false	135	com.netflix.eureka.lease.LeaseManager			false
false	false	false	false	134	com.netflix.eureka.lease.Lease			false
