COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	3	148	142	601	908.6004807039994	314	21	0	220	91	51	com.netflix.discovery.EurekaArchaius2ClientConfig	0	0	0	10	5	45			96	21
0	3	65	159	437	966.7093780201988	313	1	3	117	17	17	com.netflix.discovery.Ec2EurekaArchaius2InstanceConfig	4	2	0	11	3	6			23	1
0	3	102	113	463	693.5631571117444	315	10	0	179	55	31	com.netflix.discovery.EurekaArchaius2InstanceConfig	15	13	1	9	5	28			59	10
0	7	89	127	477	783.2745943428193	230	-1	37	214	36	67	com.netflix.discovery.DiscoveryClientRedirectTest	0	0	0	26	9	10			77	0
-1	0	103	115	614	738.2994167369213	204	-1	6	162	7	24	com.netflix.discovery.DiscoveryClientHealthTest	4	0	0	6	0	4			28	0
0	4	132	156	618	1002.5321993633997	162	4	0	268	34	168	com.netflix.discovery.DiscoveryClientRegistryTest	0	0	0	35	6	14			182	4
0	3	52	86	251	475.1889527653334	278	-1	1	120	14	48	com.netflix.discovery.DiscoveryClientEventBusTest	0	0	0	31	3	6			54	1
-1	0	15	30	57	121.29153803503651	197	0	1	28	5	6	com.netflix.discovery.AbstractDiscoveryClientTester	2	0	2	3	0	2			8	0
0	6	154	192	803	1284.1641050777782	194	0	11	240	27	74	com.netflix.discovery.DiscoveryStatusCheckerTest	0	0	0	27	14	14			88	0
0	5	118	130	701	851.8260253144967	201	3	0	194	14	27	com.netflix.discovery.TimedSupervisorTaskTest	0	0	0	13	9	7			34	3
0	4	131	148	654	959.4998880156654	277	-1	65	184	24	50	com.netflix.discovery.BaseDiscoveryClientTester	0	0	1	9	22	14			64	-1
0	2	29	66	141	326.6181527649591	175	0	1	53	8	13	com.netflix.discovery.DiscoveryClientDisableRegistryTest	0	0	0	9	2	3			16	0
0	3	73	95	322	548.5823968267188	268	2	0	112	15	33	com.netflix.discovery.DiscoveryClientRegisterUpdateTest	0	0	0	11	3	6			39	2
0	4	142	183	740	1209.0169840742733	172	-1	20	195	31	80	com.netflix.discovery.BackUpRegistryTest	0	0	0	15	13	13			93	-1
0	2	40	60	225	324.9660241322652	173	1	0	59	13	3	com.netflix.discovery.MockBackupRegistry	0	0	0	5	2	6			9	1
0	1	18	38	94	172.64520172626015	243	0	1	31	6	9	com.netflix.discovery.DiscoveryClientCloseJerseyThreadTest	2	0	0	4	1	2			11	0
0	5	90	100	486	618.6208623900494	443	0	9	183	13	60	com.netflix.discovery.EurekaClientLifecycleTest	0	0	0	33	7	6			66	0
-1	0	54	49	271	274.5038222231054	167	-1	10	85	10	48	com.netflix.discovery.InstanceRegionCheckerTest	0	0	0	5	0	5			53	0
0	8	246	322	2354	2499.9665546781116	196	-1	52	327	24	19	com.netflix.discovery.MockRemoteEurekaServer	0	0	0	25	17	12			31	-1
0	3	55	69	249	380.7042498560648	269	1	0	99	17	40	com.netflix.discovery.InstanceInfoReplicatorTest	0	0	0	15	4	6			46	1
-1	0	6	33	35	117.32648602915064	275	-1	0	11	0	0	com.netflix.discovery.CacheRefreshedEvent	0	0	0	0	0	0			0	-1
-1	0	8	59	72	252.32330102194726	78	0	1	41	2	0	com.netflix.discovery.BackupRegistry	0	0	0	2	0	2			2	0
