CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	314	com.netflix.discovery.EurekaArchaius2ClientConfig			false
false	false	false	false	313	com.netflix.discovery.Ec2EurekaArchaius2InstanceConfig			false
false	false	false	false	315	com.netflix.discovery.EurekaArchaius2InstanceConfig			false
false	false	false	false	312	com.netflix.discovery.EurekaArchaius2Module			false
false	false	false	false	230	com.netflix.discovery.DiscoveryClientRedirectTest			false
false	false	false	false	204	com.netflix.discovery.DiscoveryClientHealthTest			false
false	false	false	false	162	com.netflix.discovery.DiscoveryClientRegistryTest			false
false	false	false	false	278	com.netflix.discovery.DiscoveryClientEventBusTest			false
false	false	false	false	197	com.netflix.discovery.AbstractDiscoveryClientTester			false
true	false	false	false	194	com.netflix.discovery.DiscoveryStatusCheckerTest			false
false	false	false	false	231	com.netflix.discovery.DiscoveryClientRule			false
false	false	false	false	201	com.netflix.discovery.TimedSupervisorTaskTest			false
true	false	false	false	277	com.netflix.discovery.BaseDiscoveryClientTester			false
false	false	false	false	195	com.netflix.discovery.EurekaLifecycleTest			false
false	false	false	false	175	com.netflix.discovery.DiscoveryClientDisableRegistryTest			false
false	false	false	false	268	com.netflix.discovery.DiscoveryClientRegisterUpdateTest			false
true	false	false	false	172	com.netflix.discovery.BackUpRegistryTest			false
false	false	false	false	173	com.netflix.discovery.MockBackupRegistry			false
false	false	false	false	243	com.netflix.discovery.DiscoveryClientCloseJerseyThreadTest			false
false	false	false	false	167	com.netflix.discovery.InstanceRegionCheckerTest			false
false	false	false	false	196	com.netflix.discovery.MockRemoteEurekaServer			false
false	false	false	false	269	com.netflix.discovery.InstanceInfoReplicatorTest			false
false	false	false	false	275	com.netflix.discovery.CacheRefreshedEvent			false
false	false	false	false	78	com.netflix.discovery.BackupRegistry			false
false	true	false	true	80	com.netflix.discovery.DiscoveryClient	context	State	true
false	false	false	false	81	com.netflix.discovery.DiscoveryManager	singleton	Singleton	false
false	false	false	false	79	com.netflix.discovery.DefaultEurekaClientConfig			false
false	false	false	false	171	com.netflix.discovery.PropertyBasedAzToRegionMapper	context	State	false
false	false	false	false	186	com.netflix.discovery.StatusChangeEvent			false
false	false	false	false	229	com.netflix.discovery.DnsResolver			false
false	false	false	false	169	com.netflix.discovery.AzToRegionMapper	state	State	false
false	false	false	false	82	com.netflix.discovery.EurekaClientConfig	state	State	false
false	false	false	false	234	com.netflix.discovery.EurekaClient	creator	Factory Method	false
false	false	false	false	161	com.netflix.discovery.InstanceRegionChecker	context	State	false
false	false	false	false	168	com.netflix.discovery.AbstractAzToRegionMapper	abstractClass	Template Method	false
false	false	false	false	192	com.netflix.discovery.EurekaUpStatusResolver	context	State	false
false	false	false	false	276	com.netflix.discovery.DiscoveryEvent			false
false	false	false	false	200	com.netflix.discovery.TimedSupervisorTask			false
false	false	false	false	193	com.netflix.discovery.InternalEurekaStatusModule			false
false	false	false	false	333	com.netflix.discovery.EurekaClientNames			false
false	false	false	false	267	com.netflix.discovery.InstanceInfoReplicator			false
false	false	false	false	170	com.netflix.discovery.DNSBasedAzToRegionMapper			false
false	false	false	false	207	com.netflix.discovery.EurekaIdentityHeaderFilter	context	State	false
false	false	false	false	211	com.netflix.discovery.NotImplementedRegistryImpl			false
false	false	false	false	341	com.netflix.discovery.util.InstanceInfoGeneratorTest			false
false	false	false	false	281	com.netflix.discovery.util.DiagnosticClient			false
false	false	false	false	232	com.netflix.discovery.util.ApplicationFunctions			false
false	false	false	false	233	com.netflix.discovery.util.InstanceInfoGenerator			false
false	false	false	false	270	com.netflix.discovery.util.RateLimiterTest			false
false	false	false	false	320	com.netflix.discovery.util.DiscoveryBuildInfoTest			false
false	false	false	false	213	com.netflix.discovery.util.RateLimiter			false
false	false	false	false	219	com.netflix.discovery.util.StringCache	singleton	Singleton	false
false	false	false	false	334	com.netflix.discovery.util.ThresholdLevelsMetric	adaptee	(Object)Adapter	false
false	false	false	false	319	com.netflix.discovery.util.DiscoveryBuildInfo	singleton	Singleton	false
false	false	false	false	340	com.netflix.discovery.util.EurekaEntityTransformers			false
false	false	false	false	226	com.netflix.discovery.util.EurekaEntityComparators			false
false	false	false	false	339	com.netflix.discovery.util.EurekaEntityFunctions			false
false	false	false	false	216	com.netflix.discovery.shared.ApplicationsTest			false
false	false	false	false	318	com.netflix.discovery.shared.EurekaJerseyClient	state	State	false
false	false	false	false	92	com.netflix.discovery.shared.Applications			false
false	false	false	false	241	com.netflix.discovery.shared.NamedConnectionPool			false
false	false	false	false	94	com.netflix.discovery.shared.LookupService			false
false	false	false	false	95	com.netflix.discovery.shared.Pair	adaptee	(Object)Adapter	false
false	false	false	false	240	com.netflix.discovery.shared.MonitoredConnectionManager			false
false	false	false	false	272	com.netflix.discovery.shared.JerseyEurekaHttpClient	abstractClass	Template Method	false
false	false	false	false	91	com.netflix.discovery.shared.Application			false
false	false	false	false	338	com.netflix.discovery.shared.EurekaJerseyClientImpl			false
false	false	false	false	271	com.netflix.discovery.shared.EurekaHttpClient			false
false	false	false	false	242	com.netflix.discovery.converters.XmlCodecTest			false
false	false	false	false	298	com.netflix.discovery.converters.EurekaCodecCompatibilityTest			false
false	false	false	false	225	com.netflix.discovery.converters.CodecLoadTester			false
false	false	false	false	227	com.netflix.discovery.converters.EurekaJacksonCodecTest			false
false	false	false	false	220	com.netflix.discovery.converters.StringCacheTest			false
