COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	14	26	50	101.71259814113179	530	0	0	26	1	3	com.netflix.discovery.internal.util.InternalPrefixedConfigTest	0	0	0	4	0	1			4	0
0	2	50	98	314	563.4405126190088	529	-1	0	71	22	14	com.netflix.discovery.internal.util.InternalPrefixedConfig	0	0	0	2	2	10	adaptee	(Object)Adapter	24	-1
-1	0	26	57	149	285.22493943889117	525	0	0	39	6	10	com.netflix.discovery.internal.util.AmazonInfoUtils	0	0	0	6	0	1			11	0
1	2	23	71	139	350.3476492522791	517	0	0	44	4	8	com.netflix.discovery.internal.util.Archaius1Utils	0	0	0	6	3	1			9	0
-1	0	24	40	110	188.01921463169666	523	-1	3	51	4	16	com.netflix.discovery.guice.EurekaClientModuleConfigurationTest	0	0	0	10	0	3			19	-1
0	1	38	67	170	344.09849528236754	509	0	0	88	7	23	com.netflix.discovery.guice.NonEc2EurekaClientModuleTest	0	0	0	19	1	4			27	0
0	1	39	69	176	356.76339565763243	524	0	0	96	7	23	com.netflix.discovery.guice.Ec2EurekaClientModuleTest	0	0	0	20	1	4			27	0
0	1	45	79	256	438.0690181138854	519	-1	15	119	12	15	com.netflix.discovery.guice.InternalEurekaClientModule	0	0	0	27	2	6			21	0
-1	0	21	93	166	475.41486431715856	522	-1	10	62	8	9	com.netflix.discovery.guice.EurekaClientModule	0	0	0	4	0	5			14	-1
0	1	39	64	168	327.93369468180856	239	0	0	81	7	24	com.netflix.discovery.guice.EurekaModuleTest	0	0	0	20	1	4			28	0
-1	0	20	41	79	179.14736195114787	235	-1	3	54	6	10	com.netflix.discovery.guice.EurekaModule	0	0	0	15	0	3			13	0
0	1	41	69	179	357.9296206030121	505	0	0	85	7	25	com.netflix.discovery.guice.Jersey2EurekaModuleTest	0	0	0	21	1	4			29	0
-1	0	23	45	91	202.98867779325823	503	-1	6	61	8	11	com.netflix.discovery.guice.Jersey2EurekaModule	0	0	0	18	0	4			15	0
0	3	36	51	164	260.09318781903414	531	0	2	66	9	14	com.netflix.appinfo.Ec2EurekaArchaius2InstanceConfigTest	0	0	0	10	3	5			19	0
0	4	81	157	519	981.5489096570445	313	-1	26	133	29	10	com.netflix.appinfo.Ec2EurekaArchaius2InstanceConfig	10	2	0	8	4	12			22	-1
0	5	111	137	539	861.6910332145327	315	-1	0	190	58	34	com.netflix.appinfo.EurekaArchaius2InstanceConfig	15	13	1	12	6	28			62	8
0	3	37	52	150	260.5530352930053	506	2	0	71	16	6	com.netflix.appinfo.Archaius2AmazonInfoConfig	0	0	0	7	3	9	adapter	(Object)Adapter	15	2
1	1	60	66	255	365.7233939804561	528	2	0	95	10	48	com.netflix.appinfo.RefreshableAmazonInfoProviderTest	0	0	0	9	1	7			55	2
-1	0	11	54	108	252.83508626470788	217	0	0	37	2	3	com.netflix.appinfo.AmazonInfoTest	0	0	0	4	0	1			4	0
0	4	67	83	311	476.4028117108764	454	1	1	116	12	48	com.netflix.appinfo.ApplicationInfoManagerTest	0	0	0	14	4	7			55	1
-1	0	69	88	314	505.9465827599263	179	-1	28	142	16	63	com.netflix.appinfo.InstanceInfoTest	0	0	0	15	0	8			71	0
0	3	44	55	208	293.5645943835725	455	0	9	79	12	17	com.netflix.appinfo.CloudInstanceConfigTest	0	0	0	9	3	7			24	0
-1	0	7	26	30	88.43113192321604	203	0	0	12	1	0	com.netflix.appinfo.HealthCheckHandler	0	0	0	0	0	1			1	0
-1	0	137	458	1911	3460.3649304620453	71	0	325	376	98	0	com.netflix.appinfo.EurekaInstanceConfig	0	0	0	2	0	26	state	State	26	0
0	5	177	365	1212	2591.50991581968	68	-1	0	282	39	39	com.netflix.appinfo.ApplicationInfoManager	0	0	0	9	7	16	context	State	55	-1
-1	1	16	26	66	108.93102329268706	512	-1	0	22	0	0	com.netflix.appinfo.PropertyBasedAmazonInfoConfigConstants	0	0	0	0	6	0			0	-1
-1	0	36	115	243	631.702065984163	510	0	21	54	17	0	com.netflix.appinfo.AmazonInfoConfig	0	0	0	0	0	7	state	State	7	0
0	3	99	198	624	1274.3577729371468	69	-1	80	172	37	17	com.netflix.appinfo.CloudInstanceConfig	15	2	0	7	3	17	adapter	(Object)Adapter	34	-1
1	1	18	45	85	199.91930654206425	202	1	0	28	5	1	com.netflix.appinfo.HealthCheckCallbackToHandlerBridge	0	0	0	0	1	3	context	State	4	1
0	2	154	240	947	1644.7917823646587	75	0	16	247	22	0	com.netflix.appinfo.LeaseInfo	0	0	0	4	8	8			8	0
0	2	129	231	764	1533.5091592974663	77	11	0	309	63	64	com.netflix.appinfo.PropertiesInstanceConfig	15	14	2	9	3	29			93	11
0	6	87	128	414	771.3108446496402	66	-1	167	228	37	10	com.netflix.appinfo.AbstractInstanceConfig	0	0	2	7	11	19	adapter	(Object)Adapter	29	-1
1	1	26	58	90	260.98896087915534	73	0	0	65	4	6	com.netflix.appinfo.HealthCheckResource	0	0	0	6	1	1			7	0
-1	0	14	36	58	146.1759483796711	76	0	3	44	3	0	com.netflix.appinfo.MyDataCenterInstanceConfig	3	0	0	3	0	3			3	0
0	3	109	210	786	1400.0609264101333	527	-1	0	154	23	34	com.netflix.appinfo.RefreshableAmazonInfoProvider	0	0	0	7	3	8	context	State	42	-1
-1	1	36	53	175	273.7336566179463	513	-1	0	50	0	0	com.netflix.appinfo.PropertyBasedInstanceConfigConstants	0	0	0	0	24	0			0	-1
