COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	7	89	128	478	789.7101737589064	230	-1	37	213	36	67	com.netflix.discovery.DiscoveryClientRedirectTest	0	0	0	25	9	10			77	0
-1	0	92	102	538	641.361573136502	204	-1	6	148	7	24	com.netflix.discovery.DiscoveryClientHealthTest	2	2	0	6	0	4			28	0
-1	0	126	152	772	1010.645651603766	162	-1	66	191	35	68	com.netflix.discovery.DiscoveryClientRegistryTest	12	0	0	10	0	12			80	0
0	4	141	160	697	1047.4856657216837	197	0	94	202	29	56	com.netflix.discovery.AbstractDiscoveryClientTester	0	0	2	10	22	16			72	0
0	6	154	192	803	1284.1641050777782	194	0	11	243	27	74	com.netflix.discovery.DiscoveryStatusCheckerTest	0	0	0	27	14	14			88	0
0	6	107	146	588	931.0021343931995	231	-1	28	141	18	26	com.netflix.discovery.DiscoveryClientRule	0	0	0	9	8	9			35	-1
0	5	118	130	701	851.8260253144967	201	3	0	194	14	27	com.netflix.discovery.TimedSupervisorTaskTest	0	0	0	13	9	7			34	3
-1	0	50	61	232	332.2509796716449	195	-1	15	87	10	46	com.netflix.discovery.EurekaLifecycleTest	0	0	0	12	0	6			52	0
0	2	28	62	134	303.6660675969565	175	0	1	52	8	13	com.netflix.discovery.DiscoveryClientDisableRegistryTest	0	0	0	10	2	3			16	0
0	4	146	182	762	1207.7422731349698	172	-1	29	192	33	79	com.netflix.discovery.BackUpRegistryTest	0	0	0	13	13	14			93	-1
0	2	40	60	225	324.9660241322652	173	1	0	59	13	3	com.netflix.discovery.MockBackupRegistry	0	0	0	5	2	6			9	1
-1	0	54	49	271	274.5038222231054	167	-1	10	85	10	48	com.netflix.discovery.InstanceRegionCheckerTest	0	0	0	5	0	5			53	0
0	6	208	279	1858	2100.1044015052858	196	-1	52	273	24	19	com.netflix.discovery.MockRemoteEurekaServer	0	0	0	19	13	12			31	-1
-1	0	8	59	72	252.32330102194726	78	0	1	41	2	0	com.netflix.discovery.BackupRegistry	0	0	0	2	0	2			2	0
0	29	1391	1586	7946	14242.952363090028	80	-1	587	1984	264	419	com.netflix.discovery.DiscoveryClient	0	0	0	64	48	62	context	State	481	-1
0	4	84	157	484	970.5873303545112	81	-1	24	148	23	5	com.netflix.discovery.DiscoveryManager	0	0	0	9	5	12	singleton	Singleton	17	-1
0	4	158	240	863	1622.4995258600227	79	-1	0	490	81	86	com.netflix.discovery.DefaultEurekaClientConfig	0	0	0	13	8	40			126	18
1	1	12	32	45	121.81319967265023	171	0	0	22	3	2	com.netflix.discovery.PropertyBasedAzToRegionMapper	1	1	0	3	1	2	context	State	4	0
0	1	34	86	180	446.5942891765581	186	1	0	50	12	1	com.netflix.discovery.StatusChangeEvent	0	0	0	1	2	5			6	1
0	3	90	152	549	958.8309631094486	229	0	8	114	19	14	com.netflix.discovery.DnsResolver	0	0	0	11	9	5			19	0
-1	0	21	85	150	425.90399999818175	169	0	3	32	6	0	com.netflix.discovery.AzToRegionMapper	0	0	0	0	0	3	state	State	3	0
-1	0	192	532	2148	4081.659586394498	82	0	666	501	125	0	com.netflix.discovery.EurekaClientConfig	0	0	0	3	0	37	state	State	37	0
-1	0	86	271	850	1827.9590507102623	234	0	91	168	43	0	com.netflix.discovery.EurekaClient	0	0	0	9	0	14	creator	Factory Method	14	0
0	2	31	52	150	260.5530352930053	161	-1	0	47	10	7	com.netflix.discovery.InstanceRegionChecker	0	0	0	5	2	5	context	State	12	1
0	4	101	204	772	1356.3928482050544	168	-1	18	145	19	23	com.netflix.discovery.AbstractAzToRegionMapper	0	0	2	14	5	8	abstractClass	Template Method	31	-1
0	5	46	104	233	566.9079991708328	192	1	1	79	10	10	com.netflix.discovery.EurekaUpStatusResolver	0	0	0	11	5	6	context	State	16	1
0	8	61	118	349	690.8984868198863	200	0	0	88	6	15	com.netflix.discovery.TimedSupervisorTask	0	0	0	14	11	2			17	0
-1	0	38	72	231	391.8540751575691	193	-1	0	76	1	3	com.netflix.discovery.InternalEurekaStatusModule	0	0	0	10	0	1			4	-1
-1	0	13	40	62	165.08537540180367	170	-1	0	24	3	3	com.netflix.discovery.DNSBasedAzToRegionMapper	0	1	0	4	0	1			4	-1
1	1	16	33	89	148.12500020116062	207	0	0	30	5	7	com.netflix.discovery.EurekaIdentityHeaderFilter	0	0	0	5	1	2	context	State	9	0
-1	0	11	28	48	108.39362830542095	211	0	1	22	4	0	com.netflix.discovery.NotImplementedRegistryImpl	0	0	0	2	0	2			2	0
-1	0	77	112	475	690.2912580518798	232	-1	28	98	26	29	com.netflix.discovery.util.ApplicationFunctions	0	0	0	8	0	8			37	-1
0	4	65	126	436	765.7829226619783	233	-1	9	132	20	37	com.netflix.discovery.util.InstanceInfoGenerator	0	0	0	14	8	7			44	-1
-1	0	26	61	133	298.311296821527	216	0	1	51	4	17	com.netflix.discovery.shared.ApplicationsTest	0	0	0	8	0	2			19	0
