CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	338	com.netflix.zuul.passport.CurrentPassportTest			false
false	false	false	false	316	com.netflix.zuul.passport.StartAndEnd			false
false	false	false	false	313	com.netflix.zuul.passport.CurrentPassport			false
false	false	false	false	314	com.netflix.zuul.passport.PassportItem			false
false	false	false	false	345	com.netflix.zuul.init2.TestZuulFilter2			false
false	false	false	false	194	com.netflix.zuul.init.ZuulFiltersModuleTest			false
false	false	false	false	193	com.netflix.zuul.init.ZuulFiltersModuleIntegTest			false
false	false	false	false	192	com.netflix.zuul.init.TestZuulFilter			false
false	false	false	false	196	com.netflix.zuul.init.ZuulFiltersModule			false
false	false	false	false	365	com.netflix.zuul.com.netflix.zuul.netty.server.push.PushConnectionTest			false
false	false	false	false	191	com.netflix.zuul.guice.TestGuiceFieldFilter			false
false	false	false	false	190	com.netflix.zuul.guice.TestGuiceConstructorFilter			false
false	false	false	false	189	com.netflix.zuul.guice.GuiceFilterFactoryIntegTest			false
false	false	false	false	188	com.netflix.zuul.guice.GuiceFilterFactory			false
false	false	false	false	363	io.netty.bootstrap.ZuulBootstrap			false
false	false	false	false	324	io.netty.handler.codec.http2.DefaultHttp2PushPromiseFrame			false
false	false	false	false	325	io.netty.handler.codec.http2.Http2FrameCodec			false
false	false	false	false	328	io.netty.handler.codec.http2.Http2PushPromiseFrame			false
false	false	false	false	198	com.netflix.config.PatternListStringProperty			false
false	false	false	false	197	com.netflix.config.DynamicIntegerSetProperty			false
false	false	false	false	136	com.netflix.zuul.BasicRequestCompleteHandler	context	State	false
false	false	false	false	6	com.netflix.zuul.FilterFileManager			false
false	false	false	false	5	com.netflix.zuul.DynamicCodeCompiler	state	State	false
false	false	false	false	7	com.netflix.zuul.FilterLoader	context	State	false
false	false	false	false	195	com.netflix.zuul.BasicFilterUsageNotifier			false
false	false	false	false	72	com.netflix.zuul.FilterUsageNotifier	implementor	Bridge	false
false	false	false	false	66	com.netflix.zuul.DefaultFilterFactory			false
false	false	false	false	36	com.netflix.zuul.ZuulApplicationInfo			false
false	false	false	false	67	com.netflix.zuul.FilterFactory	state	State	false
false	false	false	false	98	com.netflix.zuul.RequestCompleteHandler	state	State	false
false	false	false	false	47	com.netflix.zuul.event.ZuulEvent			false
false	false	false	false	60	com.netflix.zuul.stats.ZuulEvent			false
false	false	false	false	56	com.netflix.zuul.stats.ErrorStatsManager	singleton	Singleton	false
false	false	false	false	140	com.netflix.zuul.stats.Timings			false
false	false	false	false	59	com.netflix.zuul.stats.StatsManager	singleton	Singleton	false
false	false	false	false	55	com.netflix.zuul.stats.ErrorStatsData			false
false	false	false	false	80	com.netflix.zuul.stats.Timing			false
false	false	false	false	137	com.netflix.zuul.stats.BasicRequestMetricsPublisher			false
false	false	false	false	54	com.netflix.zuul.stats.AmazonInfoHolder			false
false	false	false	false	102	com.netflix.zuul.stats.RequestMetricsPublisher	state	State	false
false	false	false	false	57	com.netflix.zuul.stats.NamedCountingMonitor			false
false	false	false	false	58	com.netflix.zuul.stats.RouteStatusCodeMonitor			false
false	false	false	false	62	com.netflix.zuul.stats.monitoring.MonitorRegistry	context	State	false
false	false	false	false	61	com.netflix.zuul.stats.monitoring.Monitor	state	State	false
false	false	false	false	63	com.netflix.zuul.stats.monitoring.NamedCount			false
false	false	false	false	317	com.netflix.zuul.stats.status.StatusCategory			false
false	false	false	false	318	com.netflix.zuul.stats.status.StatusCategoryGroup			false
false	false	false	false	319	com.netflix.zuul.stats.status.StatusCategoryUtils			false
false	false	false	false	33	com.netflix.zuul.plugins.MetricPoller			false
false	false	false	false	32	com.netflix.zuul.plugins.Counter			false
false	false	false	false	35	com.netflix.zuul.plugins.Tracer			false
false	false	false	false	34	com.netflix.zuul.plugins.ServoMonitor			false
false	false	false	false	109	com.netflix.zuul.origins.LoadBalancer			false
false	false	false	false	110	com.netflix.zuul.origins.LoadBalancerFactory			false
false	false	false	false	343	com.netflix.zuul.origins.OriginThrottledException			false
false	false	false	false	111	com.netflix.zuul.origins.Origin			false
false	false	false	false	309	com.netflix.zuul.origins.BasicNettyOrigin	context	State	false
false	false	false	false	310	com.netflix.zuul.origins.BasicNettyOriginManager			false
false	false	false	false	116	com.netflix.zuul.origins.ServerInfo			false
false	false	false	false	311	com.netflix.zuul.origins.InstrumentedOrigin			false
false	false	false	false	312	com.netflix.zuul.origins.NettyOrigin	state	State	false
false	false	false	false	112	com.netflix.zuul.origins.OriginManager			false
false	false	false	false	342	com.netflix.zuul.origins.OriginConcurrencyExceededException			false
false	false	false	false	252	com.netflix.zuul.logging.Http2FrameLoggingPerClientIpHandler			false
false	false	false	false	251	com.netflix.zuul.logging.FilteredPatternLayout			false
false	false	false	false	17	com.netflix.zuul.exception.ZuulException			false
false	false	false	false	242	com.netflix.zuul.exception.OutboundException			false
