COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	55	70	366	413.1843333380956	427	0	0	167	2	0	com.netflix.zuul.message.HeadersBenchmark	0	0	0	13	0	1			1	0
-1	0	94	64	461	392.5374747517855	387	-1	36	147	9	61	com.netflix.zuul.message.ZuulMessageImplTest	0	0	0	9	0	9			70	0
-1	0	488	260	2092	1987.9277145480514	386	-1	1326	721	61	303	com.netflix.zuul.message.HeadersTest	0	0	0	17	0	52			355	-1
0	6	143	181	793	1208.3240031159073	147	-1	139	235	53	37	com.netflix.zuul.message.ZuulMessageImpl	0	0	0	15	7	22	adapter	(Object)Adapter	59	-1
0	2	49	83	233	452.4361916459531	149	-1	2	84	18	5	com.netflix.zuul.message.HeaderName	0	0	0	1	3	8			13	-1
-1	0	84	236	645	1526.7430747638023	79	0	171	144	39	0	com.netflix.zuul.message.ZuulMessage	0	0	0	5	0	19	creator	Factory Method	19	0
0	3	524	500	3416	4068.11277745423	74	-1	1650	679	166	191	com.netflix.zuul.message.Headers	0	0	0	17	5	60	adaptee	(Object)Adapter	251	-1
0	2	42	82	229	445.5652042914477	148	2	0	73	17	5	com.netflix.zuul.message.Header	0	0	0	0	2	7			12	2
0	6	71	98	369	579.2580711159717	379	2	0	150	14	38	com.netflix.zuul.DynamicFilterLoaderTest	0	0	0	20	6	6			44	2
-1	0	42	33	171	169.6748973645878	433	-1	21	90	7	30	com.netflix.zuul.AttrsTest	0	0	0	8	0	7			37	0
1	1	59	60	344	350.4384994424039	424	0	0	133	2	10	com.netflix.zuul.StaticFilterLoaderTest	0	0	0	12	1	2			12	0
0	2	22	45	92	203.48048596720682	378	0	1	71	5	11	com.netflix.zuul.FilterFileManagerTest	0	0	0	14	4	2			13	0
1	1	12	39	58	158.35727741131035	136	0	0	48	2	2	com.netflix.zuul.BasicRequestCompleteHandler	0	0	0	6	1	1	context	State	3	0
0	7	147	236	921	1610.8085685562523	6	-1	5	225	27	40	com.netflix.zuul.FilterFileManager	0	0	0	18	8	10	context	State	50	-1
-1	0	7	33	42	123.34309740335115	5	0	1	32	4	0	com.netflix.zuul.DynamicCodeCompiler	0	0	0	1	0	2	state	State	2	0
0	2	26	125	209	667.7917814956014	7	0	10	68	12	0	com.netflix.zuul.FilterLoader	0	0	0	7	2	5	implementor	Bridge	5	0
0	8	139	272	1009	1881.3464855361815	422	-1	0	212	34	47	com.netflix.zuul.DynamicFilterLoader	0	0	0	16	9	9	context	State	56	-1
0	2	13	43	61	176.76757615945237	195	0	0	42	4	7	com.netflix.zuul.BasicFilterUsageNotifier	0	0	0	3	2	2			9	0
-1	0	6	33	37	119.1602911172594	72	0	0	30	2	0	com.netflix.zuul.FilterUsageNotifier	0	0	0	1	0	1	implementor	Bridge	1	0
-1	0	13	55	76	238.1903337157482	66	0	0	37	4	1	com.netflix.zuul.DefaultFilterFactory	0	0	0	1	0	1			2	0
0	1	20	41	86	182.6282391463938	36	0	2	43	6	0	com.netflix.zuul.ZuulApplicationInfo	0	0	0	0	2	4			4	0
0	4	78	140	603	896.268407541806	423	-1	17	158	23	25	com.netflix.zuul.StaticFilterLoader	0	0	0	28	4	7			32	0
0	1	73	160	486	989.793379824079	431	1	6	132	19	6	com.netflix.zuul.Attrs	0	0	0	9	1	9			15	1
-1	0	12	41	58	166.4781634324032	67	0	0	33	4	0	com.netflix.zuul.FilterFactory	0	0	0	1	0	1	state	State	1	0
-1	0	3	11	13	28.214442932076903	98	0	0	24	1	0	com.netflix.zuul.RequestCompleteHandler	0	0	0	2	0	1	state	State	1	0
1	1	11	42	49	163.4564525206463	447	0	0	39	2	1	com.netflix.zuul.BaseInjectionIntegTest	0	0	2	5	1	1			2	0
-1	0	37	42	188	219.93056243885786	338	-1	15	92	6	26	com.netflix.zuul.passport.CurrentPassportTest	0	0	0	4	0	6			32	0
0	1	16	22	56	88.55773719617329	316	0	2	41	8	0	com.netflix.zuul.passport.StartAndEnd	0	0	0	0	2	4			4	0
0	10	313	298	2204	2294.0126927412957	313	-1	201	528	93	104	com.netflix.zuul.passport.CurrentPassport	0	0	0	24	12	31			135	-1
0	2	17	27	71	115.09235668011551	314	1	0	45	7	0	com.netflix.zuul.passport.PassportItem	0	0	0	0	2	4			4	1
-1	0	61	80	265	446.37838607889773	395	-1	15	121	7	29	com.netflix.zuul.stats.StatsManagerTest	0	0	0	12	0	6			35	0
-1	0	22	33	86	146.99346077636574	393	-1	1	53	2	8	com.netflix.zuul.stats.ErrorStatsManagerTest	0	0	0	6	0	2			10	0
-1	0	25	38	102	175.74896690480227	394	0	1	56	2	6	com.netflix.zuul.stats.RouteStatusCodeMonitorTest	0	0	0	6	0	2			8	0
-1	0	23	35	94	159.01531737945012	392	0	1	56	2	6	com.netflix.zuul.stats.ErrorStatsDataTest	0	0	0	6	0	2			8	0
0	1	52	89	266	496.9311714815712	56	0	1	87	10	7	com.netflix.zuul.stats.ErrorStatsManager	0	0	0	3	2	3	singleton	Singleton	10	0
0	5	159	260	1095	1819.6125069851564	59	-1	49	252	35	41	com.netflix.zuul.stats.StatsManager	0	0	0	10	12	11	singleton	Singleton	52	-1
0	2	44	118	257	654.790978017636	55	0	5	88	12	11	com.netflix.zuul.stats.ErrorStatsData	0	0	0	5	3	6			17	0
-1	0	7	24	26	78.19431691251557	137	0	0	33	1	0	com.netflix.zuul.stats.BasicRequestMetricsPublisher	0	0	0	1	0	1			1	0
0	1	12	30	42	112.13008854850105	54	0	1	35	3	0	com.netflix.zuul.stats.AmazonInfoHolder	0	0	0	1	1	2			2	0
-1	0	6	19	20	56.918913197525825	102	0	0	28	1	0	com.netflix.zuul.stats.RequestMetricsPublisher	0	0	0	1	0	1	state	State	1	0
0	2	35	57	127	276.1186639281397	57	0	6	73	9	9	com.netflix.zuul.stats.NamedCountingMonitor	0	0	0	6	2	5			14	0
0	3	49	94	257	521.6131519801506	58	0	5	93	12	10	com.netflix.zuul.stats.RouteStatusCodeMonitor	0	0	0	8	4	6			16	0
-1	0	22	35	93	158.64098226036396	434	0	0	62	1	12	com.netflix.zuul.monitoring.ConnTimerTest	0	0	0	11	0	1			13	0
-1	0	32	42	137	206.63919888478125	438	-1	1	76	2	21	com.netflix.zuul.monitoring.ConnCounterTest	0	0	0	11	0	2			23	0
0	10	76	156	440	949.5368573983199	437	-1	14	151	20	29	com.netflix.zuul.monitoring.ConnCounter	0	0	0	12	11	8			37	-1
-1	0	20	42	99	192.99503370565276	26	0	0	43	1	1	com.netflix.zuul.monitoring.MonitoringHelper	0	0	0	0	0	1			2	0
0	8	64	114	365	672.588298308404	432	-1	0	133	19	24	com.netflix.zuul.monitoring.ConnTimer	0	0	0	15	10	6			30	-1
-1	0	15	33	54	131.63647353662105	27	0	1	38	3	0	com.netflix.zuul.monitoring.Tracer	0	0	0	0	0	2			2	0
0	0	23	54	104	250.7971085536341	28	0	1	50	7	2	com.netflix.zuul.monitoring.TracerFactory	0	0	1	0	1	3	creator	Factory Method	5	0
0	2	31	59	197	311.7090199955413	382	0	1	79	4	5	com.netflix.zuul.filters.BaseFilterTest	0	0	0	9	3	2			7	0
0	1	21	40	100	184.2068074395237	421	1	0	62	12	9	com.netflix.zuul.filters.MutableFilterRegistry	0	0	0	7	1	6			15	1
0	5	69	204	463	1252.0963190335917	10	-1	64	140	27	17	com.netflix.zuul.filters.BaseFilter	0	0	0	8	6	13			30	-1
-1	0	19	80	151	401.38238694519396	18	0	15	51	15	0	com.netflix.zuul.filters.FilterRegistry	0	0	0	2	0	6	state	State	6	0
-1	0	14	37	61	152.10233297441252	124	0	3	47	6	0	com.netflix.zuul.filters.Endpoint	0	0	0	1	0	3			3	0
-1	0	6	23	26	74.93622037449408	178	0	0	29	1	0	com.netflix.zuul.filters.SyncZuulFilter	0	0	0	1	0	1			1	0
-1	0	36	155	311	889.6679013877813	243	0	55	98	20	2	com.netflix.zuul.filters.SyncZuulFilterAdapter	0	0	0	5	0	11			13	0
-1	0	14	63	84	279.14145832712876	99	0	1	45	5	2	com.netflix.zuul.filters.BaseSyncFilter	0	0	4	2	0	2			4	0
0	2	28	55	126	265.99550488233126	90	2	0	60	11	0	com.netflix.zuul.filters.FilterError	0	0	0	0	3	6			6	2
-1	0	68	202	477	1245.838331159445	9	-1	66	117	36	9	com.netflix.zuul.filters.ZuulFilter	0	0	0	5	0	12	state	State	21	0
-1	0	10	44	58	178.65949246404244	91	0	0	33	3	0	com.netflix.zuul.filters.ShouldFilter	0	0	0	1	0	1			1	0
0	5	55	84	273	471.1956307955366	383	1	0	121	9	41	com.netflix.zuul.filters.common.GZipResponseFilterTest	0	0	0	23	6	4			45	1
-1	0	39	114	267	636.9463470576285	245	-1	6	96	12	12	com.netflix.zuul.filters.common.SurgicalDebugFilter	4	0	0	10	0	4			16	0
0	3	62	142	390	847.1928369555643	244	-1	15	134	17	31	com.netflix.zuul.filters.common.GZipResponseFilter	6	0	0	19	3	6			37	-1
-1	0	100	74	439	450.2529565675627	397	-1	36	175	9	29	com.netflix.zuul.util.JsonUtilityTest	0	0	0	7	0	9			38	0
-1	0	20	31	72	132.5766496894977	399	-1	1	48	2	4	com.netflix.zuul.util.VipUtilsTest	0	0	0	4	0	2			6	0
-1	0	22	34	81	149.41127125886294	396	-1	6	58	4	9	com.netflix.zuul.util.HttpUtilsTest	0	0	0	7	0	4			13	0
0	2	119	209	716	1373.899154894775	81	-1	66	178	43	33	com.netflix.zuul.util.HttpUtils	0	0	0	11	2	12			45	-1
