COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	37	42	188	219.93056243885786	338	-1	15	76	6	26	com.netflix.zuul.passport.CurrentPassportTest	0	0	0	4	0	6			32	0
0	1	16	22	56	88.55773719617329	316	0	2	41	8	0	com.netflix.zuul.passport.StartAndEnd	0	0	0	0	2	4			4	0
0	7	258	258	1671	1914.6638023776115	313	-1	199	459	89	80	com.netflix.zuul.passport.CurrentPassport	0	0	0	19	9	30			110	-1
0	2	17	27	71	115.09235668011551	314	1	0	45	7	0	com.netflix.zuul.passport.PassportItem	0	0	0	0	2	4			4	1
0	4	48	77	244	423.2819533475766	174	1	2	95	15	3	com.netflix.zuul.message.http.MockHttpSyncInboundFilter	8	0	0	3	6	8			11	1
0	4	38	61	182	317.4444079116845	170	1	0	84	13	2	com.netflix.zuul.message.http.MockHttpInboundFilter	7	0	0	3	4	7			9	1
0	3	28	49	126	236.9778134406224	171	1	3	68	10	1	com.netflix.zuul.message.http.MockHttpOutboundFilter	6	0	0	2	3	6			7	1
0	4	46	65	222	351.1740298216981	169	1	0	93	14	3	com.netflix.zuul.message.http.MockEndpointFilter	8	0	0	2	4	8			11	1
0	3	28	48	126	232.14153153367096	175	1	3	67	10	0	com.netflix.zuul.message.http.MockHttpSyncOutboundFilter	6	0	0	1	3	6			6	1
0	6	186	252	1055	1754.2466035693622	146	-1	249	354	66	63	com.netflix.zuul.message.http.HttpResponseMessageImpl	0	0	0	22	6	35	context	State	98	-1
-1	0	14	41	57	165.76510198121656	144	0	15	41	6	0	com.netflix.zuul.message.http.HttpResponseInfo	0	0	0	1	0	6	decorated	Decorator	6	0
0	2	26	51	128	247.45354345990046	155	1	0	63	7	4	com.netflix.zuul.message.http.HttpHeaderNamesCache	0	0	0	2	2	3			7	1
0	3	239	241	1464	1756.6315743796229	75	-1	0	392	53	54	com.netflix.zuul.message.http.HttpQueryParams	0	0	0	13	3	22			76	-1
0	13	502	497	2966	3973.499852780845	145	-1	723	818	119	88	com.netflix.zuul.message.http.HttpRequestMessageImpl	0	0	0	28	25	54	decorator	Decorator	142	-1
0	2	40	63	193	331.54948190100777	142	-1	2	77	13	9	com.netflix.zuul.message.http.Cookies	0	0	0	5	2	5			14	-1
0	3	59	130	379	771.8797066607154	154	0	0	102	3	1	com.netflix.zuul.message.http.HttpHeaderNames	0	0	0	3	46	1			2	0
-1	0	30	68	112	320.8579232480664	139	0	171	71	20	0	com.netflix.zuul.message.http.HttpRequestInfo	0	0	0	2	0	19	implementor	Bridge	19	0
-1	0	22	62	106	289.1332238349481	77	0	28	48	8	0	com.netflix.zuul.message.http.HttpResponseMessage	0	0	0	1	0	8	implementor	Bridge	8	0
-1	0	16	42	74	180.77073391457515	76	0	55	49	11	0	com.netflix.zuul.message.http.HttpRequestMessage	0	0	0	1	0	11	implementor	Bridge	11	0
-1	0	14	24	60	98.2642694933304	345	0	6	44	8	0	com.netflix.zuul.init2.TestZuulFilter2	4	0	0	3	0	4			4	0
1	2	57	49	242	268.95794858167767	194	3	0	127	7	54	com.netflix.zuul.init.ZuulFiltersModuleTest	0	0	0	10	2	7			61	3
0	1	17	30	68	126.58523115528321	193	0	1	58	3	5	com.netflix.zuul.init.ZuulFiltersModuleIntegTest	0	0	0	10	1	2			7	0
-1	0	14	24	60	98.2642694933304	192	0	6	44	8	0	com.netflix.zuul.init.TestZuulFilter	4	0	0	3	0	4			4	0
