COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	3	23	40	94	181.73179129080015	2109	-1	0	64	9	6	io.reactivex.BlockingPerf	0	0	0	3	3	5			11	1
-1	0	40	55	246	302.79323447627996	1249	-1	15	92	18	20	io.reactivex.OperatorFlatMapPerf	0	0	0	6	0	6			26	0
0	2	22	48	118	228.9928619743519	2120	0	1	61	5	4	io.reactivex.ObservableFlatMapPerf	0	0	0	5	2	3			7	0
0	4	58	92	408	553.0365800451829	1247	-1	34	106	20	14	io.reactivex.InputWithIncrementingInteger	0	0	0	6	5	12			26	-1
0	2	20	34	85	151.05014272067078	1253	0	2	46	5	4	io.reactivex.PerfObserver	0	0	0	3	2	5			9	0
0	4	70	75	378	445.1170646714691	1252	-1	75	119	20	16	io.reactivex.EachTypeFlatMapPerf	0	0	0	5	9	14			30	0
0	2	19	34	81	149.41127125886294	1248	0	6	50	5	4	io.reactivex.PerfSubscriber	0	0	0	3	2	5			9	0
0	5	81	89	358	523.3674357896623	2645	-1	90	183	16	35	io.reactivex.JustAsyncPerf	0	0	0	5	15	16			51	0
0	1	48	87	240	476.81558633075326	2646	-1	16	84	14	10	io.reactivex.PerfAsyncConsumer	0	0	0	4	1	8			18	0
0	3	26	49	150	245.52112941071653	2652	-1	6	66	11	7	io.reactivex.FlatMapJustPerf	0	0	0	5	3	5			12	0
-1	0	120	88	721	579.0962440810755	1250	-1	45	176	42	51	io.reactivex.OperatorMergePerf	0	0	0	7	0	10			61	0
0	5	87	100	395	597.8885764901122	2644	-1	106	190	21	34	io.reactivex.CallableAsyncPerf	0	0	0	5	15	17			51	0
0	3	30	55	172	283.1121962247399	2653	-1	6	72	11	6	io.reactivex.FlattenCrossMapPerf	0	0	0	5	3	5			11	0
0	2	18	33	78	143.77139128075652	1254	0	0	43	4	4	io.reactivex.LatchedSingleObserver	0	0	0	3	2	4			8	0
0	5	57	93	328	538.7502655797254	2432	-1	24	110	22	20	io.reactivex.ToFlowablePerf	0	0	0	5	6	9			29	0
0	5	35	48	136	235.8074345153305	2437	-1	10	84	15	9	io.reactivex.BlockingGetPerf	0	0	0	2	5	8			17	1
0	2	38	55	193	289.4479603897687	1251	-1	0	85	13	11	io.reactivex.RangePerf	0	0	0	6	4	4			15	1
0	1	26	47	111	221.34791946167968	2655	0	9	61	7	5	io.reactivex.PerfConsumer	0	0	0	3	1	7			12	0
0	4	57	66	305	377.5405772560892	1497	-1	33	116	16	15	io.reactivex.RxVsStreamPerf	0	0	0	6	8	11			26	1
0	3	28	50	160	253.75869076169133	2654	-1	6	69	11	6	io.reactivex.FlattenJustPerf	0	0	0	5	3	5			11	0
-1	0	60	139	443	847.0061980362739	2496	-1	1	106	10	20	io.reactivex.MaybeNo2Dot0Since	0	0	0	4	0	2			22	-1
1	1	74	185	948	1268.055582917179	2507	0	0	132	9	26	io.reactivex.FixLicenseHeaders	0	0	0	3	1	1			27	0
-1	0	166	196	1333	1410.256714755027	2495	-1	210	275	58	59	io.reactivex.JavadocForAnnotations	0	0	0	3	0	21			80	-1
-1	0	95	140	654	907.6350292040079	2618	-1	91	182	36	32	io.reactivex.InternalWrongNaming	0	0	0	3	0	14			46	-1
-1	0	713	263	7948	2361.917683765659	2508	-1	45	887	54	94	io.reactivex.JavadocWording	0	0	0	4	0	10			104	-1
-1	0	147	61	1044	423.9997008749976	2708	-1	190	181	60	65	io.reactivex.TransformerTest	0	0	0	5	0	20			85	0
-1	0	126	128	1201	907.6364572262379	2619	-1	1	195	12	22	io.reactivex.TextualAorAn	0	0	0	3	0	2			24	-1
-1	0	31	37	126	178.9424305572047	2276	-1	10	66	10	27	io.reactivex.NotificationTest	0	0	0	3	0	5			32	0
-1	0	94	147	770	977.0194056826161	2506	0	1	145	10	5	io.reactivex.BaseTypeParser	0	0	0	2	0	2			7	0
-1	0	126	134	1183	948.1583877731039	2494	-1	66	180	22	37	io.reactivex.BaseTypeAnnotations	0	0	0	5	0	12			49	-1
-1	0	53	83	360	488.54663461036296	2616	-1	21	94	20	24	io.reactivex.OperatorsAreFinal	0	0	0	3	0	7			31	-1
-1	0	14	18	49	70.05276536599128	2275	-1	3	47	3	12	io.reactivex.BackpressureEnumTest	0	0	0	3	0	3			15	0
-1	0	31	63	183	328.19762762900956	2472	-1	15	63	8	9	io.reactivex.PublicFinalMethods	0	0	0	3	0	6			15	-1
-1	0	19	63	109	295.55491658043604	2023	0	3	39	6	0	io.reactivex.CompletableObserver	0	0	0	1	0	3			3	0
-1	0	12	50	77	217.1902710926842	2172	0	0	29	5	0	io.reactivex.CompletableTransformer	0	0	0	0	0	1			1	0
0	1	37	121	236	661.1236484080989	2125	0	10	95	9	0	io.reactivex.FlowableEmitter	0	0	0	2	1	5	creator	Factory Method	5	0
-1	0	13	53	69	224.40764474365477	2024	0	0	30	3	0	io.reactivex.ObservableSource	0	0	0	0	0	1	state	State	1	0
-1	0	12	57	77	247.59690904566	2338	0	0	30	3	0	io.reactivex.MaybeOnSubscribe	0	0	0	0	0	1	state	State	1	0
-1	0	20	47	90	211.49105450552247	2267	0	3	39	3	0	io.reactivex.Emitter	0	0	0	0	0	3			3	0
-1	0	14	56	87	250.0908546446567	2168	0	0	32	6	0	io.reactivex.SingleTransformer	0	0	0	0	0	1			1	0
0	1	5681	4678	94920	53613.574265951494	1532	-1	101475	15273	1713	1029	io.reactivex.Flowable	0	0	0	18	1	451	abstractClass	Template Method	1480	-1
-1	0	27	134	257	743.5761953759595	2334	0	6	67	6	0	io.reactivex.MaybeObserver	0	0	0	1	0	4			4	0
-1	0	1419	1614	15771	15600.807936432919	1112	-1	6903	2925	353	246	io.reactivex.Single	0	0	0	18	0	118	abstractClass	Template Method	364	-1
-1	0	5432	4303	78054	48473.967015988834	736	-1	94395	12854	1584	1001	io.reactivex.Observable	0	0	0	17	0	435	abstractClass	Template Method	1436	-1
