COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	1	26	64	128	310.5299368908555	2902	0	9	62	7	5	io.reactivex.PerfInteropConsumer	0	0	0	3	1	7			12	0
0	3	23	40	94	181.73179129080015	2109	-1	0	64	9	6	io.reactivex.BlockingPerf	0	0	0	3	3	5			11	1
-1	0	40	55	246	302.79323447627996	1249	-1	15	92	18	20	io.reactivex.OperatorFlatMapPerf	0	0	0	6	0	6			26	0
0	2	22	48	118	228.9928619743519	2120	0	1	61	5	4	io.reactivex.ObservableFlatMapPerf	0	0	0	5	2	3			7	0
0	3	66	106	392	632.953755017789	1247	-1	4	122	6	3	io.reactivex.InputWithIncrementingInteger	0	0	0	6	4	4			7	-1
0	2	58	65	352	381.13602641387627	2903	1	0	119	3	4	io.reactivex.StrictPerf	0	0	0	5	3	3			7	1
0	3	51	67	309	384.13386555214896	3112	-1	12	95	24	15	io.reactivex.TakeUntilPerf	0	0	0	5	4	8			23	1
0	2	24	50	104	232.21954495706862	2961	-1	6	56	5	4	io.reactivex.PerfBoundedSubscriber	0	0	0	3	2	5			9	0
0	2	20	34	85	151.05014272067078	1253	0	2	46	5	4	io.reactivex.PerfObserver	0	0	0	3	2	5			9	0
0	4	70	75	378	445.1170646714691	1252	-1	75	119	20	16	io.reactivex.EachTypeFlatMapPerf	0	0	0	5	9	14			30	0
0	3	22	50	100	230.25850929940458	3055	0	0	73	7	14	io.reactivex.FlowableFlatMapCompletableAsyncPerf	0	0	0	7	5	4			18	0
0	2	52	54	259	300.068715331775	2962	-1	9	109	16	11	io.reactivex.PublishProcessorPerf	0	0	0	5	3	10			21	1
0	3	154	124	943	849.2842190465487	3094	-1	374	275	55	28	io.reactivex.BinaryFlatMapPerf	0	0	0	7	17	29			57	0
0	2	19	34	81	149.41127125886294	1248	0	6	50	5	4	io.reactivex.PerfSubscriber	0	0	0	3	2	5			9	0
0	5	81	89	358	523.3674357896623	2645	-1	90	183	16	35	io.reactivex.JustAsyncPerf	0	0	0	5	15	16			51	0
0	1	50	91	248	501.7220159010134	2646	-1	16	86	15	10	io.reactivex.PerfAsyncConsumer	0	0	0	4	1	8			18	0
