COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	1	26	64	128	310.5299368908555	3186	0	9	62	7	5	io.reactivex.rxjava3.core.PerfInteropConsumer	0	0	0	3	1	7			12	0
0	3	23	40	94	181.73179129080015	3167	-1	0	64	9	6	io.reactivex.rxjava3.core.BlockingPerf	0	0	0	3	3	5			11	1
-1	0	40	56	240	306.9157797071515	3181	-1	15	91	16	20	io.reactivex.rxjava3.core.OperatorFlatMapPerf	0	0	0	5	0	6			26	0
0	2	22	48	118	228.9928619743519	3180	0	1	61	5	4	io.reactivex.rxjava3.core.ObservableFlatMapPerf	0	0	0	5	2	3			7	0
0	3	66	104	390	620.479260868864	3176	-1	4	124	6	3	io.reactivex.rxjava3.core.InputWithIncrementingInteger	0	0	0	6	4	4			7	-1
0	2	58	65	352	381.13602641387627	3193	1	0	119	3	4	io.reactivex.rxjava3.core.StrictPerf	0	0	0	5	3	3			7	1
0	3	51	65	294	369.4326848770143	3194	-1	12	95	16	15	io.reactivex.rxjava3.core.TakeUntilPerf	0	0	0	5	4	8			23	1
0	2	24	50	104	232.21954495706862	3184	-1	6	56	5	4	io.reactivex.rxjava3.core.PerfBoundedSubscriber	0	0	0	3	2	5			9	0
0	2	20	34	85	151.05014272067078	3187	0	2	50	5	4	io.reactivex.rxjava3.core.PerfObserver	0	0	0	3	2	5			9	0
0	4	70	75	378	445.1170646714691	3169	-1	75	124	20	16	io.reactivex.rxjava3.core.EachTypeFlatMapPerf	0	0	0	5	9	14			30	0
0	3	22	48	97	219.58612696816238	3174	0	0	73	6	14	io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf	0	0	0	7	5	4			18	0
0	2	52	54	259	300.068715331775	3189	-1	9	106	16	11	io.reactivex.rxjava3.core.PublishProcessorPerf	0	0	0	5	3	10			21	1
0	3	154	122	907	830.8373789140467	3165	-1	374	262	42	28	io.reactivex.rxjava3.core.BinaryFlatMapPerf	0	0	0	6	17	29			57	0
0	2	19	34	82	149.8284544069846	3188	0	6	50	5	4	io.reactivex.rxjava3.core.PerfSubscriber	0	0	0	3	2	5			9	0
0	5	81	89	358	523.3674357896623	3177	-1	90	183	16	35	io.reactivex.rxjava3.core.JustAsyncPerf	0	0	0	5	15	16			51	0
0	1	50	91	248	501.7220159010134	3183	-1	16	86	15	10	io.reactivex.rxjava3.core.PerfAsyncConsumer	0	0	0	4	1	8			18	0
0	3	26	47	144	233.58122508007204	3170	-1	6	66	8	7	io.reactivex.rxjava3.core.FlatMapJustPerf	0	0	0	5	3	5			12	0
-1	0	120	88	721	579.0962440810755	3182	-1	45	175	42	51	io.reactivex.rxjava3.core.OperatorMergePerf	0	0	0	6	0	10			61	0
0	3	28	48	154	241.77372491585422	3173	-1	6	69	8	6	io.reactivex.rxjava3.core.FlattenRangePerf	0	0	0	5	3	5			11	0
0	3	18	41	81	180.17241534157	3175	-1	0	63	5	9	io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf	0	0	0	5	4	3			12	0
0	5	87	98	392	585.1836602994653	3168	-1	106	190	19	34	io.reactivex.rxjava3.core.CallableAsyncPerf	0	0	0	5	15	17			51	0
0	3	30	53	166	270.9353527828968	3171	-1	6	72	8	6	io.reactivex.rxjava3.core.FlattenCrossMapPerf	0	0	0	5	3	5			11	0
0	2	18	33	78	143.77139128075652	3178	0	0	46	4	4	io.reactivex.rxjava3.core.LatchedSingleObserver	0	0	0	3	2	4			8	0
-1	0	394	240	2467	1874.5819479670456	3179	-1	1770	517	122	112	io.reactivex.rxjava3.core.MemoryPerf	0	0	0	5	0	60			172	-1
0	3	30	56	142	277.5263152256706	3191	-1	7	80	7	7	io.reactivex.rxjava3.core.ReducePerf	0	0	0	5	5	6			13	0
0	5	57	91	319	524.6323903534209	3195	-1	24	111	18	20	io.reactivex.rxjava3.core.ToFlowablePerf	0	0	0	5	6	9			29	0
0	4	313	183	1826	1374.3086001913491	3196	-1	1774	482	94	87	io.reactivex.rxjava3.core.XMapYPerf	0	0	0	6	29	61			148	0
0	5	35	48	135	235.45318936504464	3166	-1	10	84	14	9	io.reactivex.rxjava3.core.BlockingGetPerf	0	0	0	2	5	8			17	1
0	2	38	55	193	289.4479603897687	3190	-1	0	84	13	11	io.reactivex.rxjava3.core.RangePerf	0	0	0	5	4	4			15	1
0	1	26	47	111	221.34791946167968	3185	0	9	61	7	5	io.reactivex.rxjava3.core.PerfConsumer	0	0	0	3	1	7			12	0
0	4	57	66	305	377.5405772560892	3192	-1	33	116	16	15	io.reactivex.rxjava3.core.RxVsStreamPerf	0	0	0	6	8	11			26	1
0	3	28	48	154	241.77372491585422	3172	-1	6	69	8	6	io.reactivex.rxjava3.core.FlattenJustPerf	0	0	0	5	3	5			11	0
0	3	709	161	4844	1366.1648728523503	4014	-1	1555	1070	251	568	io.reactivex.rxjava3.core.XFlatMapTest	71	0	0	12	3	71			639	-1
-1	0	21	32	120	153.19973576902547	5025	0	0	57	3	9	io.reactivex.rxjava3.core.PeriodicDirectTaskTest	1	0	0	9	0	1			10	0
0	1	26	45	118	214.68080810095492	5028	-1	15	73	10	14	io.reactivex.rxjava3.core.SchedulerTest	0	0	0	6	1	6			20	0
-1	0	5	14	20	41.94025182975587	5024	0	0	50	2	1	io.reactivex.rxjava3.core.DisposeTaskTest	1	0	0	7	0	1			2	0
-1	0	128	90	767	597.823812123053	4013	-1	231	166	58	45	io.reactivex.rxjava3.core.TransformerTest	22	0	0	5	0	22			67	0
0	2	47	100	358	588.05329864007	4011	0	3	78	5	1	io.reactivex.rxjava3.core.Retry	0	0	0	3	3	3			4	0
-1	0	40	46	165	234.8734917994267	4010	-1	15	77	12	28	io.reactivex.rxjava3.core.NotificationTest	6	0	0	3	0	6			34	0
-1	0	194	134	1121	940.9448406916695	4009	-1	325	278	51	48	io.reactivex.rxjava3.core.ConverterTest	26	0	0	4	0	26			74	0
0	2	9	35	44	132.44663718713915	4012	0	0	36	1	0	io.reactivex.rxjava3.core.RxJavaTest	0	0	720	4	2	1			1	0
-1	0	14	20	51	78.63651265448651	4008	-1	3	45	3	12	io.reactivex.rxjava3.core.BackpressureEnumTest	3	0	0	3	0	3			15	0
-1	0	20	197	365	1162.2797786557508	3236	0	3	68	6	0	io.reactivex.rxjava3.core.CompletableObserver	0	0	0	2	0	3	decorated	Decorator	3	0
-1	0	14	56	93	253.82557161658235	3268	0	0	35	2	0	io.reactivex.rxjava3.core.SingleConverter	0	0	0	1	0	1			1	0
-1	0	11	42	69	177.8324731930849	3240	0	0	31	3	0	io.reactivex.rxjava3.core.CompletableTransformer	0	0	0	1	0	1			1	0
-1	0	14	56	94	254.42450780712022	3250	0	0	36	2	0	io.reactivex.rxjava3.core.MaybeConverter	0	0	0	1	0	1			1	0
-1	0	38	250	559	1581.5373682887748	3244	0	15	106	13	0	io.reactivex.rxjava3.core.FlowableEmitter	0	0	0	3	0	6	creator	Factory Method	6	0
-1	0	13	55	78	239.61898546792753	3263	0	0	34	3	0	io.reactivex.rxjava3.core.ObservableSource	0	0	0	1	0	1	state	State	1	0
-1	0	12	57	79	249.05852759062023	3253	0	0	34	3	0	io.reactivex.rxjava3.core.MaybeOnSubscribe	0	0	0	1	0	1	state	State	1	0
-1	0	14	57	93	258.3581711097356	3259	0	0	35	2	0	io.reactivex.rxjava3.core.ObservableConverter	0	0	0	1	0	1			1	0
