CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	2902	io.reactivex.PerfInteropConsumer			false
false	false	false	false	2109	io.reactivex.BlockingPerf			false
false	false	false	false	1249	io.reactivex.OperatorFlatMapPerf			false
false	false	false	false	2120	io.reactivex.ObservableFlatMapPerf			false
false	false	false	false	1247	io.reactivex.InputWithIncrementingInteger			false
false	false	false	false	2903	io.reactivex.StrictPerf			false
false	false	false	false	3112	io.reactivex.TakeUntilPerf			false
false	false	false	false	2961	io.reactivex.PerfBoundedSubscriber			false
false	false	false	false	1253	io.reactivex.PerfObserver			false
false	false	false	false	1252	io.reactivex.EachTypeFlatMapPerf			false
false	false	false	false	3055	io.reactivex.FlowableFlatMapCompletableAsyncPerf			false
false	false	false	false	2962	io.reactivex.PublishProcessorPerf			false
false	false	false	false	3094	io.reactivex.BinaryFlatMapPerf			false
false	false	false	false	1248	io.reactivex.PerfSubscriber			false
false	false	false	false	2645	io.reactivex.JustAsyncPerf			false
false	false	false	false	2646	io.reactivex.PerfAsyncConsumer			false
false	false	false	false	2652	io.reactivex.FlatMapJustPerf			false
false	false	false	false	1250	io.reactivex.OperatorMergePerf			false
false	false	false	false	3059	io.reactivex.FlattenRangePerf			false
false	false	false	false	3056	io.reactivex.FlowableFlatMapCompletableSyncPerf			false
false	false	false	false	2644	io.reactivex.CallableAsyncPerf			false
false	false	false	false	2653	io.reactivex.FlattenCrossMapPerf			false
false	false	false	false	1254	io.reactivex.LatchedSingleObserver			false
false	false	false	false	3060	io.reactivex.MemoryPerf			false
false	false	false	false	2834	io.reactivex.ReducePerf			false
false	false	false	false	2432	io.reactivex.ToFlowablePerf			false
false	false	false	false	2892	io.reactivex.XMapYPerf			false
false	false	false	false	2437	io.reactivex.BlockingGetPerf			false
false	false	false	false	1251	io.reactivex.RangePerf			false
false	false	false	false	2655	io.reactivex.PerfConsumer			false
false	false	false	false	1497	io.reactivex.RxVsStreamPerf			false
false	false	false	false	2654	io.reactivex.FlattenJustPerf			false
false	false	false	false	2850	io.reactivex.XFlatMapTest			false
false	false	false	false	2708	io.reactivex.TransformerTest			false
false	false	false	false	2905	io.reactivex.Retry			false
false	false	false	false	2276	io.reactivex.NotificationTest			false
false	false	false	false	2972	io.reactivex.ConverterTest			false
false	false	false	false	2275	io.reactivex.BackpressureEnumTest			false
false	false	false	false	2023	io.reactivex.CompletableObserver			false
false	false	false	false	2970	io.reactivex.SingleConverter			false
false	false	false	false	2172	io.reactivex.CompletableTransformer			false
false	false	false	false	2968	io.reactivex.MaybeConverter			false
false	false	false	false	2125	io.reactivex.FlowableEmitter	creator	Factory Method	false
false	false	false	false	2024	io.reactivex.ObservableSource	state	State	false
false	false	false	false	2338	io.reactivex.MaybeOnSubscribe	state	State	false
false	false	false	false	2969	io.reactivex.ObservableConverter			false
false	false	false	false	2267	io.reactivex.Emitter			false
false	false	false	false	2168	io.reactivex.SingleTransformer			false
false	true	false	true	1532	io.reactivex.Flowable	abstractClass	Template Method	true
false	false	false	false	2334	io.reactivex.MaybeObserver			false
false	true	false	true	1112	io.reactivex.Single	abstractClass	Template Method	true
false	true	false	true	736	io.reactivex.Observable	abstractClass	Template Method	true
false	false	false	false	2025	io.reactivex.SingleSource	state	State	false
false	false	false	false	2169	io.reactivex.FlowableOperator	state	State	false
false	false	false	false	2241	io.reactivex.ObservableEmitter	creator	Factory Method	false
false	false	false	false	2244	io.reactivex.SingleOnSubscribe	state	State	false
false	false	false	false	2022	io.reactivex.CompletableSource	state	State	false
false	false	false	false	2238	io.reactivex.CompletableEmitter			false
false	false	false	false	2171	io.reactivex.CompletableOperator	state	State	false
false	false	false	false	2239	io.reactivex.CompletableOnSubscribe	state	State	false
false	false	false	false	2966	io.reactivex.CompletableConverter			false
false	false	false	false	2170	io.reactivex.FlowableTransformer			false
false	true	false	true	2333	io.reactivex.Maybe	abstractClass	Template Method	true
false	false	false	false	2897	io.reactivex.FlowableSubscriber			false
false	false	false	false	2173	io.reactivex.ObservableOperator	state	State	false
false	false	false	false	1014	io.reactivex.Notification	singleton	Singleton	false
false	false	false	false	2337	io.reactivex.MaybeTransformer			false
false	false	false	false	2242	io.reactivex.ObservableOnSubscribe	state	State	false
false	false	false	false	882	io.reactivex.Observer	state	State	false
false	false	false	false	907	io.reactivex.Scheduler	abstractClass	Template Method	false
false	false	false	false	2335	io.reactivex.MaybeOperator	state	State	false
false	false	false	false	2967	io.reactivex.FlowableConverter			false
false	false	false	false	2240	io.reactivex.FlowableOnSubscribe	state	State	false
false	false	false	false	2336	io.reactivex.MaybeSource	state	State	false
false	false	false	false	2174	io.reactivex.ObservableTransformer			false
false	true	false	true	1498	io.reactivex.Completable	abstractClass	Template Method	true
false	false	false	false	2026	io.reactivex.SingleObserver	decorated	Decorator	false
false	false	false	false	2167	io.reactivex.SingleOperator	state	State	false
false	false	false	false	2243	io.reactivex.SingleEmitter			false
false	false	false	false	2383	io.reactivex.MaybeEmitter			false
false	false	false	false	2869	io.reactivex.parallel.ParallelPerf			false
false	false	false	false	2874	io.reactivex.parallel.ParallelInvalid			false
false	false	false	false	2936	io.reactivex.parallel.ParallelMapTryTest			false
false	false	false	false	2934	io.reactivex.parallel.ParallelDoOnNextTryTest			false
false	false	false	false	2878	io.reactivex.parallel.ParallelReduceFullTest			false
false	false	false	false	2880	io.reactivex.parallel.ParallelRunOnTest			false
false	false	false	false	2879	io.reactivex.parallel.ParallelReduceTest			false
false	false	false	false	2935	io.reactivex.parallel.ParallelFilterTryTest			false
false	false	false	false	2871	io.reactivex.parallel.ParallelCollectTest			false
false	true	false	true	2870	io.reactivex.parallel.ParallelFlowableTest			true
false	false	false	false	2873	io.reactivex.parallel.ParallelFromPublisherTest			false
false	false	false	false	2877	io.reactivex.parallel.ParallelPeekTest			false
false	false	false	false	2881	io.reactivex.parallel.ParallelSortedJoinTest			false
false	false	false	false	2872	io.reactivex.parallel.ParallelFilterTest			false
false	false	false	false	2875	io.reactivex.parallel.ParallelJoinTest			false
false	false	false	false	2876	io.reactivex.parallel.ParallelMapTest			false
false	false	false	true	2867	io.reactivex.parallel.ParallelFlowable	abstractClass	Template Method	false
false	false	false	false	2923	io.reactivex.parallel.ParallelTransformer			false
false	false	false	false	2971	io.reactivex.parallel.ParallelFlowableConverter			false
false	false	false	false	3067	io.reactivex.xmapz.FlowableFlatMapMaybePerf			false
false	false	false	false	3065	io.reactivex.xmapz.FlowableFlatMapCompletablePerf			false
false	false	false	false	3062	io.reactivex.xmapz.FlowableConcatMapMaybeEmptyPerf			false
false	false	false	false	3068	io.reactivex.xmapz.FlowableFlatMapSinglePerf			false
false	false	false	false	3064	io.reactivex.xmapz.FlowableConcatMapSinglePerf			false
false	false	false	false	3074	io.reactivex.xmapz.ObservableConcatMapMaybeEmptyPerf			false
false	false	false	false	3066	io.reactivex.xmapz.FlowableFlatMapMaybeEmptyPerf			false
false	false	false	false	3082	io.reactivex.xmapz.ObservableSwitchMapMaybeEmptyPerf			false
false	false	false	false	3061	io.reactivex.xmapz.FlowableConcatMapCompletablePerf			false
false	false	false	false	3080	io.reactivex.xmapz.ObservableFlatMapSinglePerf			false
false	false	false	false	3063	io.reactivex.xmapz.FlowableConcatMapMaybePerf			false
false	false	false	false	3081	io.reactivex.xmapz.ObservableSwitchMapCompletablePerf			false
false	false	false	false	3070	io.reactivex.xmapz.FlowableSwitchMapMaybeEmptyPerf			false
false	false	false	false	3072	io.reactivex.xmapz.FlowableSwitchMapSinglePerf			false
false	false	false	false	3078	io.reactivex.xmapz.ObservableFlatMapMaybeEmptyPerf			false
false	false	false	false	3073	io.reactivex.xmapz.ObservableConcatMapCompletablePerf			false
false	false	false	false	3069	io.reactivex.xmapz.FlowableSwitchMapCompletablePerf			false
false	false	false	false	3084	io.reactivex.xmapz.ObservableSwitchMapSinglePerf			false
false	false	false	false	3079	io.reactivex.xmapz.ObservableFlatMapMaybePerf			false
false	false	false	false	3075	io.reactivex.xmapz.ObservableConcatMapMaybePerf			false
