COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	31	46	178	238.36204331343592	723	-1	15	82	14	11	rx.PerfBaseline	0	0	0	10	0	6			17	0
-1	0	19	34	109	159.50582799579087	166	-1	3	53	6	15	rx.ObservableWindowTests	0	0	0	7	0	3			18	0
0	4	450	357	3426	2905.6760783616114	758	-1	552	641	88	332	rx.BackpressureTests	0	0	0	13	6	45			377	-1
-1	0	315	150	2356	1164.7080817157216	759	-1	2211	511	81	148	rx.SubscriberTest	0	0	0	15	0	67			215	-1
-1	0	27	26	108	121.73541190522971	173	-1	3	61	3	24	rx.StartWithTests	0	0	0	4	0	3			27	0
-1	0	54	78	382	463.74280747131286	379	-1	28	98	16	28	rx.ErrorHandlingTests	0	0	0	6	0	8			36	0
-1	0	49	70	265	390.58108781903553	175	-1	15	103	7	35	rx.MergeTests	0	0	0	8	0	6			41	0
0	2	150	162	975	1114.9548703016512	162	-1	210	250	51	55	rx.CovarianceTest	0	0	0	12	2	21			76	0
-1	0	42	54	239	295.7290318043016	308	-1	15	83	8	27	rx.ObservableDoOnTest	0	0	0	9	0	6			33	0
-1	0	61	115	459	704.8407741569627	189	-1	15	97	16	37	rx.EventStream	0	0	0	7	0	6			43	-1
-1	0	29	50	180	259.6478425445105	185	-1	10	64	7	12	rx.IntervalDemo	0	0	0	7	0	5			17	-1
-1	0	16	27	102	124.87426595867531	191	-1	3	52	6	9	rx.ScanTests	0	0	0	6	0	3			12	0
0	2	774	518	4862	4397.408270225804	160	-1	5539	1141	189	594	rx.ObservableTests	0	0	0	41	2	107			701	-1
0	3	74	146	496	906.1600853018394	177	-1	55	146	21	31	rx.ZipTests	0	0	0	21	3	11			42	0
-1	0	28	39	113	184.3681249297813	179	0	0	62	2	10	rx.ThrottleWithTimeoutTests	0	0	0	7	0	1			11	0
-1	0	104	79	494	490.0003058578459	172	-1	28	173	8	60	rx.ConcatTests	0	0	0	8	0	8			68	0
0	3	49	83	272	465.28157150256783	174	-1	21	91	13	11	rx.CombineLatestTests	0	0	0	13	3	7			18	0
-1	0	52	58	317	334.01630288488224	176	-1	36	108	17	14	rx.ReduceTests	0	0	0	5	0	9			23	-1
-1	0	40	41	276	230.43643549440313	190	-1	28	93	16	22	rx.GroupByTests	0	0	0	5	0	8			30	0
-1	0	28	39	113	184.3681249297813	294	0	0	62	2	10	rx.ThrottleLastTests	0	0	0	7	0	1			11	0
0	3	4035	3612	57288	39572.517401552635	43	-1	74277	9422	1262	630	rx.Observable	0	0	0	13	3	386	singleton	Singleton	1016	-1
-1	0	14	76	120	363.8493724514355	38	0	1	45	6	0	rx.Subscription	0	0	0	1	0	2	decorated	Decorator	2	0
-1	0	10	88	138	433.598324293834	750	0	0	42	2	0	rx.Producer	0	0	0	0	0	1	implementor	Bridge	1	0
0	5	142	199	869	1346.701281927813	42	-1	80	207	56	34	rx.Notification	0	0	0	0	5	17	singleton	Singleton	51	-1
-1	0	21	103	223	556.9386924603922	451	0	3	63	5	0	rx.Observer	0	0	0	0	0	3	decorated	Decorator	3	0
-1	0	71	218	714	1432.4524857900294	93	0	1	152	4	1	rx.Scheduler	0	0	7	4	0	2	creator	Factory Method	3	0
0	4	109	302	891	2051.2880170961844	44	0	16	181	21	6	rx.Subscriber	0	0	0	1	4	9	abstraction	Bridge	15	0
0	5	66	92	462	564.4719699795199	671	-1	65	130	23	14	rx.jmh.InputWithIncrementingInteger	0	0	0	7	6	15			29	-1
0	2	16	30	67	126.14077858172897	724	0	2	48	4	3	rx.jmh.LatchedObserver	0	0	0	3	2	4			7	0
-1	0	192	142	1379	1026.5341706466488	806	-1	435	280	64	58	rx.internal.AtomicPerf	0	0	0	13	0	30			88	0
-1	0	26	40	156	201.9942402899815	755	-1	1	66	6	7	rx.internal.IndexedRingBufferPerf	0	0	0	8	0	2			9	0
-1	0	75	52	445	317.09986267264446	756	-1	28	141	20	32	rx.internal.RxRingBufferPerf	0	0	0	10	0	8			40	0
-1	0	43	90	330	521.9183389014473	824	-1	1	86	4	3	rx.subscriptions.SerialSubscriptionPerf	0	0	0	4	0	2			5	0
0	3	64	98	452	599.1408536235587	825	1	1	131	14	8	rx.subscriptions.SubscriptionListConcurrentPerf	0	0	0	14	4	7			15	1
-1	0	43	90	330	521.9183389014473	823	-1	1	86	4	3	rx.subscriptions.MultipleAssignmentSubscriptionPerf	0	0	0	4	0	2			5	0
-1	0	45	91	342	530.967777072697	826	-1	1	89	4	5	rx.subscriptions.SubscriptionListPerf	0	0	0	5	0	2			7	0
0	3	116	105	861	709.5999229649117	821	3	0	198	22	16	rx.subscriptions.CompositeSubscriptionConcurrentPerf	0	0	0	13	4	11			27	3
-1	0	70	95	537	597.1698189783422	822	-1	6	118	8	10	rx.subscriptions.CompositeSubscriptionPerf	0	0	0	4	0	4			14	0
1	1	132	100	784	666.4409020350407	215	6	0	202	30	63	rx.subscriptions.SerialSubscriptionTests	0	0	0	14	1	13			76	6
-1	0	19	24	73	102.97102658756138	287	-1	3	54	4	14	rx.subscriptions.SubscriptionsTest	0	0	0	9	0	3			17	0
-1	0	229	117	1428	849.891526719245	286	-1	496	347	63	76	rx.subscriptions.CompositeSubscriptionTest	0	0	0	11	0	32			108	-1
0	2	36	36	144	178.91327878473604	365	2	0	83	9	23	rx.subscriptions.MultipleAssignmentSubscriptionTest	0	0	0	10	2	5			28	2
1	2	56	35	223	189.25101200110416	366	2	0	118	11	32	rx.subscriptions.RefCountSubscriptionTest	0	0	0	10	2	5			37	2
0	1	76	171	525	1071.0411029031677	91	-1	15	135	14	2	rx.subscriptions.Subscriptions	0	0	0	4	1	6			8	-1
0	2	70	106	409	637.453806540537	214	1	0	105	16	5	rx.subscriptions.SerialSubscription	0	0	0	2	2	4			9	1
0	2	117	148	789	987.2734154851893	124	2	0	168	27	12	rx.subscriptions.CompositeSubscription	0	0	0	8	2	9			21	2
0	3	39	88	206	468.85310285348316	90	0	9	77	11	2	rx.subscriptions.BooleanSubscription	0	0	0	4	3	6	context	State	8	0
0	2	69	109	400	653.06963563477	194	1	0	104	15	5	rx.subscriptions.MultipleAssignmentSubscription	0	0	0	3	2	4			9	1
0	3	106	135	568	856.1863915273555	357	1	0	147	19	10	rx.subscriptions.RefCountSubscription	0	0	0	3	4	6			16	1
-1	0	59	67	411	403.24574537124766	601	-1	66	119	22	26	rx.subjects.ReplaySubjectPerf	0	0	0	12	0	12			38	0
-1	0	463	366	3943	3030.369150999212	679	-1	496	560	93	184	rx.subjects.ReplaySubjectBoundedConcurrencyTest	0	0	0	16	0	32			216	-1
-1	0	341	91	1543	668.0750305650477	791	-1	253	420	23	314	rx.subjects.SerializedSubjectTest	0	0	0	5	0	23			337	0
-1	0	61	36	282	203.1086545537721	839	-1	15	127	12	45	rx.subjects.TestSubjectTest	0	0	0	6	0	6			51	0
0	1	387	265	2129	2030.803031196772	283	-1	423	587	56	236	rx.subjects.BehaviorSubjectTest	0	0	0	23	1	30			266	-1
-1	0	362	348	3127	2800.6446163953287	388	-1	378	459	71	144	rx.subjects.ReplaySubjectConcurrencyTest	0	0	0	12	0	28			172	-1
0	1	547	342	2731	2706.0487075440074	285	-1	1122	892	77	298	rx.subjects.ReplaySubjectTest	0	0	0	31	1	48			346	-1
0	1	265	246	1400	1782.079968838424	284	-1	274	451	40	148	rx.subjects.PublishSubjectTest	0	0	0	25	1	24			172	-1
0	1	253	194	1307	1392.045004443099	282	-1	118	399	32	144	rx.subjects.AsyncSubjectTest	0	0	0	24	1	16			160	0
0	3	140	268	1085	1873.1418512811822	128	5	0	225	45	43	rx.subjects.AsyncSubject	0	0	0	8	3	13	adapter	(Object)Adapter	56	5
0	1	88	268	880	1817.0190712025635	111	-1	45	158	35	2	rx.subjects.Subject	0	0	0	4	1	10	decorated	Decorator	12	-1
0	2	50	136	324	786.1811181477567	790	3	0	107	21	13	rx.subjects.SerializedSubject	0	0	0	3	2	13	decorator	Decorator	26	3
0	2	891	953	7346	8483.521398739771	147	-1	0	1169	91	59	rx.subjects.ReplaySubject	0	0	0	14	2	27	adapter	(Object)Adapter	86	-1
0	2	148	282	1161	1990.0844288388053	133	-1	0	257	45	42	rx.subjects.BehaviorSubject	0	0	0	8	2	16	adapter	(Object)Adapter	58	-1
0	2	108	172	706	1128.2538208488377	586	-1	66	175	23	28	rx.subjects.TestSubject	0	0	0	8	2	16	adapter	(Object)Adapter	44	-1
0	2	103	193	686	1260.4593821510957	123	2	1	181	36	22	rx.subjects.PublishSubject	0	0	0	7	2	14	adapter	(Object)Adapter	36	2
0	7	339	394	2319	3053.0631868786795	387	-1	23	343	27	17	rx.subjects.SubjectSubscriptionManager	0	0	0	11	9	10	context	State	27	-1
-1	0	23	33	123	158.80208372728976	785	-1	3	75	6	6	rx.observables.BlockingObservablePerf	0	0	0	9	0	3			9	0
0	1	396	222	1407	1609.3257426793944	808	-1	679	540	90	260	rx.observables.AbstractOnSubscribeTest	0	0	0	16	2	42			302	-1
0	1	389	294	2395	2287.6547218944347	222	-1	2211	545	110	209	rx.observables.BlockingObservableTest	0	0	0	21	1	67			276	0
0	1	264	420	2423	3272.9599227429408	139	-1	26	478	85	71	rx.observables.BlockingObservable	0	0	0	16	1	29			100	-1
0	1	45	218	512	1359.9547682586126	87	-1	0	105	12	2	rx.observables.GroupedObservable	0	0	0	4	1	5			7	0
0	1	394	723	3603	5921.024486070872	807	-1	36	625	15	8	rx.observables.AbstractOnSubscribe	0	0	0	8	1	9			17	-1
-1	0	40	151	338	879.2799302179359	121	-1	10	83	8	2	rx.observables.ConnectableObservable	0	0	0	5	0	5	abstractClass	Template Method	7	-1
-1	0	18	33	93	149.57578327405747	672	-1	1	62	4	10	rx.schedulers.ComputationSchedulerPerf	0	0	0	10	0	2			12	0
-1	0	18	33	93	149.57578327405747	728	-1	1	62	4	10	rx.schedulers.IOSchedulerPerf	0	0	0	10	0	2			12	0
-1	0	100	164	716	1078.083547381546	220	-1	105	172	26	67	rx.schedulers.TrampolineSchedulerTest	5	10	0	12	0	15			82	0
-1	0	45	59	299	336.3261708300505	405	-1	15	86	12	25	rx.schedulers.NewThreadSchedulerTest	4	2	0	9	0	6			31	0
-1	0	64	120	395	717.4662917881346	681	-1	21	123	16	36	rx.schedulers.CachedThreadSchedulerTest	5	2	0	9	0	7			43	0
0	2	291	226	2468	1765.322925015713	407	-1	222	426	69	172	rx.schedulers.AbstractSchedulerConcurrencyTests	14	14	4	19	5	28			200	-1
-1	0	144	89	940	609.2833088985004	408	-1	55	225	16	73	rx.schedulers.TestSchedulerTest	0	0	0	18	0	11			84	-1
0	1	138	170	794	1135.1041884120132	690	-1	66	207	19	55	rx.schedulers.ExecutorSchedulerTest	10	2	0	11	1	12			67	0
-1	0	47	47	285	265.6669914726266	221	-1	45	104	17	33	rx.schedulers.ImmediateSchedulerTest	2	8	0	6	0	10			43	0
0	1	362	278	2624	2188.5425317177865	404	-1	424	505	75	169	rx.schedulers.AbstractSchedulerTests	0	0	3	25	2	32			201	-1
0	2	96	103	687	672.830432098902	380	-1	53	154	25	59	rx.schedulers.ComputationSchedulerTests	6	5	0	11	2	11			70	0
-1	0	85	152	661	987.0505836574563	793	-1	3	125	12	20	rx.schedulers.SchedulerTests	0	0	0	7	0	3			23	0
0	2	59	96	324	554.9513775160635	126	2	0	86	14	4	rx.schedulers.Timestamped	0	0	0	0	2	6			10	2
0	1	82	172	547	1084.3651940165807	101	-1	16	140	21	8	rx.schedulers.Schedulers	0	0	0	4	4	8	singleton	Singleton	16	0
1	3	31	48	195	253.10397881105985	96	0	0	55	6	6	rx.schedulers.SleepingAction	0	0	0	2	3	2	decorator	Decorator	8	0
0	0	31	63	175	325.3815163571814	99	0	3	74	5	0	rx.schedulers.ImmediateScheduler	2	1	0	6	1	3	singleton	Singleton	3	0
0	0	79	147	589	937.6286489967832	458	0	6	135	7	0	rx.schedulers.TrampolineScheduler	3	1	0	9	1	4	singleton	Singleton	4	0
0	2	16	37	65	154.45232898613855	100	0	3	43	5	0	rx.schedulers.NewThreadScheduler	2	1	0	3	3	3	singleton	Singleton	3	0
0	3	32	120	255	664.9516254190111	125	0	0	67	5	5	rx.schedulers.GenericScheduledExecutorService	0	0	0	4	4	2	singleton	Singleton	7	0
