COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	3	23	40	94	181.73179129080015	2109	-1	0	64	9	6	io.reactivex.BlockingPerf	0	0	0	3	3	5			11	1
-1	0	39	56	246	308.2985660122123	1249	-1	15	92	18	20	io.reactivex.OperatorFlatMapPerf	0	0	0	6	0	6			26	0
0	2	22	48	118	228.9928619743519	2120	0	1	61	5	4	io.reactivex.ObservableFlatMapPerf	0	0	0	5	2	3			7	0
0	4	58	92	408	553.0365800451829	1247	-1	34	106	20	14	io.reactivex.InputWithIncrementingInteger	0	0	0	6	5	12			26	-1
0	2	20	34	85	151.05014272067078	1253	0	2	46	5	4	io.reactivex.PerfObserver	0	0	0	3	2	5			9	0
0	4	70	75	378	445.1170646714691	1252	-1	75	119	20	16	io.reactivex.EachTypeFlatMapPerf	0	0	0	5	9	14			30	0
0	2	19	34	81	149.41127125886294	1248	0	6	50	5	4	io.reactivex.PerfSubscriber	0	0	0	3	2	5			9	0
-1	0	114	89	721	585.6768832183604	1250	-1	45	176	42	51	io.reactivex.OperatorMergePerf	0	0	0	7	0	10			61	0
0	2	18	33	78	143.77139128075652	1254	0	0	43	4	4	io.reactivex.LatchedSingleObserver	0	0	0	3	2	4			8	0
0	2	36	56	193	294.7106505786736	1251	-1	0	85	13	11	io.reactivex.RangePerf	0	0	0	6	4	4			15	1
0	4	57	66	305	377.5405772560892	1497	-1	33	116	16	15	io.reactivex.RxVsStreamPerf	0	0	0	6	8	11			26	1
-1	0	19	63	109	295.55491658043604	2023	0	3	39	6	0	io.reactivex.CompletableObserver	0	0	0	1	0	3			3	0
-1	0	5	24	26	78.19431691251557	2172	-1	0	24	0	0	io.reactivex.CompletableTransformer	0	0	0	1	0	0			0	-1
0	1	37	120	236	655.6598166030733	2125	0	10	93	9	0	io.reactivex.FlowableEmitter	0	0	0	2	1	5	creator	Factory Method	5	0
-1	0	13	53	69	224.40764474365477	2024	0	0	30	3	0	io.reactivex.ObservableSource	0	0	0	0	0	1	state	State	1	0
-1	0	20	47	90	211.49105450552247	2267	0	3	39	3	0	io.reactivex.Emitter	0	0	0	0	0	3			3	0
-1	0	7	23	31	78.98170570315837	2168	-1	0	26	0	0	io.reactivex.SingleTransformer	0	0	0	1	0	0			0	-1
0	1	5531	4626	92677	52906.98656528722	1532	-1	98790	14856	1683	979	io.reactivex.Flowable	0	0	0	21	1	445	abstractClass	Template Method	1424	-1
-1	0	1299	1465	13890	13974.52429837139	1112	-1	5671	2476	318	226	io.reactivex.Single	0	0	0	14	0	107	abstractClass	Template Method	333	-1
-1	0	5384	4271	76870	48048.19888016771	736	-1	92235	12624	1553	971	io.reactivex.Observable	0	0	0	20	0	430	abstractClass	Template Method	1401	-1
-1	0	8	47	58	190.8408214956817	2025	0	0	28	1	0	io.reactivex.SingleSource	0	0	0	0	0	1	state	State	1	0
-1	0	7	32	45	121.81319967265023	2169	-1	0	28	0	0	io.reactivex.FlowableOperator	0	0	0	2	0	0			0	-1
-1	0	26	100	182	520.4006687076795	2241	0	6	57	7	0	io.reactivex.ObservableEmitter	0	0	0	2	0	4	creator	Factory Method	4	0
-1	0	12	57	77	247.59690904566	2244	0	0	30	3	0	io.reactivex.SingleOnSubscribe	0	0	0	0	0	1	state	State	1	0
-1	0	12	43	58	174.599049453496	2022	0	0	29	3	0	io.reactivex.CompletableSource	0	0	0	0	0	1	state	State	1	0
-1	0	29	87	163	443.1562674701883	2238	0	10	59	7	0	io.reactivex.CompletableEmitter	0	0	0	2	0	5			5	0
-1	0	5	31	34	109.317176263101	2171	-1	0	24	0	0	io.reactivex.CompletableOperator	0	0	0	1	0	0	adaptee	(Object)Adapter	0	-1
