CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	2109	io.reactivex.BlockingPerf			false
false	false	false	false	1249	io.reactivex.OperatorFlatMapPerf			false
false	false	false	false	2120	io.reactivex.ObservableFlatMapPerf			false
false	false	false	false	1247	io.reactivex.InputWithIncrementingInteger			false
false	false	false	false	1253	io.reactivex.PerfObserver			false
false	false	false	false	1252	io.reactivex.EachTypeFlatMapPerf			false
false	false	false	false	1248	io.reactivex.PerfSubscriber			false
false	false	false	false	1250	io.reactivex.OperatorMergePerf			false
false	false	false	false	1254	io.reactivex.LatchedSingleObserver			false
false	false	false	false	1251	io.reactivex.RangePerf			false
false	false	false	false	1497	io.reactivex.RxVsStreamPerf			false
false	false	false	false	2023	io.reactivex.CompletableObserver			false
false	false	false	false	2172	io.reactivex.CompletableTransformer			false
false	false	false	false	2125	io.reactivex.FlowableEmitter	creator	Factory Method	false
false	false	false	false	2024	io.reactivex.ObservableSource	state	State	false
false	false	false	false	2267	io.reactivex.Emitter			false
false	false	false	false	2168	io.reactivex.SingleTransformer			false
false	true	false	true	1532	io.reactivex.Flowable	abstractClass	Template Method	true
false	true	false	true	1112	io.reactivex.Single	abstractClass	Template Method	true
false	true	false	true	736	io.reactivex.Observable	abstractClass	Template Method	true
false	false	false	false	2025	io.reactivex.SingleSource	state	State	false
false	false	false	false	2169	io.reactivex.FlowableOperator			false
false	false	false	false	2241	io.reactivex.ObservableEmitter	creator	Factory Method	false
false	false	false	false	2244	io.reactivex.SingleOnSubscribe	state	State	false
false	false	false	false	2022	io.reactivex.CompletableSource	state	State	false
false	false	false	false	2238	io.reactivex.CompletableEmitter			false
false	false	false	false	2171	io.reactivex.CompletableOperator	adaptee	(Object)Adapter	false
false	false	false	false	2239	io.reactivex.CompletableOnSubscribe	state	State	false
false	false	false	false	2170	io.reactivex.FlowableTransformer			false
false	false	false	false	2173	io.reactivex.ObservableOperator			false
false	false	false	false	1014	io.reactivex.Notification	singleton	Singleton	false
false	false	false	false	2242	io.reactivex.ObservableOnSubscribe	state	State	false
false	false	false	false	882	io.reactivex.Observer	state	State	false
false	false	false	false	907	io.reactivex.Scheduler	abstractClass	Template Method	false
false	false	false	false	2240	io.reactivex.FlowableOnSubscribe	state	State	false
false	false	false	false	2174	io.reactivex.ObservableTransformer			false
false	true	false	true	1498	io.reactivex.Completable	abstractClass	Template Method	true
false	false	false	false	2026	io.reactivex.SingleObserver			false
false	false	false	false	2167	io.reactivex.SingleOperator			false
false	false	false	false	2243	io.reactivex.SingleEmitter			false
false	false	false	false	1085	io.reactivex.exceptions.TestException			false
false	false	false	false	2140	io.reactivex.exceptions.OnNextValueTest			false
false	false	false	false	2139	io.reactivex.exceptions.ExceptionsTest			false
false	false	false	false	2138	io.reactivex.exceptions.ExceptionsNullTest			false
false	false	false	false	2137	io.reactivex.exceptions.CompositeExceptionTest			false
false	false	false	false	1063	io.reactivex.exceptions.MissingBackpressureException			false
false	false	false	false	1029	io.reactivex.exceptions.Exceptions			false
false	false	false	false	1221	io.reactivex.exceptions.CompositeException			false
false	false	false	false	2010	io.reactivex.single.SingleTest			false
false	true	false	true	2009	io.reactivex.single.SingleNullTests			false
false	false	false	false	2143	io.reactivex.internal.subscribers.flowable.DeferredScalarSubscriberTest			false
false	false	false	false	2112	io.reactivex.internal.subscribers.flowable.BlockingSingleSubscriber			false
false	false	false	false	2122	io.reactivex.internal.subscribers.flowable.InnerQueuedSubscriber	context	State	false
false	false	false	false	2111	io.reactivex.internal.subscribers.flowable.BlockingLastSubscriber			false
false	false	false	false	2123	io.reactivex.internal.subscribers.flowable.InnerQueuedSubscriberSupport	state	State	false
