CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	3186	io.reactivex.rxjava3.core.PerfInteropConsumer			false
false	false	false	false	3167	io.reactivex.rxjava3.core.BlockingPerf			false
false	false	false	false	3181	io.reactivex.rxjava3.core.OperatorFlatMapPerf			false
false	false	false	false	3180	io.reactivex.rxjava3.core.ObservableFlatMapPerf			false
false	false	false	false	3176	io.reactivex.rxjava3.core.InputWithIncrementingInteger			false
false	false	false	false	3193	io.reactivex.rxjava3.core.StrictPerf			false
false	false	false	false	3194	io.reactivex.rxjava3.core.TakeUntilPerf			false
false	false	false	false	3184	io.reactivex.rxjava3.core.PerfBoundedSubscriber			false
false	false	false	false	3187	io.reactivex.rxjava3.core.PerfObserver			false
false	false	false	false	3169	io.reactivex.rxjava3.core.EachTypeFlatMapPerf			false
false	false	false	false	3174	io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf			false
false	false	false	false	3189	io.reactivex.rxjava3.core.PublishProcessorPerf			false
false	false	false	false	3165	io.reactivex.rxjava3.core.BinaryFlatMapPerf			false
false	false	false	false	3188	io.reactivex.rxjava3.core.PerfSubscriber			false
false	false	false	false	3177	io.reactivex.rxjava3.core.JustAsyncPerf			false
false	false	false	false	3183	io.reactivex.rxjava3.core.PerfAsyncConsumer			false
false	false	false	false	3170	io.reactivex.rxjava3.core.FlatMapJustPerf			false
false	false	false	false	3182	io.reactivex.rxjava3.core.OperatorMergePerf			false
false	false	false	false	3173	io.reactivex.rxjava3.core.FlattenRangePerf			false
false	false	false	false	3175	io.reactivex.rxjava3.core.FlowableFlatMapCompletableSyncPerf			false
false	false	false	false	3168	io.reactivex.rxjava3.core.CallableAsyncPerf			false
false	false	false	false	3171	io.reactivex.rxjava3.core.FlattenCrossMapPerf			false
false	false	false	false	3178	io.reactivex.rxjava3.core.LatchedSingleObserver			false
false	false	false	false	3179	io.reactivex.rxjava3.core.MemoryPerf			false
false	false	false	false	3191	io.reactivex.rxjava3.core.ReducePerf			false
false	false	false	false	3195	io.reactivex.rxjava3.core.ToFlowablePerf			false
false	false	false	false	3196	io.reactivex.rxjava3.core.XMapYPerf			false
false	false	false	false	3166	io.reactivex.rxjava3.core.BlockingGetPerf			false
false	false	false	false	3190	io.reactivex.rxjava3.core.RangePerf			false
false	false	false	false	3185	io.reactivex.rxjava3.core.PerfConsumer			false
false	false	false	false	3192	io.reactivex.rxjava3.core.RxVsStreamPerf			false
false	false	false	false	3172	io.reactivex.rxjava3.core.FlattenJustPerf			false
false	true	false	true	4014	io.reactivex.rxjava3.core.XFlatMapTest			true
false	false	false	false	4013	io.reactivex.rxjava3.core.TransformerTest			false
false	false	false	false	4011	io.reactivex.rxjava3.core.Retry			false
false	false	false	false	4010	io.reactivex.rxjava3.core.NotificationTest			false
false	false	false	false	4009	io.reactivex.rxjava3.core.ConverterTest			false
false	false	false	false	4012	io.reactivex.rxjava3.core.RxJavaTest			false
false	false	false	false	4008	io.reactivex.rxjava3.core.BackpressureEnumTest			false
false	false	false	false	3236	io.reactivex.rxjava3.core.CompletableObserver	decorated	Decorator	false
false	false	false	false	3268	io.reactivex.rxjava3.core.SingleConverter			false
false	false	false	false	3240	io.reactivex.rxjava3.core.CompletableTransformer			false
false	false	false	false	3250	io.reactivex.rxjava3.core.MaybeConverter			false
false	false	false	false	3244	io.reactivex.rxjava3.core.FlowableEmitter	creator	Factory Method	false
false	false	false	false	3263	io.reactivex.rxjava3.core.ObservableSource	state	State	false
false	false	false	false	3253	io.reactivex.rxjava3.core.MaybeOnSubscribe	state	State	false
false	false	false	false	3259	io.reactivex.rxjava3.core.ObservableConverter			false
false	false	false	false	3241	io.reactivex.rxjava3.core.Emitter			false
false	false	false	false	3274	io.reactivex.rxjava3.core.SingleTransformer			false
false	true	false	true	3242	io.reactivex.rxjava3.core.Flowable	abstractClass	Template Method	true
false	false	false	false	3252	io.reactivex.rxjava3.core.MaybeObserver	decorated	Decorator	false
false	true	false	true	3267	io.reactivex.rxjava3.core.Single	abstractClass	Template Method	true
false	true	false	true	3258	io.reactivex.rxjava3.core.Observable	abstractClass	Template Method	true
false	false	false	false	3273	io.reactivex.rxjava3.core.SingleSource	state	State	false
false	false	false	false	3246	io.reactivex.rxjava3.core.FlowableOperator	state	State	false
false	false	false	false	3260	io.reactivex.rxjava3.core.ObservableEmitter	creator	Factory Method	false
false	false	false	false	3271	io.reactivex.rxjava3.core.SingleOnSubscribe	state	State	false
false	false	false	false	3239	io.reactivex.rxjava3.core.CompletableSource	state	State	false
false	false	false	false	3235	io.reactivex.rxjava3.core.CompletableEmitter			false
false	false	false	false	3238	io.reactivex.rxjava3.core.CompletableOperator	state	State	false
false	false	false	false	3237	io.reactivex.rxjava3.core.CompletableOnSubscribe	state	State	false
false	false	false	false	3234	io.reactivex.rxjava3.core.CompletableConverter			false
false	false	false	false	3248	io.reactivex.rxjava3.core.FlowableTransformer			false
false	true	false	true	3249	io.reactivex.rxjava3.core.Maybe	abstractClass	Template Method	true
false	false	false	false	3247	io.reactivex.rxjava3.core.FlowableSubscriber			false
false	false	false	false	3262	io.reactivex.rxjava3.core.ObservableOperator	state	State	false
false	false	false	false	3257	io.reactivex.rxjava3.core.Notification	singleton	Singleton	false
false	false	false	false	3256	io.reactivex.rxjava3.core.MaybeTransformer			false
false	false	false	false	3261	io.reactivex.rxjava3.core.ObservableOnSubscribe	state	State	false
false	false	false	false	3265	io.reactivex.rxjava3.core.Observer	state	State	false
false	false	false	false	3266	io.reactivex.rxjava3.core.Scheduler	abstractClass	Template Method	false
false	false	false	false	3254	io.reactivex.rxjava3.core.MaybeOperator	state	State	false
false	false	false	false	3243	io.reactivex.rxjava3.core.FlowableConverter			false
false	false	false	false	3245	io.reactivex.rxjava3.core.FlowableOnSubscribe	state	State	false
false	false	false	false	3255	io.reactivex.rxjava3.core.MaybeSource	state	State	false
false	false	false	false	3264	io.reactivex.rxjava3.core.ObservableTransformer			false
false	true	false	true	3233	io.reactivex.rxjava3.core.Completable	abstractClass	Template Method	true
false	false	false	false	3270	io.reactivex.rxjava3.core.SingleObserver	decorated	Decorator	false
false	false	false	false	3272	io.reactivex.rxjava3.core.SingleOperator	state	State	false
false	false	false	false	3269	io.reactivex.rxjava3.core.SingleEmitter			false
false	false	false	false	3251	io.reactivex.rxjava3.core.MaybeEmitter			false
false	false	false	false	3197	io.reactivex.rxjava3.parallel.ParallelPerf			false
false	false	false	false	4621	io.reactivex.rxjava3.parallel.ParallelInvalid			false
false	false	false	false	4624	io.reactivex.rxjava3.parallel.ParallelMapTryTest			false
false	false	false	false	4616	io.reactivex.rxjava3.parallel.ParallelDoOnNextTryTest			false
false	false	false	false	4912	io.reactivex.rxjava3.parallel.ParallelFlatMapIterableTest			false
false	false	false	false	4626	io.reactivex.rxjava3.parallel.ParallelReduceFullTest			false
false	false	false	false	4628	io.reactivex.rxjava3.parallel.ParallelRunOnTest			false
false	false	false	false	4627	io.reactivex.rxjava3.parallel.ParallelReduceTest			false
false	false	false	false	4618	io.reactivex.rxjava3.parallel.ParallelFilterTryTest			false
false	false	false	false	4615	io.reactivex.rxjava3.parallel.ParallelCollectTest			false
false	true	false	true	4619	io.reactivex.rxjava3.parallel.ParallelFlowableTest			true
false	false	false	false	4620	io.reactivex.rxjava3.parallel.ParallelFromPublisherTest			false
false	false	false	false	4625	io.reactivex.rxjava3.parallel.ParallelPeekTest			false
false	false	false	false	4629	io.reactivex.rxjava3.parallel.ParallelSortedJoinTest			false
false	false	false	false	4617	io.reactivex.rxjava3.parallel.ParallelFilterTest			false
false	false	false	false	4622	io.reactivex.rxjava3.parallel.ParallelJoinTest			false
false	false	false	false	4623	io.reactivex.rxjava3.parallel.ParallelMapTest			false
false	true	false	true	3966	io.reactivex.rxjava3.parallel.ParallelFlowable	abstractClass	Template Method	true
false	false	false	false	3968	io.reactivex.rxjava3.parallel.ParallelTransformer			false
false	false	false	false	3967	io.reactivex.rxjava3.parallel.ParallelFlowableConverter			false
false	false	false	false	3204	io.reactivex.rxjava3.xmapz.FlowableFlatMapMaybePerf			false
false	false	false	false	3202	io.reactivex.rxjava3.xmapz.FlowableFlatMapCompletablePerf			false
