COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	27	55	151	275.9503910248208	566	0	1	38	7	6	com.taobao.arthas.agent.attach.AttachArthasClassloader	0	0	0	2	0	2			8	0
0	5	108	176	668	1144.7547185424496	565	-1	27	154	23	25	com.taobao.arthas.agent.attach.ArthasAgent	0	0	0	8	10	11			36	-1
-1	0	27	56	152	281.3373091673915	2	0	1	36	7	6	com.taobao.arthas.agent.ArthasClassloader	0	0	0	2	0	2			8	0
0	3	154	192	1137	1350.9405108001029	1	-1	28	199	27	33	com.taobao.arthas.agent334.AgentBootstrap	0	0	0	10	6	9			42	0
0	2	82	132	576	839.0062112118577	277	-1	24	137	19	32	com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler	0	0	0	30	2	9			41	0
0	1	26	38	126	183.77871246415617	279	-1	4	43	8	8	com.alibaba.arthas.tunnel.client.RelayHandler	0	0	0	5	1	5			13	0
0	2	75	125	509	779.0560020688154	276	0	4	116	13	28	com.alibaba.arthas.tunnel.client.ForwardClient	0	0	0	26	2	4			32	0
0	3	73	120	518	749.997029071138	281	1	0	116	17	27	com.alibaba.arthas.tunnel.client.TunnelClientSocketClientHandler	0	0	0	19	3	7			34	1
0	1	28	45	147	224.56946640504313	278	1	3	48	11	7	com.alibaba.arthas.tunnel.client.LocalFrameHandler	0	0	0	5	1	6			13	1
-1	0	12	33	52	130.39104271318712	275	0	1	20	3	3	com.alibaba.arthas.tunnel.client.ChannelUtils	0	0	0	3	0	2			5	0
0	4	98	158	589	1007.7913370169507	280	0	33	164	25	34	com.alibaba.arthas.tunnel.client.TunnelClient	0	0	0	28	5	11			45	0
-1	0	68	157	565	994.8816397899913	512	-1	1	124	8	18	com.example.ByteKitDemo	0	0	0	15	0	2			20	0
0	1	16	29	76	125.5912668683036	465	-1	6	29	8	2	com.taobao.arthas.bytekit.asm.inst.InstDemo_APM	0	0	0	0	1	4			6	-1
-1	0	12	21	52	82.97611809020998	463	-1	3	18	5	2	com.taobao.arthas.bytekit.asm.inst.InstDemo	0	0	0	0	0	3			5	0
-1	0	56	74	265	412.9000071229804	466	0	78	77	28	4	com.taobao.arthas.bytekit.asm.inst.InvokeOriginDemo	0	0	0	1	0	13			17	0
0	2	104	101	550	637.3017461008782	468	5	0	178	63	111	com.taobao.arthas.bytekit.asm.inst.InvokeOriginTest	0	0	0	14	4	16			127	5
-1	0	49	66	412	397.38754105706874	464	0	0	96	5	25	com.taobao.arthas.bytekit.asm.inst.InstDemoTest	0	0	0	12	0	1			26	0
-1	0	65	70	287	396.1637551031735	467	-1	78	85	27	20	com.taobao.arthas.bytekit.asm.inst.InvokeOriginDemo_APM	0	0	0	0	0	13			33	0
-1	0	9	42	47	161.70619927182244	407	0	0	32	2	0	com.taobao.arthas.bytekit.asm.inst.InstrumentApi	0	0	0	0	0	1			1	0
-1	0	66	99	419	597.7492210722916	507	-1	1	127	8	23	com.taobao.arthas.bytekit.asm.TryCatchBlockTest	0	0	0	18	0	2			25	0
0	14	582	558	2135	4277.7518345198005	379	-1	1656	784	154	137	com.taobao.arthas.bytekit.asm.MethodProcessor	0	0	0	29	44	65			202	-1
0	2	44	66	267	368.7584114544165	380	0	9	64	16	9	com.taobao.arthas.bytekit.asm.MyTryCatchBlock	0	0	0	6	4	7			16	0
0	2	43	67	266	374.09425268837384	381	0	5	66	15	11	com.taobao.arthas.bytekit.asm.TryCatchBlock	0	0	0	7	3	7			18	0
0	1	40	64	205	340.67263866485814	560	0	1	56	10	6	com.taobao.arthas.bytekit.asm.ClassLoaderAwareClassWriter	0	0	0	2	1	3			9	0
0	2	47	117	297	666.1666602399159	376	-1	13	86	13	5	com.taobao.arthas.bytekit.asm.InliningAdapter	0	0	0	4	2	7			12	-1
0	1	306	339	1679	2517.398289749286	382	-1	28	431	38	35	com.taobao.arthas.bytekit.asm.TypeHelper	0	0	0	0	2	8			43	-1
0	2	33	39	122	187.356820744597	378	0	20	48	12	0	com.taobao.arthas.bytekit.asm.MethodInfo	0	0	0	0	4	8			8	0
0	3	53	98	333	569.1979640180836	377	-1	9	97	11	5	com.taobao.arthas.bytekit.asm.MethodCallInliner	0	0	0	7	4	6	abstractClass	Template Method	11	-1
1	1	53	102	417	615.3747946234778	473	0	0	105	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtInvokeTest	0	0	0	8	1	1			12	0
1	1	30	62	176	320.5700076923654	472	0	0	60	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtFieldAccessTest	0	0	0	8	1	1			12	0
1	1	37	82	273	459.9766872051667	477	0	0	76	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtThrowTest	0	0	0	9	1	1			12	0
1	1	48	79	285	446.5466452412234	471	0	0	93	6	23	com.taobao.arthas.bytekit.asm.interceptor.AtExitTest	0	0	0	8	1	2			25	0
0	2	42	97	330	562.511987482671	469	0	0	93	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtEnterTest	0	0	0	9	2	1			12	0
1	1	43	98	370	579.5232945525504	474	0	0	85	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtLineTest	0	0	0	8	1	1			12	0
0	2	46	90	317	518.3011596489553	470	0	0	84	4	13	com.taobao.arthas.bytekit.asm.interceptor.AtExceptionExitTest	0	0	0	9	2	1			14	0
0	2	75	118	544	743.2760111290012	573	0	0	142	7	23	com.taobao.arthas.bytekit.asm.interceptor.InlineWhileTest	0	0	0	11	2	2			25	0
0	3	57	80	301	456.56882117991006	478	0	7	94	16	9	com.taobao.arthas.bytekit.asm.interceptor.TestHelper	0	0	0	11	5	6			15	0
1	1	44	98	401	587.4082198760437	475	0	0	89	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtSyncEnterTest	0	0	0	8	1	1			12	0
1	1	44	98	401	587.4082198760437	476	0	0	89	3	11	com.taobao.arthas.bytekit.asm.interceptor.AtSyncExitTest	0	0	0	8	1	1			12	0
-1	0	2	4	4	5.545177444479562	414	-1	0	5	0	0	com.taobao.arthas.bytekit.asm.interceptor.Inteceptor	0	0	0	0	0	0			0	-1
0	3	47	50	180	259.6478425445105	415	0	54	71	18	0	com.taobao.arthas.bytekit.asm.interceptor.InterceptorMethodConfig	0	0	0	2	6	12			12	0
-1	0	2	4	4	5.545177444479562	412	-1	0	5	0	0	com.taobao.arthas.bytekit.asm.interceptor.ExceptionInterceptor	0	0	0	0	0	0			0	-1
0	3	159	202	1150	1423.5984787141738	416	1	10	255	22	61	com.taobao.arthas.bytekit.asm.interceptor.InterceptorProcessor	0	0	0	18	4	9	context	State	70	1
-1	0	2	4	4	5.545177444479562	411	-1	0	5	0	0	com.taobao.arthas.bytekit.asm.interceptor.EnterInteceptor	0	0	0	0	0	0			0	-1
-1	0	2	4	4	5.545177444479562	413	-1	0	5	0	0	com.taobao.arthas.bytekit.asm.interceptor.ExitInterceptor	0	0	0	0	0	0			0	-1
-1	0	82	124	716	815.13634070312	495	0	0	164	4	16	com.taobao.arthas.bytekit.asm.location.filter.InvokeContainLocationFilterTest	0	0	0	19	0	1			17	0
-1	0	176	172	1542	1262.6237153092031	508	-1	1	318	8	37	com.taobao.arthas.bytekit.asm.location.filter.GroupFilterTest	0	0	0	21	0	2			39	0
-1	0	144	133	1234	946.6961551938894	494	-1	1	258	8	36	com.taobao.arthas.bytekit.asm.location.filter.InvokeCheckLocationFilterTest	0	0	0	18	0	2			38	0
1	1	22	44	121	211.0147840062566	490	1	0	38	7	3	com.taobao.arthas.bytekit.asm.location.filter.GroupLocationFilter	0	0	0	4	1	3			6	1
0	2	47	63	299	359.12794512361324	491	0	1	64	10	4	com.taobao.arthas.bytekit.asm.location.filter.InvokeCheckLocationFilter	0	0	0	3	3	3			7	0
-1	0	6	19	23	59.574390102653844	493	0	0	15	1	0	com.taobao.arthas.bytekit.asm.location.filter.LocationFilter	0	0	0	2	0	1			1	0
-1	0	8	25	33	87.412689036662	489	0	0	38	2	0	com.taobao.arthas.bytekit.asm.location.filter.DefaultLocationFilter	0	0	0	4	0	1			1	0
0	2	49	64	305	366.09995370287436	492	0	0	68	10	5	com.taobao.arthas.bytekit.asm.location.filter.InvokeContainLocationFilter	0	0	0	3	3	3			8	0
-1	0	4	9	11	21.581057455185338	480	0	0	9	1	0	com.taobao.arthas.bytekit.utils.EmptyClass	0	0	0	0	0	1			1	0
-1	0	23	36	88	161.18412532121545	488	0	0	78	2	8	com.taobao.arthas.bytekit.utils.AsmAnnotationUtilsTest	0	0	0	13	0	1			9	0
0	1	107	144	552	909.1509186639016	479	-1	28	176	20	47	com.taobao.arthas.bytekit.utils.AsmUtilsTest	0	0	0	13	1	8			55	-1
0	3	622	757	4986	6445.392672911212	461	-1	861	807	165	146	com.taobao.arthas.bytekit.utils.ReflectionUtils	0	0	0	11	4	42			188	-1
-1	0	10	22	50	86.0645061194192	458	0	0	13	4	1	com.taobao.arthas.bytekit.utils.InstanceUtils	0	0	0	0	0	1			2	0
-1	0	43	88	271	492.9864562374137	462	0	6	74	14	16	com.taobao.arthas.bytekit.utils.VerifyUtils	0	0	0	11	0	4			20	0
-1	0	90	126	537	792.035759908117	457	-1	45	152	29	40	com.taobao.arthas.bytekit.utils.Decompiler	0	0	0	21	0	10			50	-1
-1	0	127	185	984	1274.950790954667	459	-1	6	169	20	22	com.taobao.arthas.bytekit.utils.MatchUtils	0	0	0	2	0	4			26	-1
-1	0	5	17	24	54.02691511591508	454	0	0	12	2	1	com.taobao.arthas.bytekit.utils.AnnotationUtils	0	0	0	2	0	1			2	0
-1	0	59	74	446	451.42360244948475	487	-1	1	77	10	11	com.taobao.arthas.bytekit.utils.AsmAnnotationUtils	0	0	0	4	0	2			13	0
0	2	355	370	900	2516.886062429995	455	-1	731	463	76	86	com.taobao.arthas.bytekit.utils.AsmOpUtils	0	0	0	16	21	39			125	-1
-1	0	29	50	191	262.6136714023315	481	0	0	48	4	13	com.taobao.arthas.bytekit.utils.ClassLoaderUtils	0	0	0	5	0	1			14	0
-1	0	34	67	231	364.64198660496015	453	0	3	64	9	6	com.taobao.arthas.bytekit.utils.AgentUtils	0	0	0	7	0	3			9	0
-1	0	2	4	4	5.545177444479562	460	-1	0	5	0	0	com.taobao.arthas.bytekit.utils.MethodUtils	0	0	0	0	0	0			0	-1
-1	0	438	445	2999	3562.6852095433096	456	-1	946	586	133	104	com.taobao.arthas.bytekit.utils.AsmUtils	0	0	0	30	0	44			148	-1
-1	5	7	16	24	50.84886128556713	375	-1	0	21	0	0	com.taobao.arthas.bytekit.ByteKit	0	0	0	5	5	0			0	-1
-1	0	3	11	13	28.214442932076903	452	0	0	8	1	0	com.taobao.arthas.bytekit.asm.matcher.MethodMatcher	0	0	0	1	0	1			1	0
-1	0	3	11	13	28.214442932076903	451	0	0	7	1	0	com.taobao.arthas.bytekit.asm.matcher.ClassMatcher	0	0	0	0	0	1			1	0
-1	0	75	101	728	665.6204058678653	409	0	0	125	6	23	com.taobao.arthas.bytekit.asm.inst.impl.InstrumentImpl	0	0	0	13	0	1			24	0
0	3	33	40	122	192.16084178933028	410	0	20	52	12	0	com.taobao.arthas.bytekit.asm.inst.impl.MethodReplaceResult	0	0	0	2	4	8			8	0
-1	0	42	82	328	475.0271158874998	497	0	1	64	8	7	com.taobao.arthas.bytekit.asm.binding.InvokeInfoBinding	0	2	0	8	0	2			9	0
-1	0	21	51	127	247.05354140938815	399	0	3	41	8	5	com.taobao.arthas.bytekit.asm.binding.MonitorBinding	0	3	0	7	0	3			8	0
-1	0	23	50	114	236.80992241972478	396	-1	1	49	4	14	com.taobao.arthas.bytekit.asm.binding.LocalVarsBinding	0	2	0	6	0	2			16	-1
-1	0	19	50	99	229.75599250672948	392	0	1	37	6	4	com.taobao.arthas.bytekit.asm.binding.InvokeMethodDeclarationBinding	0	2	0	6	0	2			6	0
-1	0	9	23	43	86.50760266095193	388	0	1	21	3	5	com.taobao.arthas.bytekit.asm.binding.ClassBinding	0	2	0	3	0	2			7	0
-1	0	15	34	60	139.20771511555142	403	0	3	30	5	3	com.taobao.arthas.bytekit.asm.binding.ThrowableBinding	0	3	0	2	0	3			6	0
-1	0	39	61	221	329.2879247925829	393	-1	3	62	11	14	com.taobao.arthas.bytekit.asm.binding.InvokeReturnBinding	0	3	0	8	0	3			17	0
-1	0	13	44	66	184.3448086491627	398	0	1	30	3	4	com.taobao.arthas.bytekit.asm.binding.MethodDeclarationBinding	0	2	0	4	0	2			6	0
-1	0	19	51	100	234.86367948539268	484	0	1	37	6	4	com.taobao.arthas.bytekit.asm.binding.InvokeMethodOwnerBinding	0	2	0	6	0	2			6	0
-1	0	22	45	118	214.68080810095492	400	-1	3	43	9	12	com.taobao.arthas.bytekit.asm.binding.ReturnBinding	0	3	0	5	0	3			15	0
0	3	28	31	114	146.82215190022936	387	1	3	41	10	0	com.taobao.arthas.bytekit.asm.binding.BindingContext	0	0	0	2	3	7			7	1
-1	0	141	99	834	665.897106833516	386	0	10	424	8	0	com.taobao.arthas.bytekit.asm.binding.Binding	0	0	23	9	0	5			5	0
-1	0	16	35	86	155.90215536887277	383	0	1	33	4	6	com.taobao.arthas.bytekit.asm.binding.ArgNamesBinding	0	2	0	3	0	2			8	0
0	3	71	96	451	586.7008645922572	389	1	0	95	9	14	com.taobao.arthas.bytekit.asm.binding.FieldBinding	1	2	0	8	5	3			17	1
-1	0	24	49	114	232.07372397133028	397	-1	1	52	4	15	com.taobao.arthas.bytekit.asm.binding.MethodBinding	0	2	0	6	0	2			17	-1
0	1	46	66	320	380.70918572238895	394	0	1	63	9	7	com.taobao.arthas.bytekit.asm.binding.LineBinding	1	2	0	6	1	3			10	0
-1	0	14	45	70	191.18228589222116	500	0	1	30	3	4	com.taobao.arthas.bytekit.asm.binding.MethodInfoBinding	0	2	0	5	0	2			6	0
-1	0	17	37	91	166.90180174112345	395	0	1	38	4	11	com.taobao.arthas.bytekit.asm.binding.LocalVarNamesBinding	0	2	0	6	0	2			13	0
-1	0	26	68	151	341.17502890341484	391	0	3	47	8	5	com.taobao.arthas.bytekit.asm.binding.InvokeArgsBinding	0	3	0	6	0	3			8	0
-1	0	8	21	38	76.3893093542541	384	0	1	20	3	3	com.taobao.arthas.bytekit.asm.binding.ArgsBinding	0	2	0	3	0	2			5	0
0	1	25	53	123	255.0457708347381	385	-1	1	50	5	9	com.taobao.arthas.bytekit.asm.binding.ArrayBinding	1	2	0	5	1	3			12	-1
-1	0	8	21	38	76.3893093542541	402	0	1	18	3	3	com.taobao.arthas.bytekit.asm.binding.ThisBinding	0	2	0	2	0	2			5	0
0	2	20	36	93	163.17358175351723	390	0	0	36	6	2	com.taobao.arthas.bytekit.asm.binding.IntBinding	2	2	0	3	2	4			6	0
-1	0	12	29	48	112.26482931632884	482	0	1	25	3	4	com.taobao.arthas.bytekit.asm.binding.MethodNameBinding	0	2	0	4	0	2			6	0
-1	0	14	33	56	132.83660579425992	401	0	3	23	3	0	com.taobao.arthas.bytekit.asm.binding.StackSaver	0	0	0	2	0	3			3	0
-1	0	19	50	99	229.75599250672948	483	0	1	37	6	4	com.taobao.arthas.bytekit.asm.binding.InvokeMethodNameBinding	0	2	0	6	0	2			6	0
-1	0	3	9	11	21.581057455185338	404	0	0	11	1	0	com.taobao.arthas.bytekit.asm.binding.annotation.BindingParser	0	0	0	2	0	1	creator	Factory Method	1	0
-1	0	5	14	20	41.94025182975587	432	0	0	11	1	1	com.taobao.arthas.bytekit.asm.interceptor.annotation.PrintSuppressHandler	0	0	0	1	0	1			2	0
-1	0	19	44	101	203.06530274101542	574	0	0	49	3	15	com.taobao.arthas.bytekit.asm.interceptor.annotation.InterceptorParserUtils	0	0	0	7	0	1			16	0
-1	0	21	46	182	239.38430760553257	426	0	0	36	4	8	com.taobao.arthas.bytekit.asm.interceptor.annotation.BindingParserUtils	0	0	0	8	0	1			9	0
-1	0	46	89	516	555.903502127859	429	-1	3	85	11	45	com.taobao.arthas.bytekit.asm.interceptor.annotation.ExceptionHandlerUtils	0	0	0	12	0	3			48	0
-1	0	4	10	12	24.849066497880003	427	0	0	10	1	0	com.taobao.arthas.bytekit.asm.interceptor.annotation.EmptySuppressHandler	0	0	0	0	0	1			1	0
0	1	9	20	24	63.56107660695891	431	-1	0	13	1	0	com.taobao.arthas.bytekit.asm.interceptor.annotation.None	0	0	0	0	1	1			1	-1
-1	0	3	9	11	21.581057455185338	434	0	0	10	1	0	com.taobao.arthas.bytekit.asm.interceptor.parser.InterceptorClassParser	0	0	0	2	0	1			1	0
-1	0	3	11	14	29.029630625767844	435	0	0	11	1	0	com.taobao.arthas.bytekit.asm.interceptor.parser.InterceptorProcessorParser	0	0	0	3	0	1			1	0
-1	0	25	59	272	330.7423219114639	433	-1	1	50	9	19	com.taobao.arthas.bytekit.asm.interceptor.parser.DefaultInterceptorClassParser	0	0	0	10	0	2			21	-1
0	2	18	64	104	297.24101754504784	450	0	1	34	3	1	com.taobao.arthas.bytekit.asm.location.VariableAccessLocationMatcher	2	0	0	2	2	2			3	0
1	2	27	55	190	288.5863239688267	447	0	0	46	5	4	com.taobao.arthas.bytekit.asm.location.SyncExitLocationMatcher	0	0	0	7	2	2			6	0
-1	0	3	7	8	14.55609079175885	485	0	0	8	1	0	com.taobao.arthas.bytekit.asm.location.MethodInsnNodeWare	0	0	0	1	0	1			1	0
0	1	71	115	381	683.4219281395706	440	0	1	96	11	6	com.taobao.arthas.bytekit.asm.location.FieldAccessLocationMatcher	3	0	0	7	3	3			9	0
0	4	163	224	1089	1566.4353875369832	441	3	0	243	33	25	com.taobao.arthas.bytekit.asm.location.InvokeLocationMatcher	0	0	0	17	7	16			41	3
0	1	40	62	268	346.6411927916731	442	-1	0	60	13	5	com.taobao.arthas.bytekit.asm.location.LineLocationMatcher	0	0	0	7	1	4			9	0
1	2	16	62	103	287.35319727023744	436	0	0	24	1	0	com.taobao.arthas.bytekit.asm.location.AccessLocationMatcher	0	0	2	0	3	1			1	0
1	2	32	70	229	380.3605402487968	448	0	0	53	7	4	com.taobao.arthas.bytekit.asm.location.SyncLocationMatcher	0	0	0	7	3	2			6	0
0	1	19	36	84	159.50940475835927	438	0	1	39	5	7	com.taobao.arthas.bytekit.asm.location.ExceptionExitLocationMatcher	0	0	0	8	1	3			10	0
0	3	487	292	4163	2433.5254441809325	443	-1	20	696	15	1	com.taobao.arthas.bytekit.asm.location.Location	0	0	0	11	5	8	abstractClass	Template Method	9	-1
-1	0	12	28	61	115.10446819685272	437	0	0	26	3	4	com.taobao.arthas.bytekit.asm.location.EnterLocationMatcher	0	0	0	6	0	1			5	0
-1	1	3	7	7	13.621371043387192	446	-1	0	9	0	0	com.taobao.arthas.bytekit.asm.location.MatchResult	0	0	0	1	1	0			0	-1
