COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
-1	0	27	55	151	275.9503910248208	566	0	1	38	7	6	com.taobao.arthas.agent.attach.AttachArthasClassloader	0	0	0	2	0	2			8	0
0	5	110	177	682	1154.9302494382928	565	-1	27	157	24	25	com.taobao.arthas.agent.attach.ArthasAgent	0	0	0	8	10	11			36	-1
0	2	50	95	318	547.3948813641168	254	-1	4	63	16	14	demo.MathGame	0	0	0	4	2	4			18	-1
-1	0	27	56	152	281.3373091673915	2	0	1	36	7	6	com.taobao.arthas.agent.ArthasClassloader	0	0	0	2	0	2			8	0
0	3	154	192	1137	1350.9405108001029	1	-1	28	199	27	33	com.taobao.arthas.agent334.AgentBootstrap	0	0	0	10	6	9			42	0
0	1	91	152	745	1005.2344011936931	678	0	3	157	9	23	com.alibaba.arthas.tunnel.client.ProxyClient	0	0	0	36	1	3			26	0
0	2	82	130	574	825.8418215215437	277	-1	24	136	19	35	com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler	0	0	0	26	2	9			44	0
0	2	34	45	173	231.89812175240007	279	-1	0	52	9	9	com.alibaba.arthas.tunnel.client.RelayHandler	0	0	0	7	2	5			14	1
0	2	75	124	508	772.5796994997318	276	0	4	118	13	30	com.alibaba.arthas.tunnel.client.ForwardClient	0	0	0	24	2	4			34	0
0	3	109	170	845	1145.6872266507196	281	-1	0	173	22	38	com.alibaba.arthas.tunnel.client.TunnelClientSocketClientHandler	0	0	0	23	3	8			46	1
0	2	29	50	154	251.8476301206815	278	1	3	51	11	7	com.alibaba.arthas.tunnel.client.LocalFrameHandler	0	0	0	7	2	6			13	1
-1	0	12	33	52	130.39104271318712	275	0	1	20	3	3	com.alibaba.arthas.tunnel.client.ChannelUtils	0	0	0	3	0	2			5	0
0	5	126	180	703	1179.9642405259196	280	0	100	205	34	36	com.alibaba.arthas.tunnel.client.TunnelClient	0	0	0	29	8	17			53	0
-1	0	113	166	722	1092.6161730562092	718	-1	28	185	16	54	arthas.VmToolTest	0	0	0	7	0	8			62	0
0	1	77	100	344	584.0641657373399	-1	-1	114	106	31	10	arthas.VmTool	0	0	0	0	2	16	singleton	Singleton	26	-1
-1	0	35	62	126	299.8494782309916	-1	0	21	53	9	0	arthas.VmToolMXBean	0	0	0	0	0	7			7	0
-1	0	46	107	294	608.1430351052389	263	-1	1	77	9	19	com.taobao.arthas.compiler.DynamicCompilerTest	0	0	0	11	0	2			21	-1
-1	0	15	36	72	153.959980284578	728	-1	1	33	4	10	com.taobao.arthas.compiler.PackageInternalsFinderTest	0	0	0	5	0	2			12	0
0	2	43	78	299	444.63459872447356	258	0	4	81	13	12	com.taobao.arthas.compiler.DynamicCompilerException	0	0	0	3	2	5			17	0
1	1	10	29	52	114.5860678388614	262	0	0	40	4	2	com.taobao.arthas.compiler.StringSource	0	0	0	3	1	2			4	0
0	3	28	50	135	245.2637389219215	260	0	2	68	11	7	com.taobao.arthas.compiler.MemoryByteCode	0	0	0	6	4	5			12	0
0	6	115	150	404	900.2122316941726	257	-1	12	171	30	27	com.taobao.arthas.compiler.DynamicCompiler	0	0	0	12	7	9			36	-1
0	2	56	78	258	433.13084762388615	255	-1	110	103	36	11	com.taobao.arthas.compiler.CustomJavaFileObject	0	0	0	5	3	16			27	-1
0	2	74	114	523	713.5922869034013	261	0	11	124	23	36	com.taobao.arthas.compiler.PackageInternalsFinder	0	0	0	12	2	6			42	0
0	4	76	117	504	728.0414233643502	259	-1	2	127	18	9	com.taobao.arthas.compiler.DynamicJavaFileManager	0	0	0	10	4	5			14	0
0	1	30	58	162	295.08058744347824	256	0	0	63	13	14	com.taobao.arthas.compiler.DynamicClassLoader	0	0	0	3	1	5			19	0
-1	0	135	43	878	291.43880352631004	264	0	1830	319	72	0	com.test.TestLogger1	0	0	1	1	0	61			61	0
-1	0	2	6	6	10.75055681536833	265	-1	0	7	0	0	com.hello.TestLogger2	0	0	0	1	0	0			0	-1
0	4	64	86	336	500.2715597568356	679	-1	26	89	19	7	com.alibaba.arthas.tunnel.common.SimpleHttpResponse	0	0	0	9	4	9			16	0
-1	1	26	51	112	240.6434424360498	676	-1	0	60	0	0	com.alibaba.arthas.tunnel.common.MethodConstants	0	0	0	0	5	0			0	-1
-1	1	33	38	113	179.64073711106894	677	-1	0	46	0	0	com.alibaba.arthas.tunnel.common.URIConstans	0	0	0	0	9	0			0	-1
-1	0	17	90	168	461.15675814629327	11	0	1	58	2	0	org.apache.commons.net.ProtocolCommandListener	0	0	0	1	0	2			2	0
0	10	587	764	4257	6384.228453892709	13	-1	759	886	167	60	org.apache.commons.net.SocketClient	0	0	1	12	18	50			110	-1
0	5	166	340	1343	2448.904806817901	4	3	6	316	46	12	org.apache.commons.net.DatagramSocketClient	0	0	0	4	6	16	abstraction	Bridge	28	3
0	3	133	166	921	1133.026366018381	9	0	47	199	28	15	org.apache.commons.net.PrintCommandListener	0	0	0	2	4	11			26	0
0	1	19	94	159	476.47699500870175	8	0	1	56	5	0	org.apache.commons.net.MalformedServerReplyException	0	0	0	1	1	2			2	0
0	3	63	162	426	980.8191740956381	12	2	0	134	10	5	org.apache.commons.net.ProtocolCommandSupport	0	0	0	3	3	6			11	2
-1	0	35	76	223	410.945054630969	6	0	3	79	13	0	org.apache.commons.net.DefaultDatagramSocketFactory	0	0	0	3	0	3			3	0
0	4	72	186	597	1188.896583091024	10	-1	7	148	18	1	org.apache.commons.net.ProtocolCommandEvent	0	0	0	1	4	7			8	-1
0	1	136	163	1051	1134.0720714529432	7	1	15	230	45	6	org.apache.commons.net.DefaultSocketFactory	0	0	0	8	1	10			16	1
-1	0	26	86	214	461.4739372918792	5	0	3	69	13	0	org.apache.commons.net.DatagramSocketFactory	0	0	0	3	0	3	implementor	Bridge	3	0
0	2	119	167	684	1090.168972242966	20	0	1	131	7	0	org.apache.commons.net.telnet.TelnetCommand	0	0	0	0	25	3			3	0
0	2	162	226	1184	1599.323762290333	25	0	106	283	51	0	org.apache.commons.net.telnet.TelnetOptionHandler	0	0	5	0	7	17			17	0
0	3	30	73	137	359.1586075854531	15	0	0	62	4	0	org.apache.commons.net.telnet.InvalidTelnetOptionException	0	0	0	0	3	2			2	0
0	9	767	546	2660	4305.800445369557	18	-1	859	1265	158	135	org.apache.commons.net.telnet.Telnet	46	1	1	6	22	47	context	State	182	-1
0	6	426	384	1123	2697.123438619562	22	-1	4	680	58	33	org.apache.commons.net.telnet.TelnetInputStream	0	0	0	4	14	12			45	-1
1	1	78	160	486	989.793379824079	28	1	0	162	10	0	org.apache.commons.net.telnet.WindowSizeOptionHandler	2	1	0	0	3	3			3	1
-1	0	21	75	154	377.7714451810222	17	0	1	52	6	0	org.apache.commons.net.telnet.SuppressGAOptionHandler	2	0	0	0	0	2			2	0
-1	0	12	41	56	165.03941932014112	21	0	0	37	1	0	org.apache.commons.net.telnet.TelnetInputListener	0	0	0	0	0	1	state	State	1	0
0	4	204	471	1504	3445.7811306241088	19	-1	236	414	64	12	org.apache.commons.net.telnet.TelnetClient	19	5	0	4	4	24	context	State	36	0
0	2	98	145	493	899.07383023619	26	-1	0	165	19	6	org.apache.commons.net.telnet.TelnetOutputStream	0	0	0	2	3	6			12	-1
-1	0	21	73	152	366.74327802177817	14	0	1	52	6	0	org.apache.commons.net.telnet.EchoOptionHandler	2	0	0	0	0	2			2	0
