CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	566	com.taobao.arthas.agent.attach.AttachArthasClassloader			false
false	false	false	false	565	com.taobao.arthas.agent.attach.ArthasAgent			false
false	false	false	false	2	com.taobao.arthas.agent.ArthasClassloader			false
false	false	false	false	1	com.taobao.arthas.agent334.AgentBootstrap			false
false	false	false	false	678	com.alibaba.arthas.tunnel.client.ProxyClient			false
false	false	false	false	277	com.alibaba.arthas.tunnel.client.ForwardClientSocketClientHandler			false
false	false	false	false	279	com.alibaba.arthas.tunnel.client.RelayHandler			false
false	false	false	false	276	com.alibaba.arthas.tunnel.client.ForwardClient			false
false	false	false	false	281	com.alibaba.arthas.tunnel.client.TunnelClientSocketClientHandler			false
false	false	false	false	278	com.alibaba.arthas.tunnel.client.LocalFrameHandler			false
false	false	false	false	275	com.alibaba.arthas.tunnel.client.ChannelUtils			false
false	false	false	false	280	com.alibaba.arthas.tunnel.client.TunnelClient			false
false	false	false	false	263	com.taobao.arthas.compiler.DynamicCompilerTest			false
false	false	false	false	258	com.taobao.arthas.compiler.DynamicCompilerException			false
false	false	false	false	262	com.taobao.arthas.compiler.StringSource			false
false	false	false	false	260	com.taobao.arthas.compiler.MemoryByteCode			false
false	false	false	false	257	com.taobao.arthas.compiler.DynamicCompiler			false
false	false	false	false	255	com.taobao.arthas.compiler.CustomJavaFileObject			false
false	false	false	false	261	com.taobao.arthas.compiler.PackageInternalsFinder			false
false	false	false	false	259	com.taobao.arthas.compiler.DynamicJavaFileManager			false
false	false	false	false	256	com.taobao.arthas.compiler.DynamicClassLoader			false
false	false	false	false	264	com.test.TestLogger1			false
false	false	false	false	265	com.hello.TestLogger2			false
false	false	false	false	679	com.alibaba.arthas.tunnel.common.SimpleHttpResponse			false
false	false	false	false	676	com.alibaba.arthas.tunnel.common.MethodConstants			false
false	false	false	false	677	com.alibaba.arthas.tunnel.common.URIConstans			false
false	false	false	false	254	demo.MathGame			false
false	false	false	false	11	org.apache.commons.net.ProtocolCommandListener			false
false	false	false	true	13	org.apache.commons.net.SocketClient			false
false	false	false	false	4	org.apache.commons.net.DatagramSocketClient	abstraction	Bridge	false
false	false	false	false	9	org.apache.commons.net.PrintCommandListener			false
false	false	false	false	8	org.apache.commons.net.MalformedServerReplyException			false
false	false	false	false	12	org.apache.commons.net.ProtocolCommandSupport			false
false	false	false	false	6	org.apache.commons.net.DefaultDatagramSocketFactory			false
false	false	false	false	10	org.apache.commons.net.ProtocolCommandEvent			false
false	false	false	false	7	org.apache.commons.net.DefaultSocketFactory			false
false	false	false	false	5	org.apache.commons.net.DatagramSocketFactory	implementor	Bridge	false
true	false	false	false	20	org.apache.commons.net.telnet.TelnetCommand			false
false	false	false	false	25	org.apache.commons.net.telnet.TelnetOptionHandler			false
false	false	false	false	15	org.apache.commons.net.telnet.InvalidTelnetOptionException			false
false	false	false	true	18	org.apache.commons.net.telnet.Telnet	context	State	true
false	false	false	false	22	org.apache.commons.net.telnet.TelnetInputStream			false
false	false	false	false	28	org.apache.commons.net.telnet.WindowSizeOptionHandler			false
false	false	false	false	17	org.apache.commons.net.telnet.SuppressGAOptionHandler			false
false	false	false	false	21	org.apache.commons.net.telnet.TelnetInputListener	state	State	false
false	false	false	false	19	org.apache.commons.net.telnet.TelnetClient	context	State	false
false	false	false	false	26	org.apache.commons.net.telnet.TelnetOutputStream			false
false	false	false	false	14	org.apache.commons.net.telnet.EchoOptionHandler			false
false	false	false	false	27	org.apache.commons.net.telnet.TerminalTypeOptionHandler			false
true	false	false	false	24	org.apache.commons.net.telnet.TelnetOption			false
false	false	false	false	23	org.apache.commons.net.telnet.TelnetNotificationHandler	state	State	false
false	false	false	false	16	org.apache.commons.net.telnet.SimpleOptionHandler			false
false	false	false	false	29	org.apache.commons.net.util.ListenerList			false
false	false	false	false	3	com.taobao.arthas.client.TelnetConsole			false
false	false	false	false	239	com.taobao.arthas.client.IOUtil			false
false	false	false	false	704	com.alibaba.arthas.tunnel.server.utils.HttpUtilsTest			false
false	false	false	false	703	com.alibaba.arthas.tunnel.server.utils.HttpUtils			false
false	false	false	false	686	com.alibaba.arthas.tunnel.server.utils.InetAddressUtil			false
false	false	false	false	681	com.alibaba.arthas.tunnel.server.URITest			false
false	false	false	false	288	com.alibaba.arthas.tunnel.server.TunnelSocketServerInitializer			false
false	false	false	false	287	com.alibaba.arthas.tunnel.server.TunnelSocketFrameHandler			false
false	false	false	false	284	com.alibaba.arthas.tunnel.server.ClientConnectionInfo			false
false	false	false	false	282	com.alibaba.arthas.tunnel.server.AgentInfo			false
false	false	false	false	285	com.alibaba.arthas.tunnel.server.RelayHandler			false
false	false	false	false	286	com.alibaba.arthas.tunnel.server.TunnelServer	context	State	false
