COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
1	1	19	43	130	209.30398136959005	358	0	0	77	3	9	com.ctrip.framework.apollo.assembly.LocalApolloApplication	0	0	0	12	1	1			10	0
1	1	19	43	130	209.30398136959005	354	0	0	78	3	9	com.ctrip.framework.apollo.assembly.ApolloApplication	0	0	0	12	1	1			10	0
-1	0	18	52	108	243.47082381045942	667	0	0	48	5	9	com.ctrip.framework.apollo.demo.spring.javaConfigDemo.AnnotationApplication	0	0	0	8	0	1			10	0
0	3	17	39	75	168.3820364279161	727	0	0	54	3	3	com.ctrip.framework.apollo.demo.spring.springBootDemo.refresh.SpringBootApolloRefreshConfig	0	0	0	9	3	2			5	0
0	5	33	124	238	678.5615635352628	683	0	0	116	11	2	com.ctrip.framework.apollo.demo.spring.springBootDemo.config.SampleRedisConfig	0	0	0	11	6	7			9	0
-1	0	28	73	180	379.08585011498536	682	0	0	65	6	10	com.ctrip.framework.apollo.demo.spring.springBootDemo.SpringBootSampleApplication	0	0	0	11	0	1			11	0
0	2	25	49	110	230.3235379238284	728	1	0	53	9	3	com.ctrip.framework.apollo.demo.spring.xmlConfigDemo.bean.XmlBean	0	0	0	2	3	5			8	1
-1	0	18	52	108	243.47082381045942	668	0	0	49	5	9	com.ctrip.framework.apollo.demo.spring.xmlConfigDemo.XmlApplication	0	0	0	8	0	1			10	0
0	3	38	93	220	501.60736181076965	669	1	0	86	7	4	com.ctrip.framework.apollo.demo.spring.common.bean.AnnotatedBean	0	0	0	6	5	4			8	1
-1	0	5	12	12	29.818879797456006	673	-1	0	29	0	0	com.ctrip.framework.apollo.demo.spring.common.config.AppConfig	0	0	0	2	0	0			0	-1
-1	0	5	12	12	29.818879797456006	672	-1	0	29	0	0	com.ctrip.framework.apollo.demo.spring.common.config.AnotherAppConfig	0	0	0	2	0	0			0	-1
0	5	114	167	410	1004.6982456696251	134	1	14	166	25	55	com.ctrip.framework.apollo.demo.api.ApolloConfigDemo	0	0	0	17	8	9	context	State	64	1
0	3	43	100	292	567.6753802268282	551	0	0	82	11	29	com.ctrip.framework.apollo.demo.api.SimpleApolloConfigDemo	0	0	0	11	3	4	context	State	33	0
-1	0	5	14	20	41.94025182975587	280	0	0	27	1	1	com.ctrip.framework.apollo.LocalPortalApplication	0	0	0	2	0	1			2	0
-1	0	21	43	94	195.36167563761018	841	-1	3	63	6	14	com.ctrip.framework.apollo.SkipAuthorizationConfiguration	0	0	0	10	0	3			17	0
0	2	70	156	489	966.0085483580801	264	0	13	125	20	25	com.ctrip.framework.apollo.BaseIntegrationTest	0	0	4	18	2	6			31	0
-1	1	6	18	18	52.02669164213096	272	-1	0	25	0	0	com.ctrip.framework.apollo.Apollo	0	0	0	0	1	0			0	-1
0	1	104	115	610	737.5477800742461	205	-1	15	196	13	21	com.ctrip.framework.apollo.ConfigServiceTest	0	0	0	12	1	6			27	0
0	6	161	242	984	1667.7734670866453	264	0	56	266	35	35	com.ctrip.framework.apollo.BaseIntegrationTest	0	0	4	24	13	12			47	0
0	2	83	97	455	593.6688496382421	177	-1	42	130	27	13	com.ctrip.framework.apollo.ConfigService	0	0	0	6	3	12	singleton	Singleton	25	-1
-1	0	10	31	39	113.57041103001903	240	0	0	30	2	0	com.ctrip.framework.apollo.ConfigChangeListener	0	0	0	1	0	1			1	0
-1	0	11	39	48	150.97683942540775	849	0	0	34	5	0	com.ctrip.framework.apollo.PropertiesCompatibleConfigFile	0	0	0	1	0	1	state	State	1	0
-1	0	10	31	39	113.57041103001903	713	0	0	30	2	0	com.ctrip.framework.apollo.ConfigFileChangeListener	0	0	0	1	0	1			1	0
-1	0	156	260	1617	1920.9652434900477	176	0	210	254	63	0	com.ctrip.framework.apollo.Config	0	0	0	5	0	21	state	State	21	0
-1	0	41	76	194	400.35722008881294	448	0	21	71	17	0	com.ctrip.framework.apollo.ConfigFile	0	0	0	2	0	7			7	0
-1	0	5	15	21	45.667836565851346	175	0	0	29	1	1	com.ctrip.framework.apollo.LocalAdminServiceApplication	0	0	0	3	0	1			2	0
-1	0	2	7	7	13.621371043387192	229	-1	0	35	0	0	com.ctrip.framework.apollo.AdminServiceTestConfiguration	0	0	0	7	0	0			0	-1
-1	0	2	7	7	13.621371043387192	252	-1	0	34	0	0	com.ctrip.framework.apollo.ConfigServiceTestConfiguration	0	0	0	7	0	0			0	-1
-1	0	5	15	21	45.667836565851346	173	0	0	29	1	1	com.ctrip.framework.apollo.LocalConfigServiceApplication	0	0	0	3	0	1			2	0
0	5	71	90	338	524.0741305934718	1027	1	3	147	14	50	com.ctrip.framework.apollo.portal.controller.SearchControllerTest	0	0	0	23	5	6			56	1
-1	0	22	46	123	221.3604803471312	844	0	0	59	3	6	com.ctrip.framework.apollo.portal.controller.CommitControllerTest	1	0	0	7	0	1			7	0
0	3	26	43	123	206.92392728101393	1032	0	0	73	4	16	com.ctrip.framework.apollo.portal.controller.UserInfoControllerTest	0	0	0	12	3	2			18	0
0	5	32	58	158	293.63051191556406	926	1	3	93	19	15	com.ctrip.framework.apollo.portal.controller.ItemControllerTest	0	0	0	18	5	6			21	1
-1	0	35	57	182	296.6283811633773	845	-1	1	79	4	16	com.ctrip.framework.apollo.portal.controller.ServerConfigControllerTest	2	0	0	10	0	2			18	0
0	9	132	240	916	1636.8039275217911	342	-1	0	303	45	81	com.ctrip.framework.apollo.portal.controller.NamespaceController	0	0	0	42	9	15	context	State	96	-1
1	1	13	50	71	213.13399385206577	436	0	0	46	2	1	com.ctrip.framework.apollo.portal.controller.SsoHeartbeatController	0	0	0	6	1	2	context	State	3	0
0	2	32	57	185	297.5602820294645	901	2	0	88	8	21	com.ctrip.framework.apollo.portal.controller.AccessKeyController	0	0	0	8	2	6			27	2
1	1	12	27	42	100.91707969365095	417	0	0	45	3	1	com.ctrip.framework.apollo.portal.controller.OrganizationController	0	0	0	5	1	2			3	0
0	4	44	134	286	757.9029026498603	838	-1	0	134	8	27	com.ctrip.framework.apollo.portal.controller.ConfigsExportController	0	0	0	26	4	3			30	0
1	1	12	31	80	135.84282567489032	444	1	0	53	5	4	com.ctrip.framework.apollo.portal.controller.NamespaceLockController	0	0	0	7	1	3			7	1
1	1	18	43	92	194.43690881310874	552	2	0	68	7	4	com.ctrip.framework.apollo.portal.controller.FavoriteController	0	0	0	12	1	5			9	2
0	7	106	179	678	1166.9273645413307	207	4	0	240	37	68	com.ctrip.framework.apollo.portal.controller.AppController	0	0	0	45	7	11	context	State	79	4
0	2	13	25	57	101.07628169586376	883	0	0	47	4	2	com.ctrip.framework.apollo.portal.controller.PrefixPathController	0	0	0	5	2	2			4	0
-1	0	8	22	31	75.54771849867322	744	0	0	35	2	0	com.ctrip.framework.apollo.portal.controller.SignInController	0	0	0	3	0	1			1	0
0	5	47	130	408	781.464732672541	581	3	0	164	21	31	com.ctrip.framework.apollo.portal.controller.NamespaceBranchController	0	0	0	23	5	7			38	3
1	1	12	24	49	93.40368715465503	678	0	0	43	3	4	com.ctrip.framework.apollo.portal.controller.PageSettingController	0	0	0	4	1	2			6	0
1	2	19	53	132	258.78850189707765	426	0	0	65	5	6	com.ctrip.framework.apollo.portal.controller.CommitController	0	0	0	15	2	2			8	0
0	2	55	100	382	594.5420608606576	517	1	0	123	12	23	com.ctrip.framework.apollo.portal.controller.ConsumerController	0	0	0	15	2	4			27	1
0	2	27	48	128	232.89745266814163	369	1	0	72	6	11	com.ctrip.framework.apollo.portal.controller.ServerConfigController	0	0	0	12	2	3	context	State	14	1
0	4	120	214	874	1449.4392003902847	109	-1	6	270	39	79	com.ctrip.framework.apollo.portal.controller.ItemController	0	0	0	38	4	13	context	State	92	-1
0	6	82	132	573	838.3169146063457	802	1	1	151	19	28	com.ctrip.framework.apollo.portal.controller.SystemInfoController	0	0	0	19	7	7			35	1
0	4	38	65	197	343.40824236796925	1026	0	0	122	8	12	com.ctrip.framework.apollo.portal.controller.SearchController	0	0	0	16	4	3			15	0
0	2	21	47	128	228.045422404222	432	1	0	70	8	12	com.ctrip.framework.apollo.portal.controller.ClusterController	0	0	0	13	2	4			16	1
1	2	14	38	89	170.5681820498213	582	0	0	58	4	4	com.ctrip.framework.apollo.portal.controller.ReleaseHistoryController	0	0	0	10	2	2			6	0
1	1	13	30	65	125.2316180968691	310	0	0	47	4	3	com.ctrip.framework.apollo.portal.controller.EnvController	0	0	0	7	1	2			5	0
0	5	82	135	584	859.9366326818107	461	3	0	210	29	64	com.ctrip.framework.apollo.portal.controller.ReleaseController	0	0	0	28	5	8	context	State	72	3
0	6	183	186	1120	1305.92161735778	403	-1	0	359	67	156	com.ctrip.framework.apollo.portal.controller.PermissionController	0	0	0	28	6	23			179	8
0	2	36	90	230	489.4271378030876	927	1	0	106	9	24	com.ctrip.framework.apollo.portal.controller.ConfigsImportController	0	0	0	16	2	4			28	1
0	2	24	66	191	346.6500462510776	542	2	0	92	11	15	com.ctrip.framework.apollo.portal.controller.InstanceController	0	0	0	16	2	5			20	2
0	4	39	92	231	500.70242936800497	375	1	0	101	13	11	com.ctrip.framework.apollo.portal.controller.UserInfoController	0	0	0	21	4	6	context	State	17	1
0	3	37	69	182	359.0764614082989	291	0	1	93	5	22	com.ctrip.framework.apollo.portal.ServiceExceptionTest	2	0	0	19	3	2			24	0
0	2	11	32	50	125.18473617370067	14	-1	1	53	3	2	com.ctrip.framework.apollo.portal.AbstractIntegrationTest	0	0	20	10	2	2			4	-1
0	10	241	176	1204	1248.4392141529029	483	6	0	509	43	257	com.ctrip.framework.apollo.portal.RetryableRestTemplateTest	17	0	0	41	16	17			274	6
-1	0	2	6	6	10.75055681536833	470	-1	0	25	0	0	com.ctrip.framework.apollo.portal.AbstractUnitTest	0	0	17	2	0	0			0	-1
-1	0	5	19	26	61.90383422240816	3	0	0	40	2	1	com.ctrip.framework.apollo.portal.PortalApplication	0	0	0	9	0	1			2	0
-1	0	9	27	34	95.21173416463637	848	-1	0	34	2	1	com.ctrip.framework.apollo.portal.ServletInitializer	0	0	0	2	0	1			2	-1
0	11	151	223	731	1470.5542015242006	1035	0	28	262	18	66	com.ctrip.framework.apollo.portal.service.ConfigsExportServiceTest	8	0	0	32	11	8			74	0
