CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	273	com.github.benmanes.caffeine.jcache.JCacheGuiceTest			false
false	false	false	false	528	com.github.benmanes.caffeine.jcache.CacheProxyTest			false
false	false	false	false	455	com.github.benmanes.caffeine.jcache.JCacheProfiler			false
false	false	false	false	460	com.github.benmanes.caffeine.jcache.AbstractJCacheTest			false
false	false	false	false	449	com.github.benmanes.caffeine.jcache.OSGiTest			false
false	false	false	false	487	com.github.benmanes.caffeine.jcache.CacheManagerTest			false
false	false	false	false	243	com.github.benmanes.caffeine.jcache.EntryProxy			false
false	false	false	false	236	com.github.benmanes.caffeine.jcache.CacheManagerImpl			false
false	false	false	false	267	com.github.benmanes.caffeine.jcache.CacheFactory			false
false	false	false	false	260	com.github.benmanes.caffeine.jcache.Expirable			false
false	false	false	false	238	com.github.benmanes.caffeine.jcache.LoadingCacheProxy	context	State	false
false	false	false	true	237	com.github.benmanes.caffeine.jcache.CacheProxy	context	State	true
false	false	false	false	287	com.github.benmanes.caffeine.jcache.expiry.JCacheExpiryPolicyTest			false
false	false	false	false	530	com.github.benmanes.caffeine.jcache.expiry.JCacheExpiryAndMaximumSizeTest			false
false	false	false	false	461	com.github.benmanes.caffeine.jcache.expiry.JCacheAccessExpiryTest			false
false	false	false	false	523	com.github.benmanes.caffeine.jcache.expiry.JCacheExpiryTest			false
false	false	false	false	463	com.github.benmanes.caffeine.jcache.expiry.JCacheUpdateExpiryTest			false
false	false	false	false	462	com.github.benmanes.caffeine.jcache.expiry.JCacheCreationExpiryTest			false
false	false	false	false	259	com.github.benmanes.caffeine.jcache.expiry.JCacheExpiryPolicy			false
false	false	false	false	301	com.github.benmanes.caffeine.jcache.processor.EntryProcessorEntryTest			false
false	false	false	false	529	com.github.benmanes.caffeine.jcache.processor.EntryProcessorTest			false
false	false	false	false	244	com.github.benmanes.caffeine.jcache.processor.EntryProcessorEntry			false
false	false	false	false	289	com.github.benmanes.caffeine.jcache.event.EventDispatcherTest			false
false	false	false	false	288	com.github.benmanes.caffeine.jcache.event.JCacheEvictionListenerTest			false
false	false	false	false	299	com.github.benmanes.caffeine.jcache.event.JCacheEntryEventTest			false
false	false	false	false	298	com.github.benmanes.caffeine.jcache.event.EventTypeFilterTest			false
false	false	false	false	249	com.github.benmanes.caffeine.jcache.event.JCacheEntryEvent			false
false	false	false	false	248	com.github.benmanes.caffeine.jcache.event.EventTypeFilter			false
false	false	false	false	247	com.github.benmanes.caffeine.jcache.event.EventTypeAwareListener			false
false	false	false	false	296	com.github.benmanes.caffeine.jcache.event.Registration			false
false	false	false	false	246	com.github.benmanes.caffeine.jcache.event.EventDispatcher			false
false	false	false	false	253	com.github.benmanes.caffeine.jcache.event.JCacheEvictionListener			false
false	false	false	false	464	com.github.benmanes.caffeine.jcache.management.JCacheStatisticsMXBeanTest			false
false	false	false	false	257	com.github.benmanes.caffeine.jcache.management.JCacheMBeanServerBuilder			false
false	false	false	false	255	com.github.benmanes.caffeine.jcache.management.JCacheStatisticsMXBean			false
false	false	false	false	254	com.github.benmanes.caffeine.jcache.management.JCacheMXBean			false
false	false	false	false	256	com.github.benmanes.caffeine.jcache.management.JmxRegistration			false
false	false	false	false	300	com.github.benmanes.caffeine.jcache.integration.DisabledCacheWriterTest			false
false	false	false	false	493	com.github.benmanes.caffeine.jcache.integration.CacheLoaderTest			false
false	false	false	false	252	com.github.benmanes.caffeine.jcache.integration.JCacheLoaderAdapter	context	State	false
false	false	false	false	525	com.github.benmanes.caffeine.jcache.size.JCacheMaximumSizeTest			false
false	false	false	false	526	com.github.benmanes.caffeine.jcache.size.JCacheMaximumWeightTest			false
false	false	false	false	297	com.github.benmanes.caffeine.jcache.copy.JavaSerializationCopierTest			false
false	false	false	false	242	com.github.benmanes.caffeine.jcache.copy.JavaSerializationCopier			false
false	false	false	false	245	com.github.benmanes.caffeine.jcache.copy.AbstractCopier	abstractClass	Template Method	false
false	false	false	false	241	com.github.benmanes.caffeine.jcache.copy.Copier			false
false	false	false	false	294	com.github.benmanes.caffeine.jcache.configuration.TestWeigher			false
false	false	false	false	292	com.github.benmanes.caffeine.jcache.configuration.TestCacheLoader			false
false	false	false	false	295	com.github.benmanes.caffeine.jcache.configuration.TypesafeConfigurationTest			false
false	false	false	false	293	com.github.benmanes.caffeine.jcache.configuration.TestCacheWriter			false
false	false	false	false	290	com.github.benmanes.caffeine.jcache.configuration.TestCacheEntryEventFilter			false
false	false	false	false	527	com.github.benmanes.caffeine.jcache.configuration.JCacheConfigurationTest			false
false	false	true	false	553	com.github.benmanes.caffeine.jcache.configuration.TestExecutor			false
false	false	false	false	291	com.github.benmanes.caffeine.jcache.configuration.TestCacheEntryListener			false
false	false	false	false	258	com.github.benmanes.caffeine.jcache.configuration.TypesafeConfigurator			false
false	false	true	false	492	com.github.benmanes.caffeine.jcache.configuration.FactoryCreator			false
false	false	false	false	240	com.github.benmanes.caffeine.jcache.configuration.CaffeineConfiguration			false
false	false	false	false	239	com.github.benmanes.caffeine.jcache.spi.CaffeineCachingProvider			false
false	false	false	false	495	com.github.benmanes.caffeine.examples.stats.metrics.MetricsStatsCounterTest			false
false	false	false	false	494	com.github.benmanes.caffeine.examples.stats.metrics.MetricsStatsCounter			false
false	false	false	false	568	com.github.benmanes.caffeine.examples.coalescing.bulkloader.CoalescingBulkloaderTest			false
false	false	false	false	567	com.github.benmanes.caffeine.examples.coalescing.bulkloader.CoalescingBulkloader			false
false	false	false	false	489	com.github.benmanes.caffeine.examples.writebehind.rxjava.WriteBehindCacheWriterTest			false
false	false	false	false	488	com.github.benmanes.caffeine.examples.writebehind.rxjava.WriteBehindCacheWriter			false
false	false	false	false	536	com.github.benmanes.caffeine.cache.simulator.TraceBenchmark			false
false	false	false	false	179	com.github.benmanes.caffeine.cache.simulator.Synthetic			false
false	false	false	false	173	com.github.benmanes.caffeine.cache.simulator.Simulator	context	State	false
false	false	false	false	178	com.github.benmanes.caffeine.cache.simulator.BasicSettings	adaptee	(Object)Adapter	false
false	false	false	false	486	com.github.benmanes.caffeine.cache.simulator.admission.bloom.MembershipTest			false
false	false	false	false	485	com.github.benmanes.caffeine.cache.simulator.membership.bloom.GuavaBloomFilter			false
false	false	false	false	480	com.github.benmanes.caffeine.cache.simulator.membership.bloom.BloomFilter			false
false	false	false	false	556	com.github.benmanes.caffeine.cache.simulator.membership.bloom.FastFilter			false
false	false	false	false	483	com.github.benmanes.caffeine.cache.simulator.membership.Membership	state	State	false
false	false	false	false	426	com.github.benmanes.caffeine.cache.simulator.report.CsvReporter			false
false	false	false	false	429	com.github.benmanes.caffeine.cache.simulator.report.TableReporter			false
false	false	false	false	428	com.github.benmanes.caffeine.cache.simulator.report.Reporter	state	State	false
false	false	false	false	187	com.github.benmanes.caffeine.cache.simulator.report.TextReporter	abstractClass	Template Method	false
false	false	false	false	503	com.github.benmanes.caffeine.cache.simulator.policy.product.OhcPolicy	adapter	(Object)Adapter	false
false	false	false	false	414	com.github.benmanes.caffeine.cache.simulator.policy.product.Cache2kPolicy	adapter	(Object)Adapter	false
false	false	false	false	475	com.github.benmanes.caffeine.cache.simulator.policy.product.ElasticSearchPolicy	adapter	(Object)Adapter	false
false	false	false	false	497	com.github.benmanes.caffeine.cache.simulator.policy.product.CollisionPolicy	adapter	(Object)Adapter	false
false	false	false	false	441	com.github.benmanes.caffeine.cache.simulator.policy.product.TCachePolicy	adapter	(Object)Adapter	false
false	false	false	false	409	com.github.benmanes.caffeine.cache.simulator.policy.product.CaffeinePolicy	context	State	false
false	false	false	false	412	com.github.benmanes.caffeine.cache.simulator.policy.product.GuavaPolicy	adapter	(Object)Adapter	false
false	false	false	false	512	com.github.benmanes.caffeine.cache.simulator.policy.product.ExpiringMapPolicy	adapter	(Object)Adapter	false
false	false	false	false	411	com.github.benmanes.caffeine.cache.simulator.policy.product.Ehcache3Policy	adapter	(Object)Adapter	false
false	false	false	false	180	com.github.benmanes.caffeine.cache.simulator.policy.PolicyStats	adaptee	(Object)Adapter	false
false	false	false	false	337	com.github.benmanes.caffeine.cache.simulator.policy.PolicyActor	context	State	false
false	false	false	false	452	com.github.benmanes.caffeine.cache.simulator.policy.Registry			false
false	false	false	false	570	com.github.benmanes.caffeine.cache.simulator.policy.AccessEvent			false
false	false	false	false	190	com.github.benmanes.caffeine.cache.simulator.policy.Policy	state	State	false
false	false	false	false	353	com.github.benmanes.caffeine.cache.simulator.policy.opt.ClairvoyantPolicy			false
false	false	false	false	339	com.github.benmanes.caffeine.cache.simulator.policy.opt.UnboundedPolicy	adapter	(Object)Adapter	false
false	false	false	false	352	com.github.benmanes.caffeine.cache.simulator.policy.linked.SegmentedLruPolicy	context	State	false
false	false	false	false	354	com.github.benmanes.caffeine.cache.simulator.policy.linked.FrequentlyUsedPolicy	context	State	false
false	false	false	false	438	com.github.benmanes.caffeine.cache.simulator.policy.linked.MultiQueuePolicy	adapter	(Object)Adapter	false
false	false	false	false	444	com.github.benmanes.caffeine.cache.simulator.policy.linked.S4LruPolicy	context	State	false
false	false	false	false	181	com.github.benmanes.caffeine.cache.simulator.policy.linked.LinkedPolicy	context	State	false
false	false	false	false	542	com.github.benmanes.caffeine.cache.simulator.policy.irr.IndicatorFrdPolicy	adapter	(Object)Adapter	false
false	false	false	false	543	com.github.benmanes.caffeine.cache.simulator.policy.irr.HillClimberFrdPolicy	adapter	(Object)Adapter	false
false	false	false	false	363	com.github.benmanes.caffeine.cache.simulator.policy.irr.LirsPolicy	adapter	(Object)Adapter	false
false	false	false	false	534	com.github.benmanes.caffeine.cache.simulator.policy.irr.FrdPolicy	adapter	(Object)Adapter	false
false	false	false	false	366	com.github.benmanes.caffeine.cache.simulator.policy.irr.ClockProPolicy			false
false	false	false	false	347	com.github.benmanes.caffeine.cache.simulator.policy.two_queue.TwoQueuePolicy	adapter	(Object)Adapter	false
false	false	false	false	358	com.github.benmanes.caffeine.cache.simulator.policy.two_queue.TuQueuePolicy	adapter	(Object)Adapter	false
false	false	false	false	442	com.github.benmanes.caffeine.cache.simulator.policy.sketch.segment.LruWindowTinyLfuPolicy	context	State	false
false	false	false	false	443	com.github.benmanes.caffeine.cache.simulator.policy.sketch.segment.FullySegmentedWindowTinyLfuPolicy	context	State	false
false	false	false	false	469	com.github.benmanes.caffeine.cache.simulator.policy.sketch.segment.RandomWindowTinyLfuPolicy	context	State	false
false	false	false	false	445	com.github.benmanes.caffeine.cache.simulator.policy.sketch.segment.S4WindowTinyLfuPolicy	context	State	false
false	false	false	false	476	com.github.benmanes.caffeine.cache.simulator.policy.sketch.feedback.FeedbackWindowTinyLfuPolicy	context	State	false
false	false	false	false	481	com.github.benmanes.caffeine.cache.simulator.policy.sketch.feedback.FeedbackTinyLfuPolicy	context	State	false
false	false	false	false	540	com.github.benmanes.caffeine.cache.simulator.policy.sketch.Indicator	adaptee	(Object)Adapter	false
false	false	false	false	369	com.github.benmanes.caffeine.cache.simulator.policy.sketch.WindowTinyLfuPolicy	context	State	false
false	false	false	false	541	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.inference.IndicatorClimber	adapter	(Object)Adapter	false
false	false	false	false	545	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.sim.MiniSimClimber			false
false	false	false	false	506	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.HillClimber	state	State	false
false	false	false	false	551	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.AbstractClimber	abstractClass	Template Method	false
false	false	false	false	504	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.HillClimberWindowTinyLfuPolicy	context	State	false
false	false	false	false	508	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.hill.SimpleClimber			false
false	false	false	false	509	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.hill.SimulatedAnnealingClimber			false
false	false	false	false	548	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Nadam			false
false	false	false	false	546	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Adam			false
false	false	false	false	549	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.Stochastic			false
false	false	false	false	547	com.github.benmanes.caffeine.cache.simulator.policy.sketch.climbing.gradient.AmsGrad			false
false	false	false	false	436	com.github.benmanes.caffeine.cache.simulator.policy.sketch.tinycache.TinyCacheWithGhostCachePolicy	adapter	(Object)Adapter	false
false	false	false	false	437	com.github.benmanes.caffeine.cache.simulator.policy.sketch.tinycache.WindowTinyCachePolicy	adapter	(Object)Adapter	false
false	false	false	false	435	com.github.benmanes.caffeine.cache.simulator.policy.sketch.tinycache.TinyCachePolicy	adapter	(Object)Adapter	false
false	false	false	false	191	com.github.benmanes.caffeine.cache.simulator.policy.sampled.SampledPolicy	context	State	false
false	false	false	false	355	com.github.benmanes.caffeine.cache.simulator.policy.adaptive.ArcPolicy	adapter	(Object)Adapter	false
false	false	false	false	360	com.github.benmanes.caffeine.cache.simulator.policy.adaptive.CarPolicy	adapter	(Object)Adapter	false
false	false	false	false	361	com.github.benmanes.caffeine.cache.simulator.policy.adaptive.CartPolicy	adapter	(Object)Adapter	false
false	false	false	false	371	com.github.benmanes.caffeine.cache.simulator.admission.Frequency	state	State	false
false	false	false	false	336	com.github.benmanes.caffeine.cache.simulator.admission.TinyLfu	context	State	false
false	false	false	false	334	com.github.benmanes.caffeine.cache.simulator.admission.Admittor	state	State	false
false	false	false	false	458	com.github.benmanes.caffeine.cache.simulator.admission.perfect.PerfectFrequency			false
false	false	false	false	457	com.github.benmanes.caffeine.cache.simulator.admission.countmin4.PeriodicResetCountMin4	context	State	false
false	false	false	false	513	com.github.benmanes.caffeine.cache.simulator.admission.countmin4.ClimberResetCountMin4	context	State	false
false	false	false	false	544	com.github.benmanes.caffeine.cache.simulator.admission.countmin4.IndicatorResetCountMin4	adapter	(Object)Adapter	false
false	false	false	false	456	com.github.benmanes.caffeine.cache.simulator.admission.countmin4.CountMin4			false
false	false	false	false	375	com.github.benmanes.caffeine.cache.simulator.admission.countmin4.IncrementalResetCountMin4			false
false	false	false	false	533	com.github.benmanes.caffeine.cache.simulator.admission.countmin64.CountMin64	adaptee	(Object)Adapter	false
false	false	false	false	365	com.github.benmanes.caffeine.cache.simulator.admission.countmin64.CountMin64TinyLfu	adapter	(Object)Adapter	false
false	false	false	false	434	com.github.benmanes.caffeine.cache.simulator.admission.tinycache.TinySetIndexing			false
