CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	532	org.datatransferproject.auth.rememberthemilk.RememberTheMilkAuthServiceExtension			false
false	false	false	false	533	org.datatransferproject.auth.rememberthemilk.RememberTheMilkSignatureGenerator	adaptee	(Object)Adapter	false
false	false	false	false	531	org.datatransferproject.auth.rememberthemilk.RememberTheMilkAuthDataGenerator	adapter	(Object)Adapter	false
false	false	false	false	535	org.datatransferproject.auth.rememberthemilk.model.RememberTheMilkResponse			false
false	false	false	false	534	org.datatransferproject.auth.rememberthemilk.model.AuthElement			false
false	false	false	false	684	org.datatransferproject.auth.smugmug.SmugMugOAuthConfig			false
false	false	false	false	565	org.datatransferproject.auth.smugmug.SmugMugAuthServiceExtension			false
false	false	false	false	773	org.datatransferproject.auth.imgur.ImgurOAuthConfig			false
false	false	false	false	772	org.datatransferproject.auth.imgur.ImgurAuthServiceExtension			false
false	false	false	false	733	org.datatransferproject.auth.google.BloggerOAuthConfig			false
false	false	false	false	670	org.datatransferproject.auth.google.GoogleOAuthConfig			false
false	false	false	false	732	org.datatransferproject.auth.google.BloggerAuthServiceExtension			false
false	false	false	false	460	org.datatransferproject.auth.google.GoogleAuthServiceExtension			false
false	false	false	false	554	org.datatransferproject.auth.instagram.InstagramAuthServiceExtension			false
false	false	false	false	671	org.datatransferproject.auth.instagram.InstagramOAuthConfig			false
false	false	false	false	299	org.datatransferproject.auth.microsoft.harness.AuthTestDriver			false
false	false	false	false	300	org.datatransferproject.auth.microsoft.harness.TestHelper			false
false	false	false	false	869	org.datatransferproject.auth.koofr.KoofrOAuthConfig			false
false	false	false	false	868	org.datatransferproject.auth.koofr.KoofrAuthServiceExtension			false
false	false	false	false	486	org.datatransferproject.auth.flickr.FlickrAuthDataGeneratorTest			false
false	false	false	false	485	org.datatransferproject.auth.flickr.FlickrAuthServiceExtension			false
false	false	false	false	683	org.datatransferproject.auth.flickr.FlickrOAuthConfig			false
false	false	false	false	660	org.datatransferproject.auth.facebook.FacebookAuthServiceExtension			false
false	false	false	false	695	org.datatransferproject.auth.facebook.FacebookOAuthConfig			false
false	false	false	false	602	org.datatransferproject.auth.offline.OfflineDemoAuthDataGenerator			false
false	false	false	false	603	org.datatransferproject.auth.offline.OfflineDemoAuthServiceExtension			false
false	false	false	false	736	org.datatransferproject.auth.spotify.SpotifyAuthServiceExtension			false
false	false	false	false	737	org.datatransferproject.auth.spotify.SpotifyOAuthConfig			false
false	false	false	false	686	org.datatransferproject.auth.microsoft.MicrosoftOAuthConfig			false
false	false	false	false	302	org.datatransferproject.auth.microsoft.MicrosoftAuthServiceExtension			false
false	false	false	false	749	org.datatransferproject.auth.deezer.DeezerOAuthConfig			false
false	false	false	false	748	org.datatransferproject.auth.deezer.DeezerAuthServiceExtension			false
false	false	false	false	685	org.datatransferproject.auth.twitter.TwitterOAuthConfig			false
false	false	false	false	575	org.datatransferproject.auth.twitter.TwitterAuthServiceExtension			false
false	false	false	false	568	org.datatransferproject.cloud.google.GoogleJobStoreTest			false
false	false	false	false	831	org.datatransferproject.cloud.google.GoogleCloudIdempotentImportExecutorTest			false
false	false	false	false	416	org.datatransferproject.cloud.google.GoogleCloudModuleTest			false
false	false	false	false	830	org.datatransferproject.cloud.google.GoogleCloudUtils			false
false	false	false	false	451	org.datatransferproject.cloud.google.GoogleAppCredentialStore			false
false	false	false	false	795	org.datatransferproject.cloud.google.GoogleDtpInternalMetricRecorder	singleton	Singleton	false
false	false	false	false	439	org.datatransferproject.cloud.google.GoogleCloudExtension			false
false	false	false	false	645	org.datatransferproject.cloud.google.GoogleTempFileStore			false
false	false	false	false	788	org.datatransferproject.cloud.google.StackdriverMonitor			false
false	false	false	false	208	org.datatransferproject.cloud.google.GoogleCloudExtensionModule			false
false	false	false	false	632	org.datatransferproject.cloud.google.GoogleCredentialException			false
false	false	false	false	413	org.datatransferproject.cloud.google.GoogleAppSecretDecrypter			false
false	false	false	false	789	org.datatransferproject.cloud.google.StackdriverMonitorExtension			false
false	false	false	false	142	org.datatransferproject.cloud.google.GoogleJobStore			false
false	false	false	false	829	org.datatransferproject.cloud.google.GoogleCloudIdempotentImportExecutorExtension			false
false	false	false	false	794	org.datatransferproject.cloud.google.GoogleDtpInternalMetricExtension			false
false	false	false	false	828	org.datatransferproject.cloud.google.GoogleCloudIdempotentImportExecutor	adapter	(Object)Adapter	false
false	false	false	false	488	org.datatransferproject.cloud.microsoft.cosmos.MicrosoftCloudExtension			false
false	false	false	false	799	org.datatransferproject.cloud.microsoft.cosmos.AzureDtpInternalMetricRecorder	adapter	(Object)Adapter	false
false	false	false	false	540	org.datatransferproject.cloud.microsoft.cosmos.DataWrapper			false
false	false	false	false	310	org.datatransferproject.cloud.microsoft.cosmos.MicrosoftStorageException			false
false	false	false	false	798	org.datatransferproject.cloud.microsoft.cosmos.AzureDtpInternalMetricExtension			false
false	false	false	false	487	org.datatransferproject.cloud.microsoft.cosmos.AzureKeyVaultStore			false
false	false	false	false	539	org.datatransferproject.cloud.microsoft.cosmos.AzureTableStore	adapter	(Object)Adapter	false
false	false	false	false	541	org.datatransferproject.cloud.microsoft.cosmos.TableStoreConfiguration	adaptee	(Object)Adapter	false
false	false	false	false	826	org.datatransferproject.cloud.local.LocalJobStoreTest			false
