COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	4	39	81	217	435.77168563677725	532	0	2	96	12	6	org.datatransferproject.auth.rememberthemilk.RememberTheMilkAuthServiceExtension	0	0	0	12	7	5			11	0
1	1	37	84	220	453.0647138935984	533	0	0	80	7	22	org.datatransferproject.auth.rememberthemilk.RememberTheMilkSignatureGenerator	0	0	0	14	1	2	adaptee	(Object)Adapter	24	0
0	6	51	111	317	639.2380969003781	531	1	0	118	11	19	org.datatransferproject.auth.rememberthemilk.RememberTheMilkAuthDataGenerator	0	0	0	22	9	4	adapter	(Object)Adapter	23	1
-1	2	7	24	28	79.97290824420489	535	-1	0	28	0	0	org.datatransferproject.auth.rememberthemilk.model.RememberTheMilkResponse	0	0	6	1	2	0			0	-1
1	1	25	67	155	337.90948283358955	534	0	0	70	2	0	org.datatransferproject.auth.rememberthemilk.model.AuthElement	1	0	0	1	1	1			1	0
-1	0	26	39	101	179.98970015680914	684	-1	21	65	14	2	org.datatransferproject.auth.smugmug.SmugMugOAuthConfig	0	0	0	5	0	7			9	0
-1	0	8	25	30	85.02993454155389	565	0	0	30	1	0	org.datatransferproject.auth.smugmug.SmugMugAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	20	35	78	152.4848089341357	773	-1	10	56	10	2	org.datatransferproject.auth.imgur.ImgurOAuthConfig	0	0	0	5	0	5			7	0
-1	0	8	25	30	85.02993454155389	772	0	0	31	1	0	org.datatransferproject.auth.imgur.ImgurAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	14	41	64	170.51420641774652	733	-1	3	57	6	8	org.datatransferproject.auth.google.BloggerOAuthConfig	0	3	0	4	0	3			11	0
-1	0	23	36	87	160.772692271565	670	-1	15	83	13	9	org.datatransferproject.auth.google.GoogleOAuthConfig	0	0	1	5	0	6			15	0
-1	0	8	25	30	85.02993454155389	732	0	0	30	1	0	org.datatransferproject.auth.google.BloggerAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	8	25	30	85.02993454155389	460	0	0	30	1	0	org.datatransferproject.auth.google.GoogleAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	8	25	30	85.02993454155389	554	0	0	30	1	0	org.datatransferproject.auth.instagram.InstagramAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	20	34	76	147.24493356973525	671	-1	10	58	10	2	org.datatransferproject.auth.instagram.InstagramOAuthConfig	0	0	0	5	0	5			7	0
0	1	45	100	241	548.4796933490654	299	-1	2	90	11	20	org.datatransferproject.auth.microsoft.harness.AuthTestDriver	0	0	0	14	5	4			24	-1
-1	0	43	73	282	411.8592161784823	300	0	28	67	19	7	org.datatransferproject.auth.microsoft.harness.TestHelper	0	0	0	9	0	8			15	0
-1	0	2	3	3	3.295836866004329	486	-1	0	21	0	0	org.datatransferproject.auth.flickr.FlickrAuthDataGeneratorTest	0	0	0	0	0	0			0	-1
-1	0	8	25	30	85.02993454155389	485	0	0	30	1	0	org.datatransferproject.auth.flickr.FlickrAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	26	39	101	179.98970015680914	683	-1	21	65	14	2	org.datatransferproject.auth.flickr.FlickrOAuthConfig	0	0	0	5	0	7			9	0
-1	0	5	11	16	30.498475944637594	660	0	0	24	1	0	org.datatransferproject.auth.facebook.FacebookAuthServiceExtension	1	0	0	1	0	1			1	0
0	1	23	38	93	172.23878073982374	695	-1	10	68	10	8	org.datatransferproject.auth.facebook.FacebookOAuthConfig	0	0	0	5	3	5			13	0
0	1	12	60	94	272.5976869362002	602	0	1	47	4	1	org.datatransferproject.auth.offline.OfflineDemoAuthDataGenerator	0	0	0	6	1	2			3	0
0	2	21	63	116	299.476182039701	603	0	8	60	9	0	org.datatransferproject.auth.offline.OfflineDemoAuthServiceExtension	0	0	0	6	2	5			5	0
-1	0	8	25	30	85.02993454155389	736	0	0	30	2	0	org.datatransferproject.auth.spotify.SpotifyAuthServiceExtension	1	0	0	2	0	1			1	0
-1	0	23	36	87	160.772692271565	737	-1	15	65	16	9	org.datatransferproject.auth.spotify.SpotifyOAuthConfig	0	0	0	5	0	6			15	0
-1	0	17	23	66	96.36205906660778	686	-1	10	61	10	8	org.datatransferproject.auth.microsoft.MicrosoftOAuthConfig	0	0	0	5	0	5			13	0
