CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	82	brut.directory.DirectoryException			false
false	false	false	false	302	brut.directory.Directory	state	State	false
false	false	false	false	78	brut.directory.PathAlreadyExists			false
false	false	false	false	55	brut.directory.PathNotExist			false
false	false	false	false	367	brut.directory.ExtFile	context	State	false
false	false	false	false	299	brut.directory.AbstractDirectory	abstractClass	Template Method	false
false	false	false	false	304	brut.directory.ZipRODirectory			false
false	false	false	false	303	brut.directory.FileDirectory			false
false	false	false	false	301	brut.directory.DirUtil			false
false	false	false	false	12	brut.util.Duo			false
false	false	false	false	385	brut.util.OSDetection			false
false	false	false	false	308	brut.util.Jar			false
false	false	false	false	309	brut.util.OS			false
false	false	false	false	305	brut.util.BrutIO			false
false	false	false	false	307	brut.util.ExtDataInput			false
false	false	false	false	306	brut.util.DataInputDelegate			false
false	false	false	false	310	brut.apktool.Main			false
false	false	false	false	985	brut.androlib.ReferenceVersionCodeTest			false
false	false	false	false	1003	brut.androlib.OutsideOfDirectoryEntryTest			false
false	false	false	false	997	brut.androlib.UnknownDirectoryTraversalTest			false
false	false	false	false	380	brut.androlib.BuildAndDecodeTest			false
false	false	false	false	994	brut.androlib.ParentDirectoryTraversalTest			false
false	false	false	false	954	brut.androlib.ProviderAttributeTest			false
false	false	false	false	996	brut.androlib.DecodeKotlinTest			false
false	false	false	false	381	brut.androlib.TestUtils			false
false	false	false	false	989	brut.androlib.UnknownCompressionTest			false
false	false	false	false	1006	brut.androlib.ForceManifestDecodeNoResourcesTest			false
false	false	false	false	984	brut.androlib.DebugTagRetainedTest			false
false	false	false	false	974	brut.androlib.LargeIntsInManifestTest			false
false	false	false	false	925	brut.androlib.BuildAndDecodeJarTest			false
false	false	false	false	1001	brut.androlib.AndroidOreoNotSparseTest			false
false	false	false	false	982	brut.androlib.AndResGuardTest			false
false	false	false	false	992	brut.androlib.DefaultBaksmaliVariableTest			false
false	false	false	false	927	brut.androlib.SharedLibraryTest			false
false	false	false	false	993	brut.androlib.VectorDrawableTest			false
false	false	false	false	1007	brut.androlib.MinifiedArscTest			false
false	false	false	false	1004	brut.androlib.InvalidSdkBoundingTest			false
false	false	false	false	991	brut.androlib.PositionalEnumerationTest			false
false	false	false	false	1005	brut.androlib.SkipAssetTest			false
false	false	false	false	995	brut.androlib.ExternalEntityTest			false
false	false	false	false	1002	brut.androlib.AndroidOreoSparseTest			false
false	false	false	false	988	brut.androlib.DoubleExtensionUnknownFileTest			false
false	false	false	false	986	brut.androlib.MissingVersionManifestTest			false
false	false	false	false	316	brut.androlib.ApkDecoder			false
false	false	false	true	314	brut.androlib.Androlib			false
false	false	false	false	317	brut.androlib.ApktoolProperties			false
false	false	false	false	315	brut.androlib.AndrolibException			false
true	false	false	false	926	brut.androlib.ApkOptions			false
false	false	false	true	379	org.xmlpull.renamed.MXSerializer			true
false	false	false	false	311	android.content.res.XmlResourceParser			false
true	false	false	false	313	android.util.TypedValue			false
false	false	false	false	312	android.util.AttributeSet			false
false	false	false	false	375	brut.androlib.src.SmaliBuilder			false
false	false	false	false	376	brut.androlib.src.SmaliDecoder			false
false	false	false	false	332	brut.androlib.res.data.ResResSpec			false
false	false	false	false	333	brut.androlib.res.data.ResResource			false
false	false	false	false	335	brut.androlib.res.data.ResType			false
false	false	false	false	973	brut.androlib.res.data.ResTypeSpec			false
false	false	false	false	336	brut.androlib.res.data.ResValuesFile			false
false	false	false	false	331	brut.androlib.res.data.ResPackage			false
false	false	false	false	334	brut.androlib.res.data.ResTable			false
true	false	false	true	329	brut.androlib.res.data.ResConfigFlags			false
false	false	false	false	924	brut.androlib.res.data.ResUnknownFiles			false
false	false	false	false	330	brut.androlib.res.data.ResID			false
false	false	false	false	346	brut.androlib.res.data.value.ResFloatValue			false
false	false	false	false	340	brut.androlib.res.data.value.ResBoolValue			false
false	false	false	false	350	brut.androlib.res.data.value.ResPluralsValue			false
false	false	false	false	343	brut.androlib.res.data.value.ResEnumAttr			false
false	false	false	false	354	brut.androlib.res.data.value.ResStyleValue			false
false	false	false	false	352	brut.androlib.res.data.value.ResScalarValue	abstractClass	Template Method	false
false	false	false	false	348	brut.androlib.res.data.value.ResIdValue			false
false	false	false	false	344	brut.androlib.res.data.value.ResFileValue			false
false	false	false	false	356	brut.androlib.res.data.value.ResValueFactory			false
false	false	false	false	341	brut.androlib.res.data.value.ResColorValue			false
false	false	false	false	338	brut.androlib.res.data.value.ResAttr			false
false	false	false	false	355	brut.androlib.res.data.value.ResValue			false
false	false	false	false	342	brut.androlib.res.data.value.ResDimenValue			false
false	false	false	false	349	brut.androlib.res.data.value.ResIntValue			false
false	false	false	false	345	brut.androlib.res.data.value.ResFlagsAttr			false
false	false	false	false	351	brut.androlib.res.data.value.ResReferenceValue			false
false	false	false	false	353	brut.androlib.res.data.value.ResStringValue			false
false	false	false	false	347	brut.androlib.res.data.value.ResFractionValue			false
false	false	false	false	987	brut.androlib.res.data.value.ResEmptyValue			false
false	false	false	false	337	brut.androlib.res.data.value.ResArrayValue			false
false	false	false	false	971	brut.androlib.res.data.value.ResIntBasedValue			false
false	false	false	false	339	brut.androlib.res.data.value.ResBagValue			false
false	false	false	false	368	brut.androlib.res.util.ExtMXSerializer			false
false	false	false	false	369	brut.androlib.res.util.ExtXmlSerializer			false
false	false	false	false	990	brut.androlib.res.util.ExtFile			false
false	false	false	false	370	brut.androlib.res.xml.ResValuesXmlSerializable			false
false	false	false	false	371	brut.androlib.res.xml.ResXmlEncodable			false
false	false	false	false	372	brut.androlib.res.xml.ResXmlEncoders			false
false	false	false	false	953	brut.androlib.res.xml.ResXmlPatcher			false
false	false	false	false	327	brut.androlib.res.ResSmaliUpdater			false
false	false	false	true	326	brut.androlib.res.AndrolibResources			true
false	false	false	false	362	brut.androlib.res.decoder.ResRawStreamDecoder			false
false	false	false	false	361	brut.androlib.res.decoder.ResFileDecoder			false
false	false	false	false	364	brut.androlib.res.decoder.ResStreamDecoderContainer			false
false	false	false	false	359	brut.androlib.res.decoder.Res9patchStreamDecoder			false
false	false	false	false	357	brut.androlib.res.decoder.ARSCDecoder			false
false	false	false	false	365	brut.androlib.res.decoder.StringBlock			false
false	false	false	false	360	brut.androlib.res.decoder.ResAttrDecoder			false
false	false	false	false	366	brut.androlib.res.decoder.XmlPullStreamDecoder			false
false	false	false	false	363	brut.androlib.res.decoder.ResStreamDecoder			false
false	false	false	true	358	brut.androlib.res.decoder.AXmlResourceParser			true
false	false	false	false	981	brut.androlib.meta.YamlStringEscapeUtils			false
false	false	false	false	978	brut.androlib.meta.StringExRepresent			false
false	false	false	false	976	brut.androlib.meta.PackageInfo			false
false	false	false	false	979	brut.androlib.meta.UsesFramework			false
false	false	false	false	980	brut.androlib.meta.VersionInfo			false
false	false	false	false	977	brut.androlib.meta.StringExConstructor			false
true	false	false	false	975	brut.androlib.meta.MetaInfo			false
false	false	false	false	325	brut.androlib.mod.SmaliMod			false
false	false	false	false	319	brut.androlib.err.CantFindFrameworkResException			false
false	false	false	false	321	brut.androlib.err.OutDirExistsException			false
false	false	false	false	318	brut.androlib.err.CantFind9PatchChunk			false
false	false	false	false	320	brut.androlib.err.InFileNotFoundException			false
false	false	false	false	322	brut.androlib.err.UndefinedResObject			false
false	false	false	false	1000	brut.common.TraversalUnknownFileException			false
false	false	false	false	998	brut.common.InvalidUnknownFileException			false
false	false	false	false	999	brut.common.RootUnknownFileException			false
false	false	false	false	5	brut.common.BrutException			false
