COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	1	15	25	60	102.35861405555251	82	0	6	39	6	0	brut.directory.DirectoryException	4	0	2	1	1	4			4	0
0	1	22	44	181	228.73386937569634	302	0	171	57	31	0	brut.directory.Directory	0	0	0	3	1	19	state	State	19	0
0	1	14	23	56	92.58308888690844	78	0	6	36	6	0	brut.directory.PathAlreadyExists	4	0	0	0	1	4			4	0
0	1	15	24	60	98.2642694933304	55	0	6	37	6	0	brut.directory.PathNotExist	4	0	0	0	1	4			4	0
0	1	37	50	176	258.5241997519076	367	0	19	65	13	3	brut.directory.ExtFile	0	0	0	3	1	7	context	State	10	0
0	2	210	173	1271	1236.5277539157755	299	-1	406	292	81	68	brut.directory.AbstractDirectory	0	0	2	8	3	29	abstractClass	Template Method	97	-1
0	2	98	115	567	729.1413199286915	304	0	112	158	37	24	brut.directory.ZipRODirectory	9	8	0	9	2	17			41	0
0	1	70	93	408	559.047847219587	303	0	64	108	30	20	brut.directory.FileDirectory	5	7	0	4	1	12			32	0
-1	0	60	73	434	443.33225098932957	301	-1	15	95	24	23	brut.directory.DirUtil	0	0	0	4	0	6			29	-1
1	2	33	62	194	326.60720586192633	12	1	0	56	7	3	brut.util.Duo	0	0	0	0	2	3			6	1
0	1	19	28	79	122.3445398690766	385	1	0	42	10	4	brut.util.OSDetection	0	0	0	0	2	5			9	1
0	2	58	87	357	511.3630130148286	308	-1	21	93	26	17	brut.util.Jar	0	0	0	7	2	7			24	-1
0	1	112	157	818	1052.9773868466311	309	-1	21	145	26	25	brut.util.OS	0	0	0	5	1	7			32	-1
-1	0	70	119	464	730.6462617149244	305	-1	21	116	22	17	brut.util.BrutIO	0	0	0	10	0	7			24	-1
-1	0	73	138	471	849.3704169742656	307	-1	45	111	37	15	brut.util.ExtDataInput	9	1	0	1	0	10			25	-1
1	1	54	71	254	393.1507329583161	306	7	0	91	44	15	brut.util.DataInputDelegate	0	0	1	2	1	16			31	7
0	3	392	565	2725	4469.27639451	310	-1	124	600	60	117	brut.apktool.Main	0	0	0	10	9	17			134	-1
1	1	23	55	117	261.9195664138766	985	1	0	64	7	8	brut.androlib.ReferenceVersionCodeTest	0	0	0	10	1	3			11	1
0	2	26	58	130	282.31699812642375	1003	0	0	71	7	9	brut.androlib.OutsideOfDirectoryEntryTest	0	0	0	10	3	3			12	0
1	1	30	56	150	280.5955764693903	997	2	0	79	13	12	brut.androlib.UnknownDirectoryTraversalTest	0	0	0	14	1	6			18	2
0	2	358	368	2018	2800.429289936188	380	-1	2969	601	172	117	brut.androlib.BuildAndDecodeTest	0	0	0	17	4	79			196	0
1	1	18	41	93	185.83657921928352	994	1	0	58	7	7	brut.androlib.ParentDirectoryTraversalTest	0	0	0	8	1	3			10	1
1	1	31	91	243	499.86859134398986	954	1	0	87	11	16	brut.androlib.ProviderAttributeTest	0	0	0	12	1	4			20	1
0	2	30	64	151	321.10590955615515	996	1	0	78	9	11	brut.androlib.DecodeKotlinTest	0	0	0	11	3	4			15	1
-1	0	116	140	385	833.4540668002899	381	-1	15	170	26	33	brut.androlib.TestUtils	0	0	0	13	0	6			39	-1
0	1	50	79	243	433.9518540239033	989	1	0	110	13	21	brut.androlib.UnknownCompressionTest	0	0	0	10	3	6			27	1
0	2	39	90	204	478.63079944597945	984	1	0	91	11	14	brut.androlib.DebugTagRetainedTest	0	0	0	13	4	4			18	1
0	1	46	92	290	521.6290449142078	974	1	2	96	15	14	brut.androlib.LargeIntsInManifestTest	0	0	0	10	3	5			19	1
0	2	30	58	135	284.5059371494289	925	0	0	70	7	10	brut.androlib.BuildAndDecodeJarTest	0	0	0	9	4	3			13	0
0	2	32	61	145	303.58075828765504	1001	0	0	72	7	10	brut.androlib.AndroidOreoNotSparseTest	0	0	0	9	4	3			13	0
