COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	1	15	25	60	102.35861405555251	82	0	6	39	6	0	brut.directory.DirectoryException	4	0	2	1	1	4			4	0
0	1	24	46	178	238.36204331343592	302	0	210	77	35	0	brut.directory.Directory	0	0	0	6	1	21	state	State	21	0
0	1	14	23	56	92.58308888690844	78	0	6	36	6	0	brut.directory.PathAlreadyExists	4	0	0	0	1	4			4	0
0	1	15	24	60	98.2642694933304	55	0	6	37	6	0	brut.directory.PathNotExist	4	0	0	0	1	4			4	0
0	1	34	42	169	215.45574602676908	367	0	19	62	13	3	brut.directory.ExtFile	0	0	0	3	1	7	context	State	10	0
0	2	210	174	1275	1244.2220536210996	299	-1	406	292	81	68	brut.directory.AbstractDirectory	0	0	2	8	3	29	abstractClass	Template Method	97	-1
0	2	110	124	631	799.4659269551104	304	-1	166	176	46	29	brut.directory.ZipRODirectory	12	8	0	9	2	20			49	0
0	1	79	102	470	627.5787348598186	303	-1	89	123	37	24	brut.directory.FileDirectory	7	7	0	4	1	14			38	-1
0	1	45	84	369	496.5069180994043	1011	0	4	88	12	30	brut.directory.ZipUtils	0	0	0	9	1	4			34	0
0	1	64	75	473	461.93215413689495	301	-1	28	102	28	28	brut.directory.DirUtil	0	0	0	8	1	8			36	-1
1	2	27	50	154	251.8476301206815	12	1	0	52	6	3	brut.util.Duo	0	0	0	1	2	3			6	1
0	1	24	40	122	192.16084178933028	385	-1	0	48	12	7	brut.util.OSDetection	0	0	0	0	2	5			12	-1
0	1	34	71	237	388.23227002059434	308	-1	3	64	12	12	brut.util.Jar	0	0	0	6	1	3			15	-1
0	1	155	183	1128	1286.1608620666148	309	-1	21	198	28	34	brut.util.OS	0	0	0	8	1	7			41	-1
-1	0	74	116	490	718.551025368142	305	-1	28	123	25	18	brut.util.BrutIO	0	0	0	10	0	8			26	-1
-1	0	70	139	473	856.1142590003786	307	-1	45	108	38	15	brut.util.ExtDataInput	9	1	0	1	0	10			25	-1
-1	0	84	132	590	842.1761748707689	1010	-1	28	118	34	25	brut.util.AaptManager	0	0	0	4	0	8			33	-1
1	1	51	64	247	352.60085354419056	306	7	0	88	44	15	brut.util.DataInputDelegate	0	0	1	2	1	16			31	7
0	3	441	618	3070	4962.189495479209	310	-1	113	676	63	127	brut.apktool.Main	0	0	0	13	10	18			145	-1
-1	0	28	84	188	439.8611248777157	1026	0	3	92	8	13	brut.androlib.res.src.DexStaticFieldValueTest	3	0	0	14	0	3			16	0
-1	0	29	57	164	290.6923863859793	1025	-1	10	80	6	11	brut.androlib.res.decoder.StringBlockWithSurrogatePairInUtf8Test	0	0	0	3	0	5			16	0
-1	0	10	31	61	127.43708978937265	362	0	0	36	3	1	brut.androlib.res.decoder.ResRawStreamDecoder	0	0	0	5	0	1			2	0
0	1	19	94	150	470.999717645048	1027	0	1	58	6	5	brut.androlib.res.decoder.AndroidManifestResourceParser	1	1	0	2	1	2			7	0
0	3	104	126	893	856.1179091904388	361	-1	4	176	19	25	brut.androlib.res.decoder.ResFileDecoder	0	0	0	12	4	5			30	-1
0	1	16	44	94	199.90497041988016	364	-1	1	44	7	4	brut.androlib.res.decoder.ResStreamDecoderContainer	0	0	0	5	1	3			7	-1
0	1	158	213	1290	1525.590666936768	359	0	13	225	23	24	brut.androlib.res.decoder.Res9patchStreamDecoder	0	0	0	13	4	6			30	0
0	15	500	590	1226	4195.792148732733	357	-1	21	680	94	125	brut.androlib.res.decoder.ARSCDecoder	0	0	0	18	21	22			147	-1
0	6	305	491	1244	3498.9088511898703	365	-1	44	441	41	32	brut.androlib.res.decoder.StringBlock	0	0	0	17	12	12			44	-1
0	1	34	61	219	328.73337551880655	360	-1	0	73	14	13	brut.androlib.res.decoder.ResAttrDecoder	0	0	0	6	1	4			17	-1
0	3	107	131	1244	933.5174328021853	366	0	11	156	33	46	brut.androlib.res.decoder.XmlPullStreamDecoder	0	0	0	14	4	6			52	0
-1	0	3	14	16	38.816242111356935	363	0	0	26	2	0	brut.androlib.res.decoder.ResStreamDecoder	0	0	0	3	0	1			1	0
0	10	701	685	4912	5822.1139818314805	358	-1	1702	968	188	102	brut.androlib.res.decoder.AXmlResourceParser	0	0	1	14	22	69			171	-1
-1	0	111	145	383	862.4650734311937	381	-1	21	166	31	35	brut.androlib.TestUtils	0	0	0	18	0	7			42	-1
0	2	78	130	494	806.32961723443	1012	-1	33	139	26	27	brut.androlib.BaseTest	0	0	37	15	4	10			37	-1
0	9	371	306	850	2064.042322942215	316	-1	323	464	99	91	brut.androlib.ApkDecoder	0	0	0	20	24	35			126	-1
