COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	1	15	25	60	102.35861405555251	82	0	6	39	6	0	brut.directory.DirectoryException	4	0	2	1	1	4			4	0
0	1	21	42	174	216.68032256701022	302	0	153	54	29	0	brut.directory.Directory	0	0	0	3	1	18			18	0
0	1	14	23	56	92.58308888690844	78	0	6	36	6	0	brut.directory.PathAlreadyExists	4	0	0	0	1	4			4	0
0	1	15	24	60	98.2642694933304	55	0	6	37	6	0	brut.directory.PathNotExist	4	0	0	0	1	4			4	0
0	2	208	171	1262	1221.017470370298	299	-1	378	286	79	68	brut.directory.AbstractDirectory	0	0	2	7	3	28	abstractClass	Template Method	96	-1
0	2	95	111	550	700.4009288831433	304	0	104	154	35	22	brut.directory.ZipRODirectory	9	7	0	9	2	16			38	0
0	1	67	86	386	512.2020137739755	303	0	53	108	28	17	brut.directory.FileDirectory	4	7	0	8	1	11			28	0
-1	0	60	73	434	443.33225098932957	301	-1	15	95	24	23	brut.directory.DirUtil	0	0	0	4	0	6			29	-1
1	2	33	62	194	326.60720586192633	12	1	0	56	7	3	brut.util.Duo	0	0	0	0	2	3			6	1
1	1	15	30	75	129.5246434060893	385	1	0	37	8	3	brut.util.OSDetection	0	0	0	0	1	4			7	1
0	2	49	80	291	453.86586137371944	308	-1	6	82	17	14	brut.util.Jar	0	0	0	7	2	4			18	-1
0	1	112	157	818	1052.9773868466311	309	-1	21	145	26	25	brut.util.OS	0	0	0	5	1	7			32	-1
-1	0	56	87	345	508.38836428172834	305	-1	15	92	18	12	brut.util.BrutIO	0	0	0	6	0	6			18	-1
-1	0	73	138	471	849.3704169742656	307	-1	45	111	37	15	brut.util.ExtDataInput	9	1	0	1	0	10			25	-1
1	1	54	71	254	393.1507329583161	306	7	0	91	44	15	brut.util.DataInputDelegate	0	0	1	2	1	16			31	7
0	3	370	552	2544	4328.504094301928	310	-1	128	569	60	113	brut.apktool.Main	0	0	0	17	9	17			130	-1
0	2	24	58	124	279.57633080509214	985	1	0	66	8	8	brut.androlib.ReferenceVersionCodeTest	0	0	0	11	2	3			11	1
0	2	277	290	1442	2109.3980321750196	380	-1	2302	474	148	93	brut.androlib.BuildAndDecodeTest	0	0	0	16	4	69			162	0
1	1	31	91	243	499.86859134398986	954	1	0	88	11	16	brut.androlib.ProviderAttributeTest	0	0	0	13	1	4			20	1
-1	0	111	138	378	819.0153989955031	381	-1	15	166	26	33	brut.androlib.TestUtils	0	0	0	13	0	6			39	-1
0	2	39	75	190	393.5268054120365	989	1	0	95	10	15	brut.androlib.UnknownCompressionTest	0	0	0	11	4	4			19	1
0	2	39	90	205	479.07089812245675	984	1	0	90	11	14	brut.androlib.DebugTagRetainedTest	0	0	0	13	4	4			18	1
0	2	47	95	297	540.9045531862565	974	1	2	102	15	14	brut.androlib.LargeIntsInManifestTest	0	0	0	14	4	5			19	1
0	2	30	58	136	284.93398337269105	925	0	0	69	7	10	brut.androlib.BuildAndDecodeJarTest	0	0	0	9	4	3			13	0
0	2	25	54	137	265.6789699947187	982	1	0	67	11	9	brut.androlib.AndResGuardTest	0	0	0	8	3	4			13	1
1	1	54	82	311	470.6630187986972	927	2	0	117	13	24	brut.androlib.SharedLibraryTest	0	0	0	12	1	6			30	2
0	2	28	67	161	340.45409245395905	988	1	0	72	10	10	brut.androlib.DoubleExtensionUnknownFileTest	0	0	0	12	2	3			13	1
0	2	24	58	124	279.57633080509214	986	1	0	66	8	8	brut.androlib.MissingVersionManifestTest	0	0	0	11	2	3			11	1
0	9	301	268	622	1724.0279448541	316	-1	267	396	93	91	brut.androlib.ApkDecoder	0	0	0	20	17	31			122	-1
0	8	583	541	4273	4522.798646683418	314	-1	355	766	177	212	brut.androlib.Androlib	0	0	0	26	14	46			258	-1
0	2	65	64	364	377.4178475287514	317	-1	1	92	8	10	brut.androlib.ApktoolProperties	0	0	0	6	2	3			13	-1
-1	0	16	27	57	109.16238423153285	315	0	6	39	4	0	brut.androlib.AndrolibException	4	0	5	1	0	4			4	0
