COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	104	76	635	490.4754999158446	1469	-1	63	176	34	37	org.mockitoutil.SafeJUnitRuleTest	0	0	0	7	2	15			52	-1
-1	0	17	30	92	135.65365731147122	1389	-1	3	31	6	7	org.mockitoutil.VmArgAssumptions	0	0	0	4	0	3			10	0
0	2	82	134	509	835.14803421777	1099	-1	37	133	29	32	org.mockitoutil.SimplePerRealmReloadingClassLoader	0	0	0	6	2	10			42	-1
-1	0	27	62	154	312.291061349645	1521	-1	1	40	6	5	org.mockitoutil.ConcurrentTesting	0	0	0	2	0	2			7	0
-1	0	20	44	118	209.91012347648928	1098	-1	6	38	12	8	org.mockitoutil.SimpleSerializationUtil	0	0	0	2	0	4			12	-1
0	1	391	412	3111	3313.5921927218264	1118	-1	120	549	40	23	org.mockitoutil.ClassLoaders	0	0	0	35	1	16			39	0
0	1	32	79	183	411.5494060744723	1506	0	0	49	14	6	org.mockitoutil.ThrowableAssert	0	0	0	1	1	4			10	0
-1	0	10	21	41	77.98501340079046	1332	0	0	28	1	2	org.mockitoutil.TestBaseTest	1	0	0	2	0	1			3	0
0	3	90	150	601	959.7892401802811	1468	-1	41	115	23	18	org.mockitoutil.SafeJUnitRule	0	0	0	5	3	11			29	-1
0	1	79	121	643	782.4035116327519	1335	-1	72	126	42	52	org.mockitoutil.Conditions	0	0	0	7	1	13			65	0
0	1	52	123	320	709.5034824826339	1317	-1	26	88	22	11	org.mockitoutil.Stopwatch	0	0	0	5	1	8			19	0
-1	0	9	22	42	82.2287316022341	1120	0	0	28	3	4	org.mockitoutil.SimpleClassGenerator	0	0	0	2	0	1			5	0
0	1	101	193	679	1258.4798776188284	1300	-1	0	168	44	45	org.mockitoutil.JUnitResultAssert	0	0	0	6	1	11			56	-1
0	1	158	135	872	914.0565722277122	1119	-1	178	372	53	171	org.mockitoutil.ClassLoadersTest	0	0	0	10	2	20			191	0
-1	0	72	160	407	961.4101096708151	235	-1	78	130	28	26	org.mockitoutil.TestBase	0	0	212	18	0	13			39	0
0	2	21	33	89	148.12500020116062	1596	-1	1	55	3	9	org.mockitoutil.async.AsyncTestingTest	0	0	0	7	2	3			12	0
0	4	57	164	469	1008.6988540251898	1595	1	0	86	16	16	org.mockitoutil.async.AsyncTesting	0	0	0	1	4	3			19	1
0	1	25	52	139	256.592644522796	1648	0	1	65	7	13	org.mockitointegration.NoByteCodeDependenciesTest	0	0	0	6	1	2			15	0
-1	0	21	45	120	215.43712842519207	1240	0	1	68	7	18	org.mockitointegration.NoJUnitDependenciesTest	0	0	0	11	0	2			20	0
-1	0	28	38	132	185.5464730582821	442	-1	3	50	5	9	org.concurrentmockito.VerificationInOrderFromMultipleThreadsTest	3	0	0	5	0	3			12	0
0	1	32	58	233	316.1602303068106	443	0	1	53	12	9	org.concurrentmockito.ThreadVerifiesContinuouslyInteractingMockTest	3	0	0	6	1	3			12	0
0	1	25	47	151	235.81215233030144	380	0	1	42	9	8	org.concurrentmockito.ThreadsShareAMockTest	3	0	0	4	1	3			11	0
0	1	35	53	272	297.1075095136879	385	0	1	62	11	8	org.concurrentmockito.ThreadsShareGenerouslyStubbedMockTest	3	0	0	5	1	3			11	0
