CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	611	org.apache.ibatis.exceptions.GeneralExceptionsTest			false
false	false	false	false	71	org.apache.ibatis.exceptions.ExceptionFactory			false
false	false	false	false	789	org.apache.ibatis.exceptions.PersistenceException			false
false	false	false	false	72	org.apache.ibatis.exceptions.IbatisException			false
false	false	false	false	73	org.apache.ibatis.exceptions.TooManyResultsException			false
false	false	true	false	613	org.apache.ibatis.executor.BatchExecutorTest			false
false	false	false	false	1189	org.apache.ibatis.executor.ResultExtractorTest			false
false	false	false	false	612	org.apache.ibatis.executor.BaseExecutorTest			false
false	false	true	false	616	org.apache.ibatis.executor.CachingSimpleExecutorTest			false
false	false	false	false	617	org.apache.ibatis.executor.ErrorContextTest			false
false	false	false	false	618	org.apache.ibatis.executor.ExecutorTestHelper			false
false	false	true	false	614	org.apache.ibatis.executor.CachingBatchExecutorTest			false
false	false	true	false	615	org.apache.ibatis.executor.CachingReuseExecutorTest			false
false	false	false	false	619	org.apache.ibatis.executor.ReuseExecutorTest			false
false	false	false	false	79	org.apache.ibatis.executor.ErrorContext			false
false	false	false	false	84	org.apache.ibatis.executor.SimpleExecutor			false
false	false	false	false	83	org.apache.ibatis.executor.ReuseExecutor			false
false	false	false	false	75	org.apache.ibatis.executor.BatchExecutor	adapter	(Object)Adapter	false
false	false	false	false	1188	org.apache.ibatis.executor.ResultExtractor			false
false	false	false	false	78	org.apache.ibatis.executor.CachingExecutor	adapter	(Object)Adapter	false
false	false	false	false	77	org.apache.ibatis.executor.BatchResult			false
false	false	false	false	74	org.apache.ibatis.executor.BaseExecutor	abstraction	Bridge	false
false	false	false	false	82	org.apache.ibatis.executor.ExecutorException			false
false	false	false	false	76	org.apache.ibatis.executor.BatchExecutorException			false
false	false	false	false	81	org.apache.ibatis.executor.Executor	creator	Factory Method	false
false	false	false	false	1104	org.apache.ibatis.executor.resultset.DefaultResultSetHandlerTest			false
false	false	false	false	1628	org.apache.ibatis.executor.resultset.DefaultResultSetHandlerTest2			false
false	false	false	false	1300	org.apache.ibatis.executor.resultset.ResultSetWrapper			false
false	false	false	false	98	org.apache.ibatis.executor.resultset.ResultSetHandler	creator	Factory Method	false
false	true	false	true	1299	org.apache.ibatis.executor.resultset.DefaultResultSetHandler	context	State	true
false	false	false	false	1462	org.apache.ibatis.executor.statement.BaseStatementHandlerTest			false
false	false	false	false	101	org.apache.ibatis.executor.statement.PreparedStatementHandler			false
false	false	false	false	100	org.apache.ibatis.executor.statement.CallableStatementHandler			false
false	false	false	false	99	org.apache.ibatis.executor.statement.BaseStatementHandler	abstractClass	Template Method	false
false	false	false	false	103	org.apache.ibatis.executor.statement.SimpleStatementHandler			false
false	false	false	false	104	org.apache.ibatis.executor.statement.StatementHandler	decorated	Decorator	false
false	false	false	false	1463	org.apache.ibatis.executor.statement.StatementUtil			false
false	false	false	false	102	org.apache.ibatis.executor.statement.RoutingStatementHandler	decorator	Decorator	false
false	false	false	false	1171	org.apache.ibatis.executor.loader.JavassistProxyTest			false
false	false	false	false	1170	org.apache.ibatis.executor.loader.CglibProxyTest			false
false	false	false	false	620	org.apache.ibatis.executor.loader.SerializableProxyTest			false
false	false	false	false	89	org.apache.ibatis.executor.loader.ResultLoader	context	State	false
false	false	false	false	1169	org.apache.ibatis.executor.loader.ProxyFactory			false
false	false	false	false	855	org.apache.ibatis.executor.loader.WriteReplaceInterface			false
false	false	false	false	90	org.apache.ibatis.executor.loader.ResultLoaderMap			false
false	false	false	false	91	org.apache.ibatis.executor.loader.CglibProxyFactory			false
false	false	false	false	851	org.apache.ibatis.executor.loader.AbstractSerialStateHolder	abstractClass	Template Method	false
false	false	false	false	1168	org.apache.ibatis.executor.loader.JavassistProxyFactory			false
false	false	false	false	1294	org.apache.ibatis.executor.loader.AbstractEnhancedDeserializationProxy	abstractClass	Template Method	false
false	false	false	false	1627	org.apache.ibatis.cursor.defaults.DefaultCursorTest			false
false	false	false	false	1405	org.apache.ibatis.cursor.defaults.DefaultCursor	adapter	(Object)Adapter	false
false	false	false	false	561	org.apache.ibatis.databases.blog.StoredProcedures			false
false	false	false	false	578	org.apache.ibatis.domain.jpetstore.Order			false
false	false	false	false	576	org.apache.ibatis.domain.jpetstore.Item			false
false	false	false	false	580	org.apache.ibatis.domain.jpetstore.Sequence			false
false	false	false	false	579	org.apache.ibatis.domain.jpetstore.Product			false
false	false	false	false	577	org.apache.ibatis.domain.jpetstore.LineItem			false
false	false	false	false	572	org.apache.ibatis.domain.jpetstore.Account			false
false	false	false	false	573	org.apache.ibatis.domain.jpetstore.Cart			false
false	false	false	false	575	org.apache.ibatis.domain.jpetstore.Category			false
false	false	false	false	574	org.apache.ibatis.domain.jpetstore.CartItem			false
false	false	false	false	565	org.apache.ibatis.domain.blog.DraftPost			false
false	false	false	false	569	org.apache.ibatis.domain.blog.Tag			false
false	false	false	false	931	org.apache.ibatis.domain.blog.ComplexImmutableAuthor			false
false	false	false	false	1306	org.apache.ibatis.domain.blog.BlogLite			false
false	false	false	false	563	org.apache.ibatis.domain.blog.Blog			false
false	false	false	false	944	org.apache.ibatis.domain.blog.PostLiteId			false
false	false	false	false	562	org.apache.ibatis.domain.blog.Author			false
false	false	false	false	566	org.apache.ibatis.domain.blog.ImmutableAuthor			false
false	false	false	false	932	org.apache.ibatis.domain.blog.ComplexImmutableAuthorId			false
false	false	false	false	943	org.apache.ibatis.domain.blog.PostLite			false
false	false	false	false	564	org.apache.ibatis.domain.blog.Comment			false
false	false	false	false	567	org.apache.ibatis.domain.blog.Post			false
false	false	false	false	1482	org.apache.ibatis.domain.blog.mappers.NestedBlogMapper			false
false	false	false	false	896	org.apache.ibatis.domain.blog.mappers.CopyOfAuthorMapper			false
false	false	false	false	571	org.apache.ibatis.domain.blog.mappers.BlogMapper			false
false	false	false	false	895	org.apache.ibatis.domain.blog.mappers.AuthorMapperWithRowBounds			false
false	false	false	false	570	org.apache.ibatis.domain.blog.mappers.AuthorMapper			false
false	false	false	false	894	org.apache.ibatis.domain.blog.mappers.AuthorMapperWithMultipleHandlers			false
false	false	false	false	584	org.apache.ibatis.domain.misc.RichType			false
false	false	false	false	581	org.apache.ibatis.domain.misc.CustomBeanWrapper			false
false	false	false	false	583	org.apache.ibatis.domain.misc.Employee			false
false	false	false	false	582	org.apache.ibatis.domain.misc.CustomBeanWrapperFactory			false
false	false	false	false	588	org.apache.ibatis.domain.misc.generics.GenericSubclass			false
false	false	false	false	587	org.apache.ibatis.domain.misc.generics.GenericInterface			false
false	false	false	false	585	org.apache.ibatis.domain.misc.generics.GenericAbstract			false
false	false	false	false	586	org.apache.ibatis.domain.misc.generics.GenericConcrete			false
false	false	false	false	694	org.apache.ibatis.reflection.MetaObjectTest			false
false	false	false	false	693	org.apache.ibatis.reflection.MetaClassTest			false
false	false	false	false	1440	org.apache.ibatis.reflection.TypeParameterResolverTest			false
false	false	false	false	1559	org.apache.ibatis.reflection.ArrayUtilTest			false
false	false	false	false	1172	org.apache.ibatis.reflection.ReflectorTest			false
false	false	false	false	692	org.apache.ibatis.reflection.ExceptionUtilTest			false
false	false	false	false	1558	org.apache.ibatis.reflection.ArrayUtil			false
false	false	false	false	1537	org.apache.ibatis.reflection.Jdk			false
false	false	false	false	283	org.apache.ibatis.reflection.Reflector			false
false	false	false	false	279	org.apache.ibatis.reflection.ExceptionUtil			false
false	false	false	false	281	org.apache.ibatis.reflection.MetaObject	context	State	false
false	false	false	false	1439	org.apache.ibatis.reflection.TypeParameterResolver			false
false	false	false	false	1399	org.apache.ibatis.reflection.ReflectorFactory			false
false	false	false	false	1485	org.apache.ibatis.reflection.ParamNameResolver			false
false	false	false	false	1173	org.apache.ibatis.reflection.SystemMetaObject			false
false	false	false	false	1398	org.apache.ibatis.reflection.DefaultReflectorFactory			false
false	false	false	false	282	org.apache.ibatis.reflection.ReflectionException			false
false	false	false	false	280	org.apache.ibatis.reflection.MetaClass			false
false	false	false	false	1538	org.apache.ibatis.reflection.ParamNameUtil			false
false	false	false	false	1611	org.apache.ibatis.reflection.OptionalUtil			false
false	false	false	false	1395	org.apache.ibatis.reflection.factory.DefaultObjectFactoryTest			false
false	false	false	false	1396	org.apache.ibatis.reflection.factory.TestClass			false
false	false	false	false	284	org.apache.ibatis.reflection.factory.DefaultObjectFactory			false
false	false	false	false	285	org.apache.ibatis.reflection.factory.ObjectFactory			false
false	false	false	false	1441	org.apache.ibatis.reflection.typeparam.Calculator			false
false	false	false	false	1443	org.apache.ibatis.reflection.typeparam.Level1Mapper			false
false	false	false	false	1444	org.apache.ibatis.reflection.typeparam.Level2Mapper			false
false	false	false	false	1442	org.apache.ibatis.reflection.typeparam.Level0Mapper			false
false	false	false	false	691	org.apache.ibatis.plugin.PluginTest			false
false	false	false	false	275	org.apache.ibatis.plugin.Invocation			false
false	false	false	false	273	org.apache.ibatis.plugin.InterceptorChain			false
false	false	false	false	272	org.apache.ibatis.plugin.Interceptor	state	State	false
false	false	false	false	276	org.apache.ibatis.plugin.Plugin	context	State	false
false	false	false	false	277	org.apache.ibatis.plugin.PluginException			false
false	false	false	false	1470	org.apache.ibatis.type.BlobByteObjectArrayTypeHandlerTest			false
false	false	false	false	783	org.apache.ibatis.type.SqlTimetampTypeHandlerTest			false
false	false	false	false	1469	org.apache.ibatis.type.ArrayTypeHandlerTest			false
false	false	false	false	774	org.apache.ibatis.type.DoubleTypeHandlerTest			false
false	false	false	false	770	org.apache.ibatis.type.ByteTypeHandlerTest			false
false	false	false	false	784	org.apache.ibatis.type.StringTypeHandlerTest			false
false	false	false	false	1586	org.apache.ibatis.type.YearTypeHandlerTest			false
false	false	false	false	1040	org.apache.ibatis.type.CharacterTypeHandlerTest			false
false	false	false	false	777	org.apache.ibatis.type.LongTypeHandlerTest			false
false	false	false	false	1587	org.apache.ibatis.type.ZonedDateTimeTypeHandlerTest			false
false	false	false	false	786	org.apache.ibatis.type.TypeAliasRegistryTest			false
false	false	false	false	778	org.apache.ibatis.type.ObjectTypeHandlerTest			false
false	false	false	false	1583	org.apache.ibatis.type.OffsetDateTimeTypeHandlerTest			false
false	false	false	false	1577	org.apache.ibatis.type.InstantTypeHandlerTest			false
false	false	false	false	780	org.apache.ibatis.type.SimpleTypeRegistryTest			false
false	false	false	false	769	org.apache.ibatis.type.ByteArrayTypeHandlerTest			false
false	false	false	false	782	org.apache.ibatis.type.SqlTimeTypeHandlerTest			false
false	false	false	false	768	org.apache.ibatis.type.BooleanTypeHandlerTest			false
false	false	false	false	1468	org.apache.ibatis.type.NStringTypeHandlerTest			false
false	false	false	false	1580	org.apache.ibatis.type.LocalDateTypeHandlerTest			false
false	false	false	false	1578	org.apache.ibatis.type.JapaneseDateTypeHandlerTest			false
false	false	false	false	1461	org.apache.ibatis.type.ClobReaderTypeHandlerTest			false
false	false	false	false	781	org.apache.ibatis.type.SqlDateTypeHandlerTest			false
false	false	false	false	1579	org.apache.ibatis.type.LocalDateTimeTypeHandlerTest			false
false	false	false	false	787	org.apache.ibatis.type.TypeHandlerRegistryTest			false
false	false	false	false	1413	org.apache.ibatis.type.JdbcTypeTest			false
false	false	false	false	779	org.apache.ibatis.type.ShortTypeHandlerTest			false
false	false	false	false	785	org.apache.ibatis.type.TimeOnlyTypeHandlerTest			false
false	false	false	false	1536	org.apache.ibatis.type.Jsr310TypeHandlerRegistryTest			false
false	false	false	false	1471	org.apache.ibatis.type.ByteObjectArrayTypeHandlerTest			false
false	false	false	false	1581	org.apache.ibatis.type.LocalTimeTypeHandlerTest			false
false	false	false	false	1582	org.apache.ibatis.type.MonthTypeHandlerTest			false
false	false	false	false	1019	org.apache.ibatis.type.EnumOrdinalTypeHandlerTest			false
false	false	false	false	765	org.apache.ibatis.type.BaseTypeHandlerTest			false
false	false	false	false	1467	org.apache.ibatis.type.NClobTypeHandlerTest			false
false	false	false	false	1585	org.apache.ibatis.type.YearMonthTypeHandlerTest			false
false	false	false	false	776	org.apache.ibatis.type.IntegerTypeHandlerTest			false
false	false	false	false	1584	org.apache.ibatis.type.OffsetTimeTypeHandlerTest			false
false	false	false	false	767	org.apache.ibatis.type.BlobTypeHandlerTest			false
false	false	false	false	1147	org.apache.ibatis.type.GenericTypeSupportedInHierarchiesTestCase			false
false	false	false	false	775	org.apache.ibatis.type.FloatTypeHandlerTest			false
false	false	false	false	788	org.apache.ibatis.type.UnknownTypeHandlerTest			false
false	false	false	false	1617	org.apache.ibatis.type.SqlxmlTypeHandlerTest			false
false	false	false	false	1017	org.apache.ibatis.type.EnumTypeHandlerTest			false
false	false	false	false	1201	org.apache.ibatis.type.BigIntegerTypeHandlerTest			false
false	false	false	false	771	org.apache.ibatis.type.ClobTypeHandlerTest			false
false	false	false	false	773	org.apache.ibatis.type.DateTypeHandlerTest			false
false	false	false	false	772	org.apache.ibatis.type.DateOnlyTypeHandlerTest			false
false	false	false	false	1460	org.apache.ibatis.type.BlobInputStreamTypeHandlerTest			false
false	false	false	false	766	org.apache.ibatis.type.BigDecimalTypeHandlerTest			false
