COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	34	62	181	322.30681593848124	611	0	4	94	10	10	org.apache.ibatis.exceptions.GeneralExceptionsTest	0	0	0	17	2	4			14	0
-1	0	10	26	34	91.6853736400202	71	0	1	33	3	4	org.apache.ibatis.exceptions.ExceptionFactory	0	0	0	1	0	2			6	0
0	1	18	32	67	134.5501638205109	789	0	6	41	4	0	org.apache.ibatis.exceptions.PersistenceException	4	0	15	0	1	4			4	0
0	1	18	32	67	134.5501638205109	72	0	6	42	4	0	org.apache.ibatis.exceptions.IbatisException	0	0	1	0	1	4			4	0
0	1	18	32	66	134.0689517448456	73	0	6	40	4	0	org.apache.ibatis.exceptions.TooManyResultsException	4	0	0	0	1	4			4	0
-1	0	7	21	29	70.71321242971595	613	0	1	31	3	0	org.apache.ibatis.executor.BatchExecutorTest	1	1	0	2	0	2			2	0
0	3	48	67	225	362.8787269476961	1189	3	0	100	10	33	org.apache.ibatis.executor.ResultExtractorTest	0	0	0	11	3	7			40	3
0	2	383	214	2335	1659.7341744020416	612	9	0	468	55	232	org.apache.ibatis.executor.BaseExecutorTest	21	0	5	21	2	21			253	9
-1	0	7	22	30	74.82634239656743	616	0	1	32	3	0	org.apache.ibatis.executor.CachingSimpleExecutorTest	1	1	0	2	0	2			2	0
-1	0	20	37	110	173.91777353431942	617	0	0	47	2	9	org.apache.ibatis.executor.ErrorContextTest	0	0	0	1	0	1			10	0
0	1	519	262	3413	2131.460900613557	618	-1	81	673	39	160	org.apache.ibatis.executor.ExecutorTestHelper	0	0	0	36	1	19			179	2
-1	0	7	22	30	74.82634239656743	614	0	1	32	3	0	org.apache.ibatis.executor.CachingBatchExecutorTest	1	1	0	2	0	2			2	0
-1	0	7	22	30	74.82634239656743	615	0	1	32	3	0	org.apache.ibatis.executor.CachingReuseExecutorTest	1	1	0	2	0	2			2	0
-1	0	10	25	44	94.60474084795652	619	0	3	37	5	0	org.apache.ibatis.executor.ReuseExecutorTest	1	2	0	2	0	3			3	0
0	3	104	113	522	707.1164374307382	79	1	28	150	27	11	org.apache.ibatis.executor.ErrorContext	0	0	0	0	9	12			23	1
-1	0	48	73	274	409.75835176632916	84	-1	15	90	16	22	org.apache.ibatis.executor.SimpleExecutor	2	4	0	14	0	6			28	0
0	1	64	106	363	624.8067004320742	83	-1	24	112	26	36	org.apache.ibatis.executor.ReuseExecutor	5	4	0	16	1	9			45	0
0	5	109	169	829	1135.717206217865	75	-1	8	161	20	54	org.apache.ibatis.executor.BatchExecutor	1	4	0	18	5	5	adapter	(Object)Adapter	59	0
1	2	44	79	295	449.2710531508458	1188	0	0	65	8	14	org.apache.ibatis.executor.ResultExtractor	0	0	0	5	2	2			16	0
0	2	107	162	696	1060.3466449741761	78	-1	0	176	46	34	org.apache.ibatis.executor.CachingExecutor	0	0	0	15	2	18	adapter	(Object)Adapter	52	-1
0	4	40	51	161	259.1516226142076	77	-1	12	75	14	3	org.apache.ibatis.executor.BatchResult	0	0	0	3	4	9			12	-1
0	8	285	311	1929	2352.6394310136816	74	-1	131	389	83	79	org.apache.ibatis.executor.BaseExecutor	0	0	3	26	9	26	abstraction	Bridge	105	-1
0	1	18	32	66	134.0689517448456	82	0	6	43	4	0	org.apache.ibatis.executor.ExecutorException	4	0	1	1	1	4			4	0
0	4	28	76	159	385.23671936873757	76	1	0	88	9	3	org.apache.ibatis.executor.BatchExecutorException	5	0	0	2	4	5			8	1
0	1	21	64	169	328.3135177550767	81	0	105	67	23	0	org.apache.ibatis.executor.Executor	0	0	0	10	1	15	creator	Factory Method	15	0
0	5	72	132	376	782.7057669274661	1104	-1	3	148	8	43	org.apache.ibatis.executor.resultset.DefaultResultSetHandlerTest	0	0	0	34	5	3			46	-1
0	6	137	204	904	1388.593189520004	1300	-1	26	190	43	38	org.apache.ibatis.executor.resultset.ResultSetWrapper	0	0	0	19	8	12			50	1
-1	0	8	25	37	90.27294781610561	98	0	3	36	6	0	org.apache.ibatis.executor.resultset.ResultSetHandler	0	0	0	5	0	3	creator	Factory Method	3	0
0	1	27	38	117	180.96260952231475	1549	-1	0	52	6	4	org.apache.ibatis.executor.resultset.PrimitiveTypes	0	0	0	2	2	4			8	0
0	18	959	907	7462	8088.243929679461	1299	-1	1165	1153	294	424	org.apache.ibatis.executor.resultset.DefaultResultSetHandler	0	0	0	44	19	63	context	State	487	2
0	3	66	55	296	312.9697699878233	1462	5	0	144	30	57	org.apache.ibatis.executor.statement.BaseStatementHandlerTest	0	0	0	13	3	11			68	5
-1	0	52	82	294	466.05354092177186	101	-1	21	96	19	17	org.apache.ibatis.executor.statement.PreparedStatementHandler	6	1	0	14	0	7			24	0
-1	0	73	127	504	790.2671860450638	100	-1	28	120	25	28	org.apache.ibatis.executor.statement.CallableStatementHandler	7	1	0	17	0	8			36	0
0	9	93	132	515	824.2300308876132	99	0	16	145	25	27	org.apache.ibatis.executor.statement.BaseStatementHandler	0	0	3	16	9	9	abstractClass	Template Method	36	0
-1	0	53	75	294	426.26848255040113	103	-1	21	98	21	17	org.apache.ibatis.executor.statement.SimpleStatementHandler	6	1	0	14	0	7			24	0
-1	0	13	37	76	160.23713359059425	104	0	28	55	14	0	org.apache.ibatis.executor.statement.StatementHandler	0	0	0	8	0	8	decorated	Decorator	8	0
-1	0	31	80	181	415.8797625012661	1463	0	1	58	6	1	org.apache.ibatis.executor.statement.StatementUtil	0	0	0	2	0	2			3	0
1	1	45	78	122	374.713641489194	102	4	0	96	24	9	org.apache.ibatis.executor.statement.RoutingStatementHandler	0	0	0	12	1	9	decorator	Decorator	18	4
-1	0	28	48	143	238.21654225247553	1171	-1	10	73	9	18	org.apache.ibatis.executor.loader.JavassistProxyTest	5	0	0	13	0	5			23	0
-1	0	28	48	143	238.21654225247553	1170	-1	10	73	9	18	org.apache.ibatis.executor.loader.CglibProxyTest	5	0	0	13	0	5			23	0
0	2	150	159	880	1078.007583288088	620	5	0	220	34	59	org.apache.ibatis.executor.loader.SerializableProxyTest	0	0	2	17	2	13			72	5
0	11	64	108	345	631.1027970393869	89	0	2	107	14	16	org.apache.ibatis.executor.loader.ResultLoader	0	0	0	16	12	5	context	State	21	0
-1	0	7	28	37	101.10570155403828	1169	0	1	33	2	0	org.apache.ibatis.executor.loader.ProxyFactory	0	0	0	4	0	2			2	0
-1	0	6	16	16	44.3614195558365	855	0	0	27	2	0	org.apache.ibatis.executor.loader.WriteReplaceInterface	0	0	0	1	0	1			1	0
0	1	208	322	1737	2402.0925547296356	90	3	0	316	25	20	org.apache.ibatis.executor.loader.ResultLoaderMap	0	0	0	24	1	9			29	3
-1	0	5	13	13	33.34434164699998	91	-1	0	24	0	0	org.apache.ibatis.executor.loader.CglibProxyFactory	0	0	0	0	0	0			0	-1
0	8	76	135	433	819.5495932803361	851	0	0	132	16	15	org.apache.ibatis.executor.loader.AbstractSerialStateHolder	0	0	2	16	8	6	abstractClass	Template Method	21	0
-1	0	5	14	14	36.94680261461362	1168	-1	0	24	0	0	org.apache.ibatis.executor.loader.JavassistProxyFactory	0	0	0	0	0	0			0	-1
0	8	67	116	585	739.1069742788953	1294	0	0	106	9	13	org.apache.ibatis.executor.loader.AbstractEnhancedDeserializationProxy	0	0	0	9	9	3	abstractClass	Template Method	16	0
-1	0	40	69	252	381.5306070382882	561	-1	3	60	6	18	org.apache.ibatis.databases.blog.StoredProcedures	0	0	0	1	0	3			21	0
0	6	231	208	947	1425.4862113827044	578	-1	1432	325	85	17	org.apache.ibatis.domain.jpetstore.Order	0	0	0	6	28	57			74	-1
0	5	97	93	394	555.8006345647078	576	-1	325	148	41	3	org.apache.ibatis.domain.jpetstore.Item	0	0	0	2	14	27			30	-1
0	3	23	31	92	140.17544588852024	580	1	3	51	8	0	org.apache.ibatis.domain.jpetstore.Sequence	0	0	0	1	3	6			6	1
