COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	34	62	181	322.30681593848124	611	0	4	94	10	10	org.apache.ibatis.exceptions.GeneralExceptionsTest	0	0	0	17	2	4			14	0
-1	0	10	26	34	91.6853736400202	71	0	1	33	3	4	org.apache.ibatis.exceptions.ExceptionFactory	0	0	0	1	0	2			6	0
0	1	18	32	67	134.5501638205109	789	0	6	41	4	0	org.apache.ibatis.exceptions.PersistenceException	4	0	15	0	1	4			4	0
0	1	18	32	67	134.5501638205109	72	0	6	42	4	0	org.apache.ibatis.exceptions.IbatisException	0	0	1	0	1	4			4	0
0	1	18	32	66	134.0689517448456	73	0	6	40	4	0	org.apache.ibatis.exceptions.TooManyResultsException	4	0	0	0	1	4			4	0
-1	0	7	21	29	70.71321242971595	613	0	1	31	3	0	org.apache.ibatis.executor.BatchExecutorTest	1	1	0	2	0	2			2	0
0	3	48	67	224	362.5802854742877	1189	-1	0	109	10	31	org.apache.ibatis.executor.ResultExtractorTest	0	0	0	18	3	7			38	2
0	2	383	214	2335	1659.7341744020416	612	9	0	468	55	232	org.apache.ibatis.executor.BaseExecutorTest	21	0	5	21	2	21			253	9
-1	0	7	22	30	74.82634239656743	616	0	1	32	3	0	org.apache.ibatis.executor.CachingSimpleExecutorTest	1	1	0	2	0	2			2	0
-1	0	28	47	147	234.5503315786006	617	-1	1	58	5	13	org.apache.ibatis.executor.ErrorContextTest	0	0	0	2	0	2			15	0
0	1	519	262	3413	2131.460900613557	618	-1	81	673	39	160	org.apache.ibatis.executor.ExecutorTestHelper	0	0	0	36	1	19			179	2
-1	0	7	22	30	74.82634239656743	614	0	1	32	3	0	org.apache.ibatis.executor.CachingBatchExecutorTest	1	1	0	2	0	2			2	0
-1	0	7	22	30	74.82634239656743	615	0	1	32	3	0	org.apache.ibatis.executor.CachingReuseExecutorTest	1	1	0	2	0	2			2	0
-1	0	10	25	44	94.60474084795652	619	0	3	37	5	0	org.apache.ibatis.executor.ReuseExecutorTest	1	2	0	2	0	3			3	0
0	3	105	113	527	708.193661985174	79	1	28	151	27	11	org.apache.ibatis.executor.ErrorContext	0	0	0	0	9	12			23	1
-1	0	49	74	275	415.6410612273263	84	-1	15	91	15	23	org.apache.ibatis.executor.SimpleExecutor	2	4	0	14	0	6			29	0
0	1	64	106	360	623.9270273337165	83	-1	24	112	25	36	org.apache.ibatis.executor.ReuseExecutor	5	4	0	16	1	9			45	0
0	5	111	169	842	1138.3468224069532	75	-1	8	163	20	55	org.apache.ibatis.executor.BatchExecutor	1	4	0	18	5	5	adapter	(Object)Adapter	60	0
1	2	44	79	295	449.2710531508458	1188	0	0	65	8	14	org.apache.ibatis.executor.ResultExtractor	0	0	0	5	2	2			16	0
0	2	107	162	693	1059.6468598687643	78	-1	0	176	46	34	org.apache.ibatis.executor.CachingExecutor	0	0	0	15	2	18	adapter	(Object)Adapter	52	-1
0	4	40	51	161	259.1516226142076	77	-1	12	75	14	3	org.apache.ibatis.executor.BatchResult	0	0	0	3	4	9			12	-1
0	8	285	311	1929	2352.6394310136816	74	-1	131	389	83	79	org.apache.ibatis.executor.BaseExecutor	0	0	3	26	9	26	abstraction	Bridge	105	-1
0	1	18	32	66	134.0689517448456	82	0	6	43	4	0	org.apache.ibatis.executor.ExecutorException	4	0	1	1	1	4			4	0
0	4	44	127	292	720.9477328880718	76	1	0	88	11	3	org.apache.ibatis.executor.BatchExecutorException	5	0	0	2	4	5			8	1
0	1	21	64	169	328.3135177550767	81	0	105	67	23	0	org.apache.ibatis.executor.Executor	0	0	0	10	1	15	creator	Factory Method	15	0
0	5	71	130	372	769.456201055509	1104	-1	3	147	8	42	org.apache.ibatis.executor.resultset.DefaultResultSetHandlerTest	0	0	0	34	5	3			45	-1
0	5	115	136	684	887.8022767966668	1628	0	0	211	4	38	org.apache.ibatis.executor.resultset.DefaultResultSetHandlerTest2	0	0	0	30	5	2			40	0
0	6	140	203	915	1384.2415852509307	1300	-1	34	194	45	38	org.apache.ibatis.executor.resultset.ResultSetWrapper	0	0	0	19	8	13			51	1
-1	0	8	25	37	90.27294781610561	98	0	3	36	6	0	org.apache.ibatis.executor.resultset.ResultSetHandler	0	0	0	5	0	3	creator	Factory Method	3	0
0	17	948	882	7383	7855.916969050184	1299	-1	1095	1143	289	423	org.apache.ibatis.executor.resultset.DefaultResultSetHandler	0	0	0	45	18	62	context	State	485	2
0	3	66	55	296	312.9697699878233	1462	5	0	148	30	57	org.apache.ibatis.executor.statement.BaseStatementHandlerTest	0	0	0	17	3	11			68	5
-1	0	52	82	294	466.05354092177186	101	-1	21	97	19	17	org.apache.ibatis.executor.statement.PreparedStatementHandler	6	1	0	15	0	7			24	0
-1	0	73	128	504	796.4897623131352	100	-1	28	121	25	28	org.apache.ibatis.executor.statement.CallableStatementHandler	7	1	0	18	0	8			36	0
0	9	93	132	515	824.2300308876132	99	0	16	145	25	27	org.apache.ibatis.executor.statement.BaseStatementHandler	0	0	3	16	9	9	abstractClass	Template Method	36	0
-1	0	53	76	291	431.17256830503345	103	-1	21	99	20	17	org.apache.ibatis.executor.statement.SimpleStatementHandler	6	1	0	15	0	7			24	0
-1	0	13	37	76	160.23713359059425	104	0	28	55	14	0	org.apache.ibatis.executor.statement.StatementHandler	0	0	0	8	0	8	decorated	Decorator	8	0
-1	0	31	80	181	415.8797625012661	1463	0	1	58	6	1	org.apache.ibatis.executor.statement.StatementUtil	0	0	0	2	0	2			3	0
1	1	45	78	122	374.713641489194	102	4	0	96	24	9	org.apache.ibatis.executor.statement.RoutingStatementHandler	0	0	0	12	1	9	decorator	Decorator	18	4
-1	0	28	47	143	233.25369762221564	1171	-1	10	76	9	18	org.apache.ibatis.executor.loader.JavassistProxyTest	5	0	0	14	0	5			23	0
-1	0	28	47	143	233.25369762221564	1170	-1	10	76	9	18	org.apache.ibatis.executor.loader.CglibProxyTest	5	0	0	14	0	5			23	0
0	2	147	152	879	1030.3753044481468	620	5	0	224	34	57	org.apache.ibatis.executor.loader.SerializableProxyTest	0	0	2	18	2	13			70	5
0	11	64	108	345	631.1027970393869	89	0	2	107	14	16	org.apache.ibatis.executor.loader.ResultLoader	0	0	0	16	12	5	context	State	21	0
-1	0	7	28	37	101.10570155403828	1169	0	1	33	2	0	org.apache.ibatis.executor.loader.ProxyFactory	0	0	0	4	0	2			2	0
-1	0	6	16	16	44.3614195558365	855	0	0	27	2	0	org.apache.ibatis.executor.loader.WriteReplaceInterface	0	0	0	1	0	1			1	0
0	1	208	322	1737	2402.0925547296356	90	3	0	316	25	20	org.apache.ibatis.executor.loader.ResultLoaderMap	0	0	0	24	1	9			29	3
-1	0	5	13	13	33.34434164699998	91	-1	0	24	0	0	org.apache.ibatis.executor.loader.CglibProxyFactory	0	0	0	0	0	0			0	-1
0	8	88	176	550	1110.5456169678669	851	0	0	162	16	15	org.apache.ibatis.executor.loader.AbstractSerialStateHolder	0	0	2	18	8	6	abstractClass	Template Method	21	0
-1	0	5	14	14	36.94680261461362	1168	-1	0	24	0	0	org.apache.ibatis.executor.loader.JavassistProxyFactory	0	0	0	0	0	0			0	-1
0	8	67	116	585	739.1069742788953	1294	0	0	106	9	13	org.apache.ibatis.executor.loader.AbstractEnhancedDeserializationProxy	0	0	0	9	9	3	abstractClass	Template Method	16	0
0	2	98	139	598	888.7091147991378	1627	0	1	195	4	29	org.apache.ibatis.cursor.defaults.DefaultCursorTest	0	0	0	33	2	2			31	0
0	10	137	195	782	1299.0616744063357	1405	-1	5	221	28	14	org.apache.ibatis.cursor.defaults.DefaultCursor	0	0	0	11	10	10	adapter	(Object)Adapter	24	1
-1	0	36	67	272	375.5887384418318	561	-1	3	57	6	15	org.apache.ibatis.databases.blog.StoredProcedures	0	0	0	1	0	3			18	0
0	6	231	208	947	1425.4862113827044	578	-1	1432	322	85	17	org.apache.ibatis.domain.jpetstore.Order	0	0	0	6	28	57			74	-1
