COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	53	61	221	329.2879247925829	189	2	0	105	10	47	jadx.gui.treemodel.JSourcesTest	0	0	0	17	2	7			54	2
0	3	36	47	148	234.86897686691339	1087	1	9	62	19	5	jadx.gui.treemodel.JVariable	2	8	0	3	3	10	adapter	(Object)Adapter	15	1
0	2	66	80	286	452.4793448655882	168	-1	171	109	38	10	jadx.gui.treemodel.JNode	0	0	14	10	2	19	abstractClass	Template Method	29	-1
0	10	248	287	840	1932.4863429573222	448	-1	123	347	62	49	jadx.gui.treemodel.JResource	22	1	0	23	20	23	realsubject	Proxy	72	-1
0	4	155	164	815	1099.3228505715015	167	-1	0	218	53	42	jadx.gui.treemodel.JClass	24	1	0	17	12	25	realsubject	Proxy	67	-1
0	1	4	15	18	43.35557636844247	579	0	0	7	1	0	jadx.gui.treemodel.JLoadableNode	1	0	2	0	1	1			1	0
0	4	73	85	348	497.43721078083036	527	-1	0	113	34	13	jadx.gui.treemodel.CodeNode	3	13	0	3	4	16	decorator	Decorator	29	-1
0	5	170	181	1291	1296.5342027432423	649	0	34	231	25	46	jadx.gui.treemodel.ApkSignature	4	5	0	23	5	9			55	0
0	5	141	150	719	986.679203658157	176	-1	63	206	50	52	jadx.gui.treemodel.JMethod	7	15	0	13	11	22	adapter	(Object)Adapter	74	-1
0	4	98	145	646	938.2659280484772	449	0	9	135	20	38	jadx.gui.treemodel.JSources	4	3	0	13	4	7			45	0
0	6	99	110	505	684.7014272202896	169	-1	119	150	38	20	jadx.gui.treemodel.JPackage	16	6	0	9	7	22			42	-1
0	2	16	27	65	112.70845628718219	223	0	4	29	7	0	jadx.gui.treemodel.TextNode	1	3	0	1	2	4			4	0
0	5	70	91	328	527.1642383629571	175	-1	37	125	37	25	jadx.gui.treemodel.JField	5	13	0	11	8	18	adapter	(Object)Adapter	43	-1
0	5	122	156	743	1031.2685829759705	170	-1	58	163	37	38	jadx.gui.treemodel.JRoot	9	4	0	14	5	13	adapter	(Object)Adapter	51	-1
0	4	38	48	162	244.20462409115441	1088	-1	7	61	19	6	jadx.gui.treemodel.JResSearchNode	2	8	0	2	4	10	proxy	Proxy	16	-1
0	3	49	100	311	573.9792912179234	730	1	9	111	16	27	jadx.gui.TestI18n	0	0	0	17	4	6			33	1
1	1	29	49	169	251.3650370312306	162	0	0	52	6	17	jadx.gui.JadxGUI	0	0	0	12	1	2			19	0
