CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	135	jadx.samples.TestEnum			false
false	false	false	false	146	jadx.samples.TestGenerics			false
false	false	false	false	204	jadx.samples.TestAnnotationsParser			false
false	false	false	false	131	jadx.samples.TestCF			false
false	false	false	false	215	jadx.samples.TestCF4			false
false	false	false	false	136	jadx.samples.TestFields			false
false	false	false	false	128	jadx.samples.RunTests			false
false	false	false	false	154	jadx.samples.TestConditions			false
false	false	false	false	243	jadx.samples.TestImports			false
false	false	false	false	373	jadx.samples.TestInitializers			false
false	false	false	false	138	jadx.samples.TestInvoke			false
false	false	false	false	134	jadx.samples.TestDeadCode			false
false	false	false	false	133	jadx.samples.TestCF3			false
false	false	false	false	140	jadx.samples.TestSwitch			false
false	false	false	false	248	jadx.samples.TestImports2			false
false	false	false	false	199	jadx.samples.TestInnerNames			false
false	false	false	false	187	jadx.samples.TestTypeResolver2			false
false	false	false	false	139	jadx.samples.TestStringProcessing			false
false	false	false	false	374	jadx.samples.TestInner3			false
false	false	false	false	129	jadx.samples.TestAnnotations			false
false	false	false	false	149	jadx.samples.TestInner2			false
false	false	false	false	130	jadx.samples.TestArrays			false
false	false	false	false	132	jadx.samples.TestCF2			false
false	false	false	false	141	jadx.samples.TestTryCatch			false
false	false	false	false	127	jadx.samples.AbstractTest			false
false	false	false	false	137	jadx.samples.TestInner			false
false	false	false	false	142	jadx.samples.TestTypeResolver			false
false	false	false	false	250	jadx.samples.otherpkg.D			false
false	false	false	false	244	jadx.samples.otherpkg.A			false
false	false	false	false	249	jadx.samples.otherpkg.C			false
false	false	false	false	189	jadx.gui.treemodel.JSourcesTest			false
false	false	false	false	168	jadx.gui.treemodel.JNode	abstractClass	Template Method	false
false	false	false	false	448	jadx.gui.treemodel.JResource	adapter	(Object)Adapter	false
false	false	false	false	167	jadx.gui.treemodel.JClass	adapter	(Object)Adapter	false
false	false	false	false	176	jadx.gui.treemodel.JMethod	adapter	(Object)Adapter	false
false	false	false	false	449	jadx.gui.treemodel.JSources			false
false	false	false	false	169	jadx.gui.treemodel.JPackage			false
false	false	false	false	223	jadx.gui.treemodel.TextNode			false
