CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	1462	jadx.gui.device.debugger.smali.DbgSmaliTest			false
false	false	false	false	1141	jadx.gui.device.debugger.smali.SmaliMethodNode			false
false	false	false	true	1140	jadx.gui.device.debugger.smali.Smali	context	State	true
false	false	false	false	1143	jadx.gui.device.debugger.smali.SmaliWriter			false
false	false	false	false	1139	jadx.gui.device.debugger.smali.RegisterInfo			false
false	false	false	false	1142	jadx.gui.device.debugger.smali.SmaliRegister			false
false	false	false	false	189	jadx.gui.treemodel.JSourcesTest			false
false	false	false	false	1087	jadx.gui.treemodel.JVariable	adapter	(Object)Adapter	false
false	false	false	false	168	jadx.gui.treemodel.JNode	abstractClass	Template Method	false
false	false	false	false	448	jadx.gui.treemodel.JResource	realsubject	Proxy	false
false	false	false	false	167	jadx.gui.treemodel.JClass	realsubject	Proxy	false
false	false	false	false	579	jadx.gui.treemodel.JLoadableNode			false
false	false	false	false	527	jadx.gui.treemodel.CodeNode	decorator	Decorator	false
false	false	false	false	649	jadx.gui.treemodel.ApkSignature			false
false	false	false	false	176	jadx.gui.treemodel.JMethod	adapter	(Object)Adapter	false
false	false	false	false	449	jadx.gui.treemodel.JSources			false
false	false	false	false	169	jadx.gui.treemodel.JPackage			false
false	false	false	false	223	jadx.gui.treemodel.TextNode			false
false	false	false	false	175	jadx.gui.treemodel.JField	adapter	(Object)Adapter	false
false	false	false	false	170	jadx.gui.treemodel.JRoot	adapter	(Object)Adapter	false
false	false	false	false	1088	jadx.gui.treemodel.JResSearchNode	proxy	Proxy	false
false	false	false	false	730	jadx.gui.TestI18n			false
false	false	false	false	162	jadx.gui.JadxGUI			false
false	false	false	false	163	jadx.gui.JadxWrapper	adaptee	(Object)Adapter	false
false	false	false	false	1443	jadx.gui.utils.codecache.DiskCodeCacheTest			false
false	false	false	false	1428	jadx.gui.utils.codecache.FixedCodeCache			false
false	false	false	false	1427	jadx.gui.utils.codecache.CodeStringCache			false
false	false	false	false	1445	jadx.gui.utils.codecache.disk.adapters.DataAdapterHelperTest			false
false	false	false	false	1438	jadx.gui.utils.codecache.disk.adapters.InsnCodeOffsetAdapter	singleton	Singleton	false
false	false	false	false	1465	jadx.gui.utils.codecache.disk.adapters.NodeEndAdapter			false
false	false	false	false	1432	jadx.gui.utils.codecache.disk.adapters.ArgTypeAdapter	singleton	Singleton	false
false	false	false	false	1435	jadx.gui.utils.codecache.disk.adapters.CodeAnnotationAdapter			false
false	false	false	false	1442	jadx.gui.utils.codecache.disk.adapters.VarRefAdapter	singleton	Singleton	false
false	false	false	false	1440	jadx.gui.utils.codecache.disk.adapters.NodeDeclareRefAdapter			false
false	false	false	false	1437	jadx.gui.utils.codecache.disk.adapters.FieldNodeAdapter			false
false	false	false	false	1434	jadx.gui.utils.codecache.disk.adapters.ClassNodeAdapter			false
false	false	false	false	1441	jadx.gui.utils.codecache.disk.adapters.VarNodeAdapter			false
false	false	false	false	1444	jadx.gui.utils.codecache.disk.adapters.DataAdapterHelper			false
false	false	false	false	1436	jadx.gui.utils.codecache.disk.adapters.DataAdapter			false
false	false	false	false	1439	jadx.gui.utils.codecache.disk.adapters.MethodNodeAdapter			false
false	false	false	false	721	jadx.gui.utils.JumpManagerTest			false
false	false	false	false	596	jadx.gui.utils.CertificateManagerTest			false
false	false	false	false	1314	jadx.gui.utils.RelativePathTypeAdapter			false
false	false	false	false	542	jadx.gui.utils.JNodeCache			false
false	false	false	false	764	jadx.gui.utils.FontUtils			false
false	false	false	false	513	jadx.gui.utils.TextStandardActions			false
false	false	false	false	1174	jadx.gui.utils.LafManager			false
false	false	false	false	385	jadx.gui.utils.Link			false
false	false	false	false	1475	jadx.gui.utils.Icons			false
false	false	false	false	862	jadx.gui.utils.SystemInfo			false
false	false	false	false	736	jadx.gui.utils.PathTypeAdapter			false
false	false	false	false	1121	jadx.gui.utils.CaretPositionFix	context	State	false
false	false	false	false	1122	jadx.gui.utils.DefaultPopupMenuListener			false
false	false	false	false	1481	jadx.gui.utils.ILoadListener			false
false	false	false	false	171	jadx.gui.utils.NLS			false
false	false	false	false	766	jadx.gui.utils.RectangleTypeAdapter			false
false	false	false	false	528	jadx.gui.utils.CacheObject			false
false	false	false	false	166	jadx.gui.utils.UiUtils			false
false	false	false	false	305	jadx.gui.utils.JumpManager			false
false	false	false	false	1382	jadx.gui.utils.IOUtils			false
false	false	false	false	306	jadx.gui.utils.JumpPosition			false
false	false	false	false	1150	jadx.gui.utils.ObjectPool			false
false	false	false	false	600	jadx.gui.utils.LangLocale			false
false	false	false	false	178	jadx.gui.utils.OverlayIcon			false
false	false	false	false	595	jadx.gui.utils.CertificateManager			false
false	false	false	false	720	jadx.gui.update.VersionComparatorTest			false
false	false	false	false	382	jadx.gui.update.VersionComparator			false
false	false	false	false	381	jadx.gui.update.JadxUpdate			false
false	false	false	false	188	jadx.api.Factory			false
false	false	false	false	576	jadx.api.JadxArgsValidatorOutDirsTest			false
false	false	false	false	577	jadx.api.JadxDecompilerTest			false
false	false	false	false	388	jadx.api.JadxInternalAccess			false
false	false	false	false	1342	jadx.api.JadxDecompilerTestUtils			false
false	false	false	false	575	jadx.api.JadxArgsValidator			false
false	false	false	false	158	jadx.api.JavaPackage			false
false	false	false	false	1094	jadx.api.ICodeWriter	creator	Factory Method	false
false	false	false	false	821	jadx.api.ICodeInfo	state	State	false
false	false	false	false	552	jadx.api.ResourceFileContent			false
false	false	false	false	156	jadx.api.JadxDecompiler	context	State	false
false	false	false	false	1301	jadx.api.IDecompileScheduler	state	State	false
false	false	false	false	833	jadx.api.ICodeCache	decorated	Decorator	false
false	false	false	false	1084	jadx.api.JavaVariable	adapter	(Object)Adapter	false
false	false	false	false	445	jadx.api.ResourceFile			false
false	false	false	false	173	jadx.api.JavaMethod	adaptee	(Object)Adapter	false
false	false	false	false	157	jadx.api.JavaClass	adapter	(Object)Adapter	false
false	false	false	false	172	jadx.api.JavaField	adaptee	(Object)Adapter	false
false	false	false	false	317	jadx.api.JavaNode			false
false	false	false	false	447	jadx.api.ResourcesLoader			false
false	false	false	false	550	jadx.api.JadxArgs			false
false	false	false	false	1381	jadx.gui.device.protocol.ADBDeviceInfo			false
false	false	false	false	1380	jadx.gui.device.protocol.ADBDevice			false
false	false	false	false	1144	jadx.gui.device.protocol.ADB			false
false	false	false	false	1132	jadx.gui.device.debugger.ArtAdapter			false
false	false	false	false	1378	jadx.gui.device.debugger.SmaliDebuggerException			false
false	false	false	false	1376	jadx.gui.device.debugger.EventListenerAdapter			false
false	false	false	false	1379	jadx.gui.device.debugger.SuspendInfo			false
false	false	false	false	1134	jadx.gui.device.debugger.DbgUtils			false
false	false	false	false	1133	jadx.gui.device.debugger.BreakpointManager			false
false	false	false	false	1136	jadx.gui.device.debugger.RegisterObserver			false
false	true	false	true	1137	jadx.gui.device.debugger.SmaliDebugger	adaptee	(Object)Adapter	true
false	false	false	true	1135	jadx.gui.device.debugger.DebugController	adapter	(Object)Adapter	true
false	false	false	false	1410	jadx.gui.jobs.Cancelable			false
false	false	false	false	1413	jadx.gui.jobs.SimpleTask			false
false	false	false	false	1154	jadx.gui.jobs.DecompileTask			false
false	false	false	false	1412	jadx.gui.jobs.ITaskProgress			false
false	false	false	false	864	jadx.gui.jobs.IBackgroundTask			false
false	false	false	false	1334	jadx.gui.jobs.ITaskInfo			false
false	false	false	false	1414	jadx.gui.jobs.TaskProgress			false
false	false	false	false	863	jadx.gui.jobs.BackgroundExecutor			false
false	false	false	false	1411	jadx.gui.jobs.CancelableBackgroundTask			false
false	false	false	false	1336	jadx.gui.jobs.ProcessResult			false
false	false	false	false	1156	jadx.gui.jobs.ExportTask			false
false	false	false	false	1365	jadx.gui.ui.ExceptionDialog			false
false	false	false	false	264	jadx.gui.ui.TabbedPane			false
false	true	false	true	164	jadx.gui.ui.MainWindow			true
false	false	false	false	839	jadx.gui.ui.TabComponent			false
false	false	false	false	645	jadx.gui.ui.HeapUsageBar			false
false	false	false	false	530	jadx.gui.ui.MainDropTarget			false
false	false	false	false	564	jadx.gui.ui.panel.ImagePanel			false
false	false	false	false	1146	jadx.gui.ui.panel.IDebugController	state	State	false
false	false	false	false	1298	jadx.gui.ui.panel.IViewStateSupport			false
false	false	false	false	650	jadx.gui.ui.panel.HtmlPanel			false
false	false	false	false	1147	jadx.gui.ui.panel.JDebuggerPanel	context	State	false
false	false	false	false	536	jadx.gui.ui.panel.ProgressPanel			false
false	false	false	false	263	jadx.gui.ui.panel.ContentPanel			false
false	false	false	false	1277	jadx.gui.ui.panel.IssuesPanel			false
false	false	false	false	1473	jadx.gui.ui.panel.StartPagePanel			false
false	false	false	false	856	jadx.gui.ui.dialog.RenameDialog	context	State	false
false	false	false	false	1396	jadx.gui.ui.dialog.FileDialog			false
false	false	false	false	319	jadx.gui.ui.dialog.SearchDialog			false
false	false	false	true	1145	jadx.gui.ui.dialog.ADBDialog			false
false	false	false	false	535	jadx.gui.ui.dialog.CommonSearchDialog			false
false	false	false	false	1118	jadx.gui.ui.dialog.CommentDialog	context	State	false
false	false	false	false	537	jadx.gui.ui.dialog.UsageDialog	context	State	false
false	false	false	false	1148	jadx.gui.ui.dialog.SetValueDialog			false
false	false	false	false	514	jadx.gui.ui.dialog.LogViewerDialog	singleton	Singleton	false
false	false	false	false	1152	jadx.gui.ui.dialog.ExcludePkgDialog			false
false	false	false	false	318	jadx.gui.ui.dialog.AboutDialog			false
false	false	false	false	776	jadx.gui.ui.codearea.ClassCodeContentPanel	adapter	(Object)Adapter	false
false	false	false	false	611	jadx.gui.ui.codearea.FindUsageAction			false
false	false	false	false	777	jadx.gui.ui.codearea.CodeContentPanel	adapter	(Object)Adapter	false
false	false	false	false	563	jadx.gui.ui.codearea.CodePanel	context	State	false
false	false	false	false	177	jadx.gui.ui.codearea.SearchBar			false
false	false	false	true	1303	jadx.gui.ui.codearea.SmaliTokenMaker			true
false	false	false	false	609	jadx.gui.ui.codearea.CodeLinkGenerator			false
false	false	false	false	1297	jadx.gui.ui.codearea.EditorViewState			false
false	false	false	false	307	jadx.gui.ui.codearea.LineNumbers	context	State	false
false	false	false	false	775	jadx.gui.ui.codearea.AbstractCodeContentPanel			false
false	false	false	false	1119	jadx.gui.ui.codearea.CommentAction			false
false	false	false	false	762	jadx.gui.ui.codearea.GoToDeclarationAction			false
false	false	false	false	774	jadx.gui.ui.codearea.AbstractCodeArea	state	State	false
false	false	false	false	857	jadx.gui.ui.codearea.RenameAction			false
false	false	false	false	1350	jadx.gui.ui.codearea.XposedAction			false
false	false	false	false	612	jadx.gui.ui.codearea.JadxTokenMaker			false
false	false	false	false	1120	jadx.gui.ui.codearea.CommentSearchAction			false
false	false	false	false	1392	jadx.gui.ui.codearea.JNodePopupListener			false
false	false	false	false	1023	jadx.gui.ui.codearea.MouseHoverHighlighter			false
false	false	false	false	608	jadx.gui.ui.codearea.CodeArea	context	State	false
false	false	false	false	1390	jadx.gui.ui.codearea.JNodeAction	abstractClass	Template Method	false
false	false	false	false	1332	jadx.gui.ui.codearea.FridaAction			false
false	false	false	false	610	jadx.gui.ui.codearea.EditorTheme			false
false	false	false	false	1391	jadx.gui.ui.codearea.JNodePopupBuilder			false
false	false	false	false	769	jadx.gui.ui.codearea.SmaliArea			false
false	false	false	false	1388	jadx.gui.ui.codearea.mode.JCodeMode	proxy	Proxy	false
false	false	false	false	1474	jadx.gui.ui.treenodes.StartPageNode			false
false	false	false	false	1278	jadx.gui.ui.treenodes.SummaryNode			false
false	false	false	false	1043	jadx.gui.ui.popupmenu.JPackagePopupMenu			false
false	false	false	false	1149	jadx.gui.ui.popupmenu.VarTreePopupMenu			false
false	false	false	false	1449	jadx.gui.plugins.mappings.MappingExporter			false
false	false	false	false	1173	jadx.gui.plugins.quark.QuarkReportPanel			false
false	false	false	false	1170	jadx.gui.plugins.quark.QuarkManager			false
false	false	false	false	1169	jadx.gui.plugins.quark.QuarkDialog			false
false	false	false	false	1172	jadx.gui.plugins.quark.QuarkReportNode			false
false	false	false	false	1171	jadx.gui.plugins.quark.QuarkReportData			false
false	false	false	false	1295	jadx.gui.settings.data.TabViewState			false
false	false	false	false	1294	jadx.gui.settings.data.ProjectData			false
false	false	false	false	1296	jadx.gui.settings.data.ViewPoint			false
false	false	false	false	1293	jadx.gui.settings.TabStateViewAdapter			false
false	false	false	true	490	jadx.gui.settings.JadxSettings			false
false	false	false	false	491	jadx.gui.settings.JadxSettingsAdapter			false
false	false	false	false	735	jadx.gui.settings.JadxProject	adaptee	(Object)Adapter	false
false	false	false	false	492	jadx.gui.settings.JadxSettingsWindow			false
false	false	false	false	548	jadx.gui.settings.WindowLocation			false
false	false	false	false	1483	jadx.gui.utils.res.ResTableHelper			false
false	false	false	false	1123	jadx.gui.utils.layout.WrapLayout			false
false	false	false	false	1431	jadx.gui.utils.codecache.disk.DiskCodeCache	adapter	(Object)Adapter	false
false	false	false	false	1429	jadx.gui.utils.codecache.disk.BufferCodeCache	decorator	Decorator	false
false	false	false	false	1430	jadx.gui.utils.codecache.disk.CodeMetadataAdapter	adaptee	(Object)Adapter	false
false	false	false	false	1456	jadx.gui.utils.fileswatcher.FilesWatcher			false
false	false	false	false	1457	jadx.gui.utils.fileswatcher.LiveReloadWorker			false
false	false	false	false	1353	jadx.gui.utils.ui.DocumentUpdateListener			false
false	false	false	false	1370	jadx.gui.utils.ui.ZoomActions			false
false	false	false	false	1369	jadx.gui.utils.ui.ActionHandler			false
false	false	false	false	1478	jadx.gui.utils.rx.RxUtils			false
false	false	false	false	1477	jadx.gui.utils.rx.CustomDisposable			false
false	false	false	false	1472	jadx.gui.utils.tools.NLSAddNewLines			false
false	false	false	false	592	jadx.gui.utils.logs.LogEvent			false
false	false	false	false	591	jadx.gui.utils.logs.ILogListener	state	State	false
false	false	false	false	1280	jadx.gui.utils.logs.LimitedQueue			false
false	false	false	false	515	jadx.gui.utils.logs.LogCollector	context	State	false
false	false	false	false	1279	jadx.gui.utils.logs.ILogIssuesListener	state	State	false
false	false	false	false	383	jadx.gui.update.data.Asset			false
false	false	false	false	384	jadx.gui.update.data.Release			false
false	false	false	false	1419	jadx.gui.search.SearchTask			false
false	false	false	false	1416	jadx.gui.search.ISearchProvider	state	State	false
false	false	false	false	1418	jadx.gui.search.SearchSettings	context	State	false
false	false	false	false	1417	jadx.gui.search.SearchJob	context	State	false
false	false	false	false	1415	jadx.gui.search.ISearchMethod	implementor	Bridge	false
false	false	false	false	1420	jadx.gui.search.providers.BaseSearchProvider	abstraction	Bridge	false
false	false	false	false	1423	jadx.gui.search.providers.FieldSearchProvider			false
false	false	false	false	1089	jadx.gui.search.providers.ResourceSearchProvider			false
false	false	false	false	1422	jadx.gui.search.providers.CodeSearchProvider			false
false	false	false	false	1424	jadx.gui.search.providers.MergedSearchProvider			false
false	false	false	false	1425	jadx.gui.search.providers.MethodSearchProvider			false
false	false	false	false	1124	jadx.gui.search.providers.CommentSearchProvider	adapter	(Object)Adapter	false
false	false	false	false	1421	jadx.gui.search.providers.ClassSearchProvider			false
false	false	false	false	497	jadx.tests.functional.JadxVisitorsOrderTest			false
false	false	false	false	717	jadx.tests.functional.NameMapperTest			false
false	false	false	false	718	jadx.tests.functional.SignatureParserTest			false
false	false	false	false	567	jadx.tests.functional.TemplateFileTest			false
false	false	false	false	719	jadx.tests.functional.StringUtilsTest			false
false	false	false	false	233	jadx.tests.functional.TestIfCondition			false
false	false	false	false	196	jadx.tests.functional.JadxClasspathTest			false
false	false	false	false	716	jadx.tests.functional.AttributeStorageTest			false
false	false	false	false	739	jadx.tests.integration.arrays.TestArrayInit			false
false	false	false	false	357	jadx.tests.integration.arrays.TestArrayFill			false
false	false	false	false	615	jadx.tests.integration.arrays.TestArrays4			false
false	false	false	false	783	jadx.tests.integration.arrays.TestArrayFillWithMove			false
false	false	false	false	474	jadx.tests.integration.arrays.TestArrayFillConstReplace			false
false	false	false	false	732	jadx.tests.integration.arrays.TestArrayFill3			false
false	false	false	false	475	jadx.tests.integration.arrays.TestArrays2			false
false	false	false	false	358	jadx.tests.integration.arrays.TestArrayFill2			false
false	false	false	false	740	jadx.tests.integration.arrays.TestArrayInitField			false
false	false	false	false	784	jadx.tests.integration.arrays.TestFillArrayData			false
false	false	false	false	681	jadx.tests.integration.arrays.TestMultiDimArrayFill			false
false	false	false	false	1028	jadx.tests.integration.arrays.TestArrayFill4			false
false	false	false	false	414	jadx.tests.integration.arrays.TestArrays			false
false	false	false	false	478	jadx.tests.integration.arrays.TestArrays3			false
false	false	false	false	731	jadx.tests.integration.arrays.TestRedundantType			false
false	false	false	false	644	jadx.tests.integration.types.TestGenerics			false
false	false	false	false	1045	jadx.tests.integration.types.TestTypeResolver16			false
false	false	false	false	809	jadx.tests.integration.types.TestGenerics3			false
false	false	false	false	909	jadx.tests.integration.types.TestTypeResolver14			false
false	false	false	false	433	jadx.tests.integration.types.TestTypeResolver3			false
false	false	false	false	641	jadx.tests.integration.types.TestPrimitivesInIf			false
false	false	false	false	501	jadx.tests.integration.types.TestTypeResolver4			false
false	false	false	false	1395	jadx.tests.integration.types.TestTypeResolver20			false
false	false	false	false	787	jadx.tests.integration.types.TestTypeResolver9			false
false	false	false	false	897	jadx.tests.integration.types.TestTypeResolver13			false
false	false	false	false	1454	jadx.tests.integration.types.TestTypeResolver22			false
false	false	false	false	1375	jadx.tests.integration.types.TestTypeResolver19			false
false	false	false	false	1034	jadx.tests.integration.types.TestTypeResolver15			false
false	false	false	false	829	jadx.tests.integration.types.TestTypeResolver10			false
false	false	false	false	843	jadx.tests.integration.types.TestGenerics4			false
false	false	false	false	1015	jadx.tests.integration.types.TestPrimitiveConversion			false
false	false	false	false	808	jadx.tests.integration.types.TestGenerics2			false
false	false	false	false	1455	jadx.tests.integration.types.TestTypeResolver23			false
