COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	2	53	61	221	329.2879247925829	189	2	0	105	10	47	jadx.gui.treemodel.JSourcesTest	0	0	0	17	2	7			54	2
0	3	33	44	136	216.15681497238631	1087	1	10	57	17	4	jadx.gui.treemodel.JVariable	2	7	0	3	3	9	adapter	(Object)Adapter	13	1
0	1	85	86	379	510.6281136370887	168	-1	253	127	48	13	jadx.gui.treemodel.JNode	0	0	13	9	1	23	abstractClass	Template Method	36	-1
0	10	253	287	876	1944.5300680987443	448	-1	123	353	62	51	jadx.gui.treemodel.JResource	22	1	0	24	20	23	context	State	74	-1
0	4	150	158	764	1048.8937106883102	167	-1	0	218	53	46	jadx.gui.treemodel.JClass	25	1	0	18	12	26			72	-1
0	1	4	15	18	43.35557636844247	579	0	0	7	1	0	jadx.gui.treemodel.JLoadableNode	1	0	2	0	1	1			1	0
0	6	75	91	359	535.3823373524333	527	-1	54	120	33	12	jadx.gui.treemodel.CodeNode	5	11	0	5	7	16	decorator	Decorator	28	-1
0	5	170	180	1289	1289.0919605290537	649	0	34	229	25	46	jadx.gui.treemodel.ApkSignature	4	5	0	21	5	9			55	0
0	4	120	135	592	861.7733957093408	176	-1	52	179	44	47	jadx.gui.treemodel.JMethod	6	14	0	14	10	20	adapter	(Object)Adapter	67	-1
0	4	98	145	646	938.2659280484772	449	0	9	135	20	38	jadx.gui.treemodel.JSources	4	3	0	13	4	7			45	0
0	6	105	117	535	735.0252093868328	169	-1	146	162	42	21	jadx.gui.treemodel.JPackage	17	7	0	10	7	24			45	-1
0	2	19	30	77	130.31416265561052	223	0	8	34	9	0	jadx.gui.treemodel.TextNode	1	4	0	1	2	5			5	0
0	4	63	81	284	457.5669132910577	175	-1	0	110	34	24	jadx.gui.treemodel.JField	4	13	0	9	7	17	adapter	(Object)Adapter	41	-1
0	5	125	158	755	1047.021404381346	170	-1	71	168	39	38	jadx.gui.treemodel.JRoot	9	5	0	14	5	14	adapter	(Object)Adapter	52	-1
0	4	43	52	187	272.0176480764385	1088	-1	15	68	21	6	jadx.gui.treemodel.JResSearchNode	2	9	0	2	5	11	proxy	Proxy	17	-1
0	3	49	100	311	573.9792912179234	730	1	9	111	16	27	jadx.gui.TestI18n	0	0	0	17	4	6			33	1
1	1	26	46	151	230.7948724934865	162	0	0	48	6	14	jadx.gui.JadxGUI	0	0	0	11	1	2			16	0
0	5	111	145	541	912.5457954327397	163	-1	3	169	36	54	jadx.gui.JadxWrapper	0	0	0	17	5	19	adaptee	(Object)Adapter	73	-1
0	1	76	50	304	285.8513850703111	721	3	0	123	11	41	jadx.gui.utils.JumpManagerTest	0	0	0	6	1	9			50	3
0	2	83	234	545	1474.3838759511991	596	-1	24	129	31	36	jadx.gui.utils.CertificateManagerTest	0	0	0	10	7	12			48	2
1	1	27	46	147	229.55989899182185	1314	1	0	44	9	13	jadx.gui.utils.RelativePathTypeAdapter	0	0	0	8	1	3			16	1
0	1	60	81	349	474.2608256983966	542	-1	9	85	17	20	jadx.gui.utils.JNodeCache	0	0	0	13	1	6			26	-1
0	2	64	106	375	628.2541587528635	764	-1	21	89	19	19	jadx.gui.utils.FontUtils	0	0	0	8	2	7			26	-1
0	4	119	134	682	874.353974151024	513	-1	0	151	32	56	jadx.gui.utils.TextStandardActions	0	0	0	12	10	15			71	-1
0	3	58	79	308	452.67788285491235	1174	-1	13	91	19	22	jadx.gui.utils.LafManager	0	0	0	13	4	7			29	0
0	3	63	88	403	527.906417451308	385	-1	22	102	11	20	jadx.gui.utils.Link	0	0	0	12	3	8			28	0
0	1	16	47	81	206.53911026960463	1157	0	4	33	5	1	jadx.gui.utils.FixedCodeCache	0	0	0	3	1	4	decorator	Decorator	5	0
0	2	13	21	63	87.00582925422218	862	-1	0	23	1	0	jadx.gui.utils.SystemInfo	0	0	0	2	9	1			1	-1
0	1	25	42	153	211.2783926984823	736	0	6	40	11	8	jadx.gui.utils.PathTypeAdapter	0	0	0	7	1	4			12	0
0	4	147	218	1064	1519.4143660385466	1121	1	0	183	23	40	jadx.gui.utils.CaretPositionFix	0	0	0	10	8	6			46	1
