CLASSDATASHOULDBEPRIVATE	COMPLEXCLASS	FUNCTIONALDECOMPOSITION	GODCLASS	ID	NAME	PATTERNROLE	PATTERNTYPE	SPAGHETTICODE
false	false	false	false	372	org.springframework.data.jpa.domain.SpecificationUnitTests			false
false	false	false	false	243	org.springframework.data.jpa.domain.JpaSortTests			false
false	false	false	false	241	org.springframework.data.jpa.domain.JpaSort			false
false	false	false	false	2	org.springframework.data.jpa.domain.AbstractPersistable			false
false	false	false	false	1	org.springframework.data.jpa.domain.AbstractAuditable			false
false	false	false	false	3	org.springframework.data.jpa.domain.Specification			false
false	false	false	false	408	org.springframework.data.jpa.domain.SpecificationComposition			false
false	false	false	false	-1	org.springframework.data.jpa.domain.AbstractAuditable_			false
false	false	false	false	-1	org.springframework.data.jpa.domain.AbstractPersistable_			false
false	false	false	false	-1	org.springframework.data.jpa.domain.QAbstractPersistable	singleton	Singleton	false
false	false	false	false	-1	org.springframework.data.jpa.domain.QAbstractAuditable	singleton	Singleton	false
false	false	false	false	426	org.springframework.data.jpa.domain.sample.InvoiceItem			false
false	false	false	false	146	org.springframework.data.jpa.domain.sample.PersistableWithIdClassPK			false
false	false	false	false	42	org.springframework.data.jpa.domain.sample.UserSpecifications			false
false	false	false	false	223	org.springframework.data.jpa.domain.sample.Order			false
false	false	false	false	196	org.springframework.data.jpa.domain.sample.ConcreteType2			false
false	false	false	false	349	org.springframework.data.jpa.domain.sample.Site			false
false	false	false	false	195	org.springframework.data.jpa.domain.sample.ConcreteType1			false
false	false	false	false	194	org.springframework.data.jpa.domain.sample.AbstractMappedType			false
false	false	false	false	208	org.springframework.data.jpa.domain.sample.IdClassExampleDepartment			false
false	false	false	false	36	org.springframework.data.jpa.domain.sample.AuditableUser			false
false	false	false	false	35	org.springframework.data.jpa.domain.sample.AuditableRole			false
false	false	false	false	187	org.springframework.data.jpa.domain.sample.VersionedUser			false
false	false	false	false	244	org.springframework.data.jpa.domain.sample.MailMessage			false
false	false	false	false	107	org.springframework.data.jpa.domain.sample.SpecialUser			false
false	false	false	false	283	org.springframework.data.jpa.domain.sample.PersistableWithIdClass			false
false	false	false	false	306	org.springframework.data.jpa.domain.sample.CustomAbstractPersistable			false
false	false	false	false	38	org.springframework.data.jpa.domain.sample.Role			false
false	false	false	false	39	org.springframework.data.jpa.domain.sample.SampleEntity			false
false	false	false	false	270	org.springframework.data.jpa.domain.sample.PrimitiveVersionProperty			false
false	false	false	false	345	org.springframework.data.jpa.domain.sample.Item			false
false	false	false	false	394	org.springframework.data.jpa.domain.sample.OrmXmlEntity			false
false	false	false	false	346	org.springframework.data.jpa.domain.sample.ItemId			false
false	false	false	false	255	org.springframework.data.jpa.domain.sample.AbstractAnnotatedAuditable			false
false	false	false	false	40	org.springframework.data.jpa.domain.sample.SampleEntityPK			false
false	false	false	false	37	org.springframework.data.jpa.domain.sample.AuditorAwareStub			false
false	false	false	false	209	org.springframework.data.jpa.domain.sample.IdClassExampleEmployee			false
false	false	false	false	256	org.springframework.data.jpa.domain.sample.AnnotatedAuditableUser			false
