COH	DAC	ELOC	HALSTEADLENGHT	HALSTEADVOCABULARY	HALSTEADVOLUME	ID	LCC	LCOM	LOC	MCCABEMETRIC	MPC	NAME	NOA	NOO	NUMBEROFCHILDREN	NUMBEROFIMPORTS	NUMBOFATTRIBUTES	NUMBOFMETHODS	PATTERNROLE	PATTERNTYPE	RFC	TCC
0	5	85	92	360	541.5215708934144	372	-1	0	187	22	52	org.springframework.data.jpa.domain.SpecificationUnitTests	0	0	0	17	5	11			63	2
0	4	78	118	327	683.2153001658759	243	-1	210	198	24	79	org.springframework.data.jpa.domain.JpaSortTests	0	0	0	17	4	21			100	0
0	1	301	317	2061	2419.0100661422757	241	-1	210	467	48	31	org.springframework.data.jpa.domain.JpaSort	0	0	0	10	1	21			52	-1
0	1	49	124	284	700.4728055319896	2	-1	13	120	13	11	org.springframework.data.jpa.domain.AbstractPersistable	0	0	0	8	1	6			17	-1
0	3	39	97	211	519.1302389471784	1	-1	20	132	16	20	org.springframework.data.jpa.domain.AbstractAuditable	0	0	0	11	5	8			28	0
0	1	58	122	355	716.3983703160008	3	-1	10	101	15	2	org.springframework.data.jpa.domain.Specification	0	0	0	6	1	5			7	0
-1	0	20	61	116	289.9690016574882	408	0	1	64	6	1	org.springframework.data.jpa.domain.SpecificationComposition	0	0	0	6	0	2			3	0
-1	3	10	24	57	97.03323042802921	-1	-1	0	22	0	0	org.springframework.data.jpa.domain.AbstractAuditable_	0	0	0	4	8	0			0	-1
-1	2	4	15	19	44.1665846874966	-1	-1	0	16	0	0	org.springframework.data.jpa.domain.AbstractPersistable_	0	0	0	4	2	0			0	-1
0	2	17	42	79	183.5168098036149	-1	0	3	39	4	3	org.springframework.data.jpa.domain.QAbstractPersistable	0	0	0	5	3	3	singleton	Singleton	6	0
0	5	22	51	105	237.35197785803368	-1	0	3	50	4	3	org.springframework.data.jpa.domain.QAbstractAuditable	0	0	0	5	8	3	singleton	Singleton	6	0
-1	2	7	19	20	56.918913197525825	426	-1	0	33	0	0	org.springframework.data.jpa.domain.sample.InvoiceItem	0	0	0	4	2	0			0	-1
0	2	36	60	163	305.6250120484057	146	1	0	84	10	4	org.springframework.data.jpa.domain.sample.PersistableWithIdClassPK	0	0	0	2	3	6			10	1
-1	0	57	81	360	476.7744265474626	42	-1	28	104	25	26	org.springframework.data.jpa.domain.sample.UserSpecifications	0	0	0	5	0	8			34	0
-1	2	7	19	20	56.918913197525825	223	-1	0	32	0	0	org.springframework.data.jpa.domain.sample.Order	0	0	0	4	2	0			0	-1
-1	0	10	21	30	71.42514501490527	196	0	1	31	2	0	org.springframework.data.jpa.domain.sample.ConcreteType2	2	0	0	1	0	2			2	0
0	2	18	45	75	194.28696510913394	349	0	1	46	4	0	org.springframework.data.jpa.domain.sample.Site	0	0	0	4	2	3			3	0
-1	0	10	21	30	71.42514501490527	195	0	1	31	2	0	org.springframework.data.jpa.domain.sample.ConcreteType1	2	0	0	1	0	2			2	0
0	2	14	31	45	118.00653718287991	194	0	1	41	2	0	org.springframework.data.jpa.domain.sample.AbstractMappedType	0	0	2	5	3	2			2	0
